seed,scenario,predicted_positive,actual_positive,breach_step,drift_step,collapse_step,lead_time
0,stable,0,0,-1,-1,-1,
1,stable,0,0,-1,-1,-1,
2,stable,0,0,-1,-1,-1,
3,stable,0,0,-1,-1,-1,
4,stable,0,0,-1,-1,-1,
5,stable,0,0,-1,-1,-1,
6,stable,0,0,-1,-1,-1,
7,stable,0,0,-1,-1,-1,
8,stable,0,0,-1,-1,-1,
9,stable,0,0,-1,-1,-1,
10,stable,0,0,-1,-1,-1,
11,stable,0,0,-1,-1,-1,
12,stable,0,0,-1,-1,-1,
13,stable,0,0,-1,-1,-1,
14,stable,0,0,-1,-1,-1,
15,stable,0,0,-1,-1,-1,
16,stable,0,0,-1,-1,-1,
17,stable,0,0,-1,-1,-1,
18,recoverable,0,0,-1,-1,-1,
19,recoverable,0,0,-1,-1,-1,
20,recoverable,0,0,-1,-1,-1,
21,recoverable,0,0,-1,-1,-1,
22,recoverable,0,0,-1,-1,-1,
23,recoverable,0,0,-1,-1,-1,
24,recoverable,0,0,-1,-1,-1,
25,recoverable,0,0,-1,-1,-1,
26,recoverable,0,0,-1,-1,-1,
27,recoverable,0,0,-1,51,-1,
28,recoverable,0,0,-1,49,-1,
29,recoverable,0,0,-1,-1,-1,
30,collapse,1,1,96,65,116,20.0
31,collapse,1,1,83,51,113,30.0
32,collapse,1,1,115,47,113,-2.0
33,collapse,1,1,80,56,113,33.0
34,collapse,1,1,86,65,119,33.0
35,collapse,1,1,83,63,116,33.0
36,collapse,1,1,80,64,117,37.0
37,collapse,1,1,85,61,118,33.0
38,collapse,1,1,98,64,116,18.0
39,collapse,1,1,85,64,117,32.0
