subset,num_components,threshold,detect_rate,false_positive_rate,median_lead_time,mean_lead_time,std_lead_time,utility
ac_risk,1,0.3,1.0,1.0,320.0,300.07,32.07842109580832,0.0
ac_risk,1,0.35,1.0,0.98,309.5,287.02,44.84350120140041,6.190000000000006
ac_risk,1,0.4,1.0,0.87,279.0,264.11,53.23361625890167,36.27
ac_risk,1,0.45,1.0,0.48,245.0,234.87,57.05482538751652,127.4
ac_risk,1,0.5,1.0,0.21,191.5,191.2,68.56004667442986,151.285
ac_risk,1,0.55,1.0,0.05,141.0,143.19,61.36867197520247,133.95
ac_risk,1,0.6,1.0,0.0,93.5,99.93,55.951989240776776,93.5
ac_risk,1,0.65,1.0,0.0,46.0,53.61,51.73816676303868,46.0
ac_risk,1,0.7,1.0,0.0,18.5,21.42,39.765356782003096,18.5
ac_risk,1,0.75,1.0,0.0,-20.0,-8.15,31.672188115127128,-20.0
ac_risk,1,0.8,1.0,0.0,-31.0,-28.78,17.253162029031085,-31.0
ac_risk,1,0.85,1.0,0.0,-39.5,-37.95,13.9178841782794,-39.5
ac_risk,1,0.9,1.0,0.0,-53.0,-51.52,10.961277297833497,-53.0
rl_risk,1,0.3,1.0,0.0,-31.0,-27.07,18.285105960863337,-31.0
rl_risk,1,0.35,1.0,0.0,-37.0,-35.17,14.134394221189673,-37.0
rl_risk,1,0.4,1.0,0.0,-41.0,-40.29,12.764243024950598,-41.0
rl_risk,1,0.45,1.0,0.0,-47.0,-47.09,11.021882779271426,-47.0
rl_risk,1,0.5,1.0,0.0,-53.5,-52.93,11.087159239408443,-53.5
rl_risk,1,0.55,1.0,0.0,-59.0,-60.03,11.556344577763333,-59.0
rl_risk,1,0.6,1.0,0.0,-65.5,-66.57,11.564821658806503,-65.5
rl_risk,1,0.65,1.0,0.0,-72.0,-73.33,11.433332847424674,-72.0
rl_risk,1,0.7,1.0,0.0,-82.0,-82.82,12.04938172687711,-82.0
rl_risk,1,0.75,1.0,0.0,-95.5,-94.88,14.829888738625115,-95.5
rl_risk,1,0.8,1.0,0.0,-108.0,-108.99,14.885224217323703,-108.0
rl_risk,1,0.85,1.0,0.0,-127.5,-127.0,14.510685717773644,-127.5
rl_risk,1,0.9,1.0,0.0,-147.0,-146.82,11.883080408715578,-147.0
va_risk,1,0.3,1.0,1.0,291.0,279.81,43.5799713171085,0.0
