subset,num_components,threshold,detect_rate,false_positive_rate,median_lead_time,mean_lead_time,std_lead_time,utility
bd_risk,1,0.55,0.0,0.0,,,,
bd_risk,1,0.6,0.0,0.0,,,,
bd_risk,1,0.65,0.0,0.0,,,,
bd_risk,1,0.7,0.0,0.0,,,,
bd_risk,1,0.75,0.0,0.0,,,,
bd_risk,1,0.8,0.0,0.0,,,,
bd_risk,1,0.85,0.0,0.0,,,,
bd_risk,1,0.9,0.0,0.0,,,,
ac_risk+bd_risk,2,0.8,0.0,0.0,,,,
ac_risk+bd_risk,2,0.85,0.0,0.0,,,,
ac_risk+bd_risk,2,0.9,0.0,0.0,,,,
rl_risk+bd_risk,2,0.8,0.0,0.0,,,,
rl_risk+bd_risk,2,0.85,0.0,0.0,,,,
rl_risk+bd_risk,2,0.9,0.0,0.0,,,,
va_risk+bd_risk,2,0.75,0.0,0.0,,,,
va_risk+bd_risk,2,0.8,0.0,0.0,,,,
va_risk+bd_risk,2,0.85,0.0,0.0,,,,
va_risk+bd_risk,2,0.9,0.0,0.0,,,,
pr_risk+bd_risk,2,0.8,0.0,0.0,,,,
pr_risk+bd_risk,2,0.85,0.0,0.0,,,,
pr_risk+bd_risk,2,0.9,0.0,0.0,,,,
ac_risk+rl_risk+bd_risk,3,0.85,0.0,0.0,,,,
ac_risk+rl_risk+bd_risk,3,0.9,0.0,0.0,,,,
ac_risk+va_risk+bd_risk,3,0.85,0.0,0.0,,,,
ac_risk+va_risk+bd_risk,3,0.9,0.0,0.0,,,,
