system,seed,has_collapse,metric,threshold,alert_index,lead_time,detected_before_collapse,false_positive
ar_degrade,0,True,mean_risk,0.3,240,180,True,False
ar_degrade,0,True,mean_risk,0.35,388,32,True,False
ar_degrade,0,True,mean_risk,0.4,389,31,True,False
ar_degrade,0,True,mean_risk,0.45,415,5,True,False
ar_degrade,0,True,mean_risk,0.5,435,-15,False,False
ar_degrade,0,True,mean_risk,0.55,442,-22,False,False
ar_degrade,0,True,mean_risk,0.6,444,-24,False,False
ar_degrade,0,True,mean_risk,0.65,445,-25,False,False
ar_degrade,0,True,mean_risk,0.7,448,-28,False,False
ar_degrade,0,True,mean_risk,0.75,515,-95,False,False
ar_degrade,0,True,mean_risk,0.8,521,-101,False,False
ar_degrade,0,True,mean_risk,0.85,596,-176,False,False
ar_degrade,0,True,mean_risk,0.9,,,False,False
ar_degrade,0,True,recovery_core_risk,0.3,99,321,True,False
ar_degrade,0,True,recovery_core_risk,0.35,99,321,True,False
ar_degrade,0,True,recovery_core_risk,0.4,290,130,True,False
ar_degrade,0,True,recovery_core_risk,0.45,389,31,True,False
ar_degrade,0,True,recovery_core_risk,0.5,433,-13,False,False
ar_degrade,0,True,recovery_core_risk,0.55,435,-15,False,False
ar_degrade,0,True,recovery_core_risk,0.6,442,-22,False,False
ar_degrade,0,True,recovery_core_risk,0.65,444,-24,False,False
ar_degrade,0,True,recovery_core_risk,0.7,445,-25,False,False
ar_degrade,0,True,recovery_core_risk,0.75,447,-27,False,False
ar_degrade,0,True,recovery_core_risk,0.8,452,-32,False,False
ar_degrade,0,True,recovery_core_risk,0.85,507,-87,False,False
ar_degrade,0,True,recovery_core_risk,0.9,521,-101,False,False
ar_degrade,0,True,ac_rl_core,0.3,209,211,True,False
ar_degrade,0,True,ac_rl_core,0.35,389,31,True,False
ar_degrade,0,True,ac_rl_core,0.4,435,-15,False,False
ar_degrade,0,True,ac_rl_core,0.45,440,-20,False,False
ar_degrade,0,True,ac_rl_core,0.5,444,-24,False,False
ar_degrade,0,True,ac_rl_core,0.55,445,-25,False,False
ar_degrade,0,True,ac_rl_core,0.6,446,-26,False,False
ar_degrade,0,True,ac_rl_core,0.65,450,-30,False,False
ar_degrade,0,True,ac_rl_core,0.7,454,-34,False,False
ar_degrade,0,True,ac_rl_core,0.75,506,-86,False,False
ar_degrade,0,True,ac_rl_core,0.8,513,-93,False,False
ar_degrade,0,True,ac_rl_core,0.85,526,-106,False,False
ar_degrade,0,True,ac_rl_core,0.9,536,-116,False,False
ar_degrade,0,True,ac_risk,0.3,99,321,True,False
ar_degrade,0,True,ac_risk,0.35,99,321,True,False
ar_degrade,0,True,ac_risk,0.4,100,320,True,False
ar_degrade,0,True,ac_risk,0.45,174,246,True,False
ar_degrade,0,True,ac_risk,0.5,240,180,True,False
ar_degrade,0,True,ac_risk,0.55,389,31,True,False
ar_degrade,0,True,ac_risk,0.6,434,-14,False,False
ar_degrade,0,True,ac_risk,0.65,436,-16,False,False
ar_degrade,0,True,ac_risk,0.7,442,-22,False,False
ar_degrade,0,True,ac_risk,0.75,444,-24,False,False
ar_degrade,0,True,ac_risk,0.8,445,-25,False,False
ar_degrade,0,True,ac_risk,0.85,447,-27,False,False
ar_degrade,0,True,ac_risk,0.9,453,-33,False,False
ar_degrade,0,True,rl_risk,0.3,445,-25,False,False
ar_degrade,0,True,rl_risk,0.35,446,-26,False,False
ar_degrade,0,True,rl_risk,0.4,448,-28,False,False
ar_degrade,0,True,rl_risk,0.45,451,-31,False,False
ar_degrade,0,True,rl_risk,0.5,454,-34,False,False
ar_degrade,0,True,rl_risk,0.55,503,-83,False,False
ar_degrade,0,True,rl_risk,0.6,508,-88,False,False
ar_degrade,0,True,rl_risk,0.65,513,-93,False,False
ar_degrade,0,True,rl_risk,0.7,521,-101,False,False
ar_degrade,0,True,rl_risk,0.75,529,-109,False,False
ar_degrade,0,True,rl_risk,0.8,533,-113,False,False
ar_degrade,0,True,rl_risk,0.85,546,-126,False,False
ar_degrade,0,True,rl_risk,0.9,566,-146,False,False
ar_degrade,0,True,va_risk,0.3,239,181,True,False
ar_degrade,0,True,va_risk,0.35,239,181,True,False
ar_degrade,0,True,va_risk,0.4,240,180,True,False
ar_degrade,0,True,va_risk,0.45,240,180,True,False
ar_degrade,0,True,va_risk,0.5,260,160,True,False
ar_degrade,0,True,va_risk,0.55,388,32,True,False
ar_degrade,0,True,va_risk,0.6,388,32,True,False
ar_degrade,0,True,va_risk,0.65,389,31,True,False
ar_degrade,0,True,va_risk,0.7,404,16,True,False
ar_degrade,0,True,va_risk,0.75,444,-24,False,False
ar_degrade,0,True,va_risk,0.8,446,-26,False,False
ar_degrade,0,True,va_risk,0.85,448,-28,False,False
ar_degrade,0,True,va_risk,0.9,535,-115,False,False
ar_degrade,1,True,mean_risk,0.3,308,112,True,False
ar_degrade,1,True,mean_risk,0.35,312,108,True,False
