system,metric,threshold,type,detection_rate_before_collapse,false_positive_rate,median_lead_time,utility
ar_degrade,mean_risk,0.3,collapse,1.0,,239.0,239.0
ar_degrade,mean_risk,0.35,collapse,1.0,,171.0,171.0
ar_degrade,mean_risk,0.4,collapse,0.96,,81.0,77.75999999999999
ar_degrade,mean_risk,0.45,collapse,0.83,,30.5,25.314999999999998
ar_degrade,mean_risk,0.5,collapse,0.51,,1.5,0.765
ar_degrade,mean_risk,0.55,collapse,0.23,,-22.0,-5.0600000000000005
ar_degrade,mean_risk,0.6,collapse,0.06,,-31.0,-1.8599999999999999
ar_degrade,mean_risk,0.65,collapse,0.0,,-38.0,-0.0
ar_degrade,mean_risk,0.7,collapse,0.0,,-47.5,-0.0
ar_degrade,mean_risk,0.75,collapse,0.0,,-62.5,-0.0
ar_degrade,mean_risk,0.8,collapse,0.0,,-101.0,-0.0
ar_degrade,mean_risk,0.85,collapse,0.0,,-152.0,-0.0
ar_degrade,mean_risk,0.9,collapse,0.0,,,
ar_degrade,recovery_core_risk,0.3,collapse,1.0,,296.5,296.5
ar_degrade,recovery_core_risk,0.35,collapse,1.0,,255.0,255.0
ar_degrade,recovery_core_risk,0.4,collapse,1.0,,202.5,202.5
ar_degrade,recovery_core_risk,0.45,collapse,0.99,,149.5,148.005
ar_degrade,recovery_core_risk,0.5,collapse,0.96,,94.5,90.72
ar_degrade,recovery_core_risk,0.55,collapse,0.76,,40.5,30.78
ar_degrade,recovery_core_risk,0.6,collapse,0.55,,6.5,3.575
ar_degrade,recovery_core_risk,0.65,collapse,0.19,,-23.5,-4.465
ar_degrade,recovery_core_risk,0.7,collapse,0.04,,-34.0,-1.36
ar_degrade,recovery_core_risk,0.75,collapse,0.0,,-41.0,-0.0
ar_degrade,recovery_core_risk,0.8,collapse,0.0,,-52.0,-0.0
ar_degrade,recovery_core_risk,0.85,collapse,0.0,,-64.0,-0.0
ar_degrade,recovery_core_risk,0.9,collapse,0.0,,-86.0,-0.0
ar_degrade,ac_rl_core,0.3,collapse,1.0,,206.5,206.5
ar_degrade,ac_rl_core,0.35,collapse,1.0,,136.0,136.0
ar_degrade,ac_rl_core,0.4,collapse,0.91,,73.0,66.43
ar_degrade,ac_rl_core,0.45,collapse,0.67,,26.0,17.42
ar_degrade,ac_rl_core,0.5,collapse,0.34,,-19.0,-6.460000000000001
ar_degrade,ac_rl_core,0.55,collapse,0.08,,-31.0,-2.48
ar_degrade,ac_rl_core,0.6,collapse,0.02,,-38.0,-0.76
ar_degrade,ac_rl_core,0.65,collapse,0.0,,-45.0,-0.0
ar_degrade,ac_rl_core,0.7,collapse,0.0,,-53.0,-0.0
ar_degrade,ac_rl_core,0.75,collapse,0.0,,-61.5,-0.0
ar_degrade,ac_rl_core,0.8,collapse,0.0,,-72.0,-0.0
ar_degrade,ac_rl_core,0.85,collapse,0.0,,-91.0,-0.0
ar_degrade,ac_rl_core,0.9,collapse,0.0,,-115.0,-0.0
ar_degrade,ac_risk,0.3,collapse,1.0,,320.0,320.0
ar_degrade,ac_risk,0.35,collapse,1.0,,309.5,309.5
ar_degrade,ac_risk,0.4,collapse,1.0,,279.0,279.0
ar_degrade,ac_risk,0.45,collapse,1.0,,245.0,245.0
ar_degrade,ac_risk,0.5,collapse,1.0,,191.5,191.5
ar_degrade,ac_risk,0.55,collapse,1.0,,141.0,141.0
ar_degrade,ac_risk,0.6,collapse,0.98,,93.5,91.63
ar_degrade,ac_risk,0.65,collapse,0.82,,46.0,37.72
ar_degrade,ac_risk,0.7,collapse,0.63,,18.5,11.655
ar_degrade,ac_risk,0.75,collapse,0.31,,-20.0,-6.2
ar_degrade,ac_risk,0.8,collapse,0.07,,-31.0,-2.1700000000000004
ar_degrade,ac_risk,0.85,collapse,0.02,,-39.5,-0.79
ar_degrade,ac_risk,0.9,collapse,0.0,,-53.0,-0.0
ar_degrade,rl_risk,0.3,collapse,0.08,,-31.0,-2.48
ar_degrade,rl_risk,0.35,collapse,0.03,,-37.0,-1.1099999999999999
ar_degrade,rl_risk,0.4,collapse,0.01,,-41.0,-0.41000000000000003
ar_degrade,rl_risk,0.45,collapse,0.0,,-47.0,-0.0
ar_degrade,rl_risk,0.5,collapse,0.0,,-53.5,-0.0
ar_degrade,rl_risk,0.55,collapse,0.0,,-59.0,-0.0
ar_degrade,rl_risk,0.6,collapse,0.0,,-65.5,-0.0
ar_degrade,rl_risk,0.65,collapse,0.0,,-72.0,-0.0
ar_degrade,rl_risk,0.7,collapse,0.0,,-82.0,-0.0
ar_degrade,rl_risk,0.75,collapse,0.0,,-95.5,-0.0
ar_degrade,rl_risk,0.8,collapse,0.0,,-108.0,-0.0
ar_degrade,rl_risk,0.85,collapse,0.0,,-127.5,-0.0
ar_degrade,rl_risk,0.9,collapse,0.0,,-147.0,-0.0
ar_degrade,va_risk,0.3,collapse,1.0,,291.0,291.0
ar_degrade,va_risk,0.35,collapse,1.0,,273.0,273.0
ar_degrade,va_risk,0.4,collapse,1.0,,251.5,251.5
ar_degrade,va_risk,0.45,collapse,1.0,,206.0,206.0
ar_degrade,va_risk,0.5,collapse,1.0,,151.0,151.0
ar_degrade,va_risk,0.55,collapse,0.88,,49.5,43.56
ar_degrade,va_risk,0.6,collapse,0.75,,26.5,19.875
ar_degrade,va_risk,0.65,collapse,0.56,,5.0,2.8000000000000003
ar_degrade,va_risk,0.7,collapse,0.37,,-11.5,-4.255
ar_degrade,va_risk,0.75,collapse,0.16,,-24.0,-3.84
ar_degrade,va_risk,0.8,collapse,0.04,,-38.0,-1.52
ar_degrade,va_risk,0.85,collapse,0.0,,-52.0,-0.0
ar_degrade,va_risk,0.9,collapse,0.0,,-96.0,-0.0
volatility_null,mean_risk,0.3,null,,0.92,,
volatility_null,mean_risk,0.35,null,,0.45,,
volatility_null,mean_risk,0.4,null,,0.13,,
volatility_null,mean_risk,0.45,null,,0.02,,
volatility_null,mean_risk,0.5,null,,0.0,,
volatility_null,mean_risk,0.55,null,,0.0,,
volatility_null,mean_risk,0.6,null,,0.0,,
volatility_null,mean_risk,0.65,null,,0.0,,
volatility_null,mean_risk,0.7,null,,0.0,,
volatility_null,mean_risk,0.75,null,,0.0,,
volatility_null,mean_risk,0.8,null,,0.0,,
volatility_null,mean_risk,0.85,null,,0.0,,
volatility_null,mean_risk,0.9,null,,0.0,,
volatility_null,recovery_core_risk,0.3,null,,0.99,,
volatility_null,recovery_core_risk,0.35,null,,0.77,,
volatility_null,recovery_core_risk,0.4,null,,0.3,,
volatility_null,recovery_core_risk,0.45,null,,0.06,,
volatility_null,recovery_core_risk,0.5,null,,0.02,,
volatility_null,recovery_core_risk,0.55,null,,0.0,,
volatility_null,recovery_core_risk,0.6,null,,0.0,,
volatility_null,recovery_core_risk,0.65,null,,0.0,,
volatility_null,recovery_core_risk,0.7,null,,0.0,,
volatility_null,recovery_core_risk,0.75,null,,0.0,,
volatility_null,recovery_core_risk,0.8,null,,0.0,,
volatility_null,recovery_core_risk,0.85,null,,0.0,,
volatility_null,recovery_core_risk,0.9,null,,0.0,,
volatility_null,ac_rl_core,0.3,null,,0.32,,
volatility_null,ac_rl_core,0.35,null,,0.05,,
volatility_null,ac_rl_core,0.4,null,,0.0,,
volatility_null,ac_rl_core,0.45,null,,0.0,,
volatility_null,ac_rl_core,0.5,null,,0.0,,
volatility_null,ac_rl_core,0.55,null,,0.0,,
volatility_null,ac_rl_core,0.6,null,,0.0,,
volatility_null,ac_rl_core,0.65,null,,0.0,,
volatility_null,ac_rl_core,0.7,null,,0.0,,
volatility_null,ac_rl_core,0.75,null,,0.0,,
volatility_null,ac_rl_core,0.8,null,,0.0,,
volatility_null,ac_rl_core,0.85,null,,0.0,,
volatility_null,ac_rl_core,0.9,null,,0.0,,
volatility_null,ac_risk,0.3,null,,1.0,,
volatility_null,ac_risk,0.35,null,,0.98,,
volatility_null,ac_risk,0.4,null,,0.87,,
volatility_null,ac_risk,0.45,null,,0.48,,
volatility_null,ac_risk,0.5,null,,0.21,,
volatility_null,ac_risk,0.55,null,,0.05,,
volatility_null,ac_risk,0.6,null,,0.0,,
volatility_null,ac_risk,0.65,null,,0.0,,
volatility_null,ac_risk,0.7,null,,0.0,,
volatility_null,ac_risk,0.75,null,,0.0,,
volatility_null,ac_risk,0.8,null,,0.0,,
volatility_null,ac_risk,0.85,null,,0.0,,
volatility_null,ac_risk,0.9,null,,0.0,,
volatility_null,rl_risk,0.3,null,,0.0,,
volatility_null,rl_risk,0.35,null,,0.0,,
volatility_null,rl_risk,0.4,null,,0.0,,
volatility_null,rl_risk,0.45,null,,0.0,,
volatility_null,rl_risk,0.5,null,,0.0,,
volatility_null,rl_risk,0.55,null,,0.0,,
volatility_null,rl_risk,0.6,null,,0.0,,
volatility_null,rl_risk,0.65,null,,0.0,,
volatility_null,rl_risk,0.7,null,,0.0,,
volatility_null,rl_risk,0.75,null,,0.0,,
volatility_null,rl_risk,0.8,null,,0.0,,
volatility_null,rl_risk,0.85,null,,0.0,,
volatility_null,rl_risk,0.9,null,,0.0,,
volatility_null,va_risk,0.3,null,,1.0,,
volatility_null,va_risk,0.35,null,,1.0,,
volatility_null,va_risk,0.4,null,,1.0,,
volatility_null,va_risk,0.45,null,,0.99,,
volatility_null,va_risk,0.5,null,,0.95,,
volatility_null,va_risk,0.55,null,,0.78,,
volatility_null,va_risk,0.6,null,,0.45,,
volatility_null,va_risk,0.65,null,,0.16,,
volatility_null,va_risk,0.7,null,,0.03,,
volatility_null,va_risk,0.75,null,,0.0,,
volatility_null,va_risk,0.8,null,,0.0,,
volatility_null,va_risk,0.85,null,,0.0,,
volatility_null,va_risk,0.9,null,,0.0,,
trend_null,mean_risk,0.3,null,,1.0,,
trend_null,mean_risk,0.35,null,,0.81,,
trend_null,mean_risk,0.4,null,,0.3,,
trend_null,mean_risk,0.45,null,,0.06,,
trend_null,mean_risk,0.5,null,,0.01,,
trend_null,mean_risk,0.55,null,,0.0,,
trend_null,mean_risk,0.6,null,,0.0,,
trend_null,mean_risk,0.65,null,,0.0,,
trend_null,mean_risk,0.7,null,,0.0,,
trend_null,mean_risk,0.75,null,,0.0,,
trend_null,mean_risk,0.8,null,,0.0,,
trend_null,mean_risk,0.85,null,,0.0,,
trend_null,mean_risk,0.9,null,,0.0,,
trend_null,recovery_core_risk,0.3,null,,1.0,,
trend_null,recovery_core_risk,0.35,null,,1.0,,
trend_null,recovery_core_risk,0.4,null,,0.96,,
trend_null,recovery_core_risk,0.45,null,,0.53,,
trend_null,recovery_core_risk,0.5,null,,0.15,,
trend_null,recovery_core_risk,0.55,null,,0.02,,
trend_null,recovery_core_risk,0.6,null,,0.0,,
trend_null,recovery_core_risk,0.65,null,,0.0,,
trend_null,recovery_core_risk,0.7,null,,0.0,,
trend_null,recovery_core_risk,0.75,null,,0.0,,
trend_null,recovery_core_risk,0.8,null,,0.0,,
trend_null,recovery_core_risk,0.85,null,,0.0,,
trend_null,recovery_core_risk,0.9,null,,0.0,,
trend_null,ac_rl_core,0.3,null,,0.96,,
trend_null,ac_rl_core,0.35,null,,0.46,,
trend_null,ac_rl_core,0.4,null,,0.07,,
trend_null,ac_rl_core,0.45,null,,0.0,,
trend_null,ac_rl_core,0.5,null,,0.0,,
trend_null,ac_rl_core,0.55,null,,0.0,,
trend_null,ac_rl_core,0.6,null,,0.0,,
trend_null,ac_rl_core,0.65,null,,0.0,,
trend_null,ac_rl_core,0.7,null,,0.0,,
trend_null,ac_rl_core,0.75,null,,0.0,,
trend_null,ac_rl_core,0.8,null,,0.0,,
trend_null,ac_rl_core,0.85,null,,0.0,,
trend_null,ac_rl_core,0.9,null,,0.0,,
trend_null,ac_risk,0.3,null,,1.0,,
trend_null,ac_risk,0.35,null,,1.0,,
trend_null,ac_risk,0.4,null,,1.0,,
trend_null,ac_risk,0.45,null,,0.99,,
trend_null,ac_risk,0.5,null,,0.82,,
trend_null,ac_risk,0.55,null,,0.49,,
trend_null,ac_risk,0.6,null,,0.15,,
trend_null,ac_risk,0.65,null,,0.02,,
trend_null,ac_risk,0.7,null,,0.0,,
trend_null,ac_risk,0.75,null,,0.0,,
trend_null,ac_risk,0.8,null,,0.0,,
trend_null,ac_risk,0.85,null,,0.0,,
trend_null,ac_risk,0.9,null,,0.0,,
trend_null,rl_risk,0.3,null,,0.0,,
trend_null,rl_risk,0.35,null,,0.0,,
trend_null,rl_risk,0.4,null,,0.0,,
trend_null,rl_risk,0.45,null,,0.0,,
trend_null,rl_risk,0.5,null,,0.0,,
trend_null,rl_risk,0.55,null,,0.0,,
trend_null,rl_risk,0.6,null,,0.0,,
trend_null,rl_risk,0.65,null,,0.0,,
trend_null,rl_risk,0.7,null,,0.0,,
trend_null,rl_risk,0.75,null,,0.0,,
trend_null,rl_risk,0.8,null,,0.0,,
trend_null,rl_risk,0.85,null,,0.0,,
trend_null,rl_risk,0.9,null,,0.0,,
trend_null,va_risk,0.3,null,,1.0,,
trend_null,va_risk,0.35,null,,1.0,,
trend_null,va_risk,0.4,null,,0.97,,
trend_null,va_risk,0.45,null,,0.9,,
trend_null,va_risk,0.5,null,,0.62,,
trend_null,va_risk,0.55,null,,0.42,,
trend_null,va_risk,0.6,null,,0.16,,
trend_null,va_risk,0.65,null,,0.04,,
trend_null,va_risk,0.7,null,,0.0,,
trend_null,va_risk,0.75,null,,0.0,,
trend_null,va_risk,0.8,null,,0.0,,
trend_null,va_risk,0.85,null,,0.0,,
trend_null,va_risk,0.9,null,,0.0,,
