threshold,seed,scenario,collapse_expected,warning,lead_time,verdict,min_gv,mean_gv
0.45,1,stable_dynamic,False,,,QUIET,0.969,0.9926
0.45,1,noisy_dynamic_recoverable,False,,,QUIET,0.9323,0.9914
0.45,1,critical_slowing_dynamic,True,820,-20,MISS,0.2781,0.7606
0.45,1,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8002
0.45,2,stable_dynamic,False,,,QUIET,0.9703,0.9933
0.45,2,noisy_dynamic_recoverable,False,,,QUIET,0.9361,0.9871
0.45,2,critical_slowing_dynamic,True,860,-60,MISS,0.3335,0.7663
0.45,2,abrupt_collapse_dynamic,True,860,-60,MISS,0.2942,0.7943
0.45,3,stable_dynamic,False,,,QUIET,0.967,0.9898
0.45,3,noisy_dynamic_recoverable,False,,,QUIET,0.9372,0.9865
0.45,3,critical_slowing_dynamic,True,840,-40,MISS,0.2663,0.7632
0.45,3,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8009
0.45,4,stable_dynamic,False,,,QUIET,0.9495,0.9903
0.45,4,noisy_dynamic_recoverable,False,,,QUIET,0.8844,0.9826
0.45,4,critical_slowing_dynamic,True,840,-40,MISS,0.3366,0.7619
0.45,4,abrupt_collapse_dynamic,True,860,-60,MISS,0.2941,0.7957
0.45,5,stable_dynamic,False,,,QUIET,0.9579,0.9909
0.45,5,noisy_dynamic_recoverable,False,,,QUIET,0.9422,0.9864
0.45,5,critical_slowing_dynamic,True,820,-20,MISS,0.2731,0.7523
0.45,5,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7981
0.45,6,stable_dynamic,False,,,QUIET,0.9693,0.9927
0.45,6,noisy_dynamic_recoverable,False,,,QUIET,0.9357,0.985
0.45,6,critical_slowing_dynamic,True,840,-40,MISS,0.3485,0.753
0.45,6,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7987
0.45,7,stable_dynamic,False,,,QUIET,0.9499,0.9915
0.45,7,noisy_dynamic_recoverable,False,,,QUIET,0.912,0.9815
0.45,7,critical_slowing_dynamic,True,840,-40,MISS,0.3208,0.7671
0.45,7,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7992
0.45,8,stable_dynamic,False,,,QUIET,0.9719,0.9923
0.45,8,noisy_dynamic_recoverable,False,,,QUIET,0.9576,0.9926
0.45,8,critical_slowing_dynamic,True,840,-40,MISS,0.3071,0.768
0.45,8,abrupt_collapse_dynamic,True,860,-60,MISS,0.2935,0.7929
0.45,9,stable_dynamic,False,,,QUIET,0.9672,0.992
0.45,9,noisy_dynamic_recoverable,False,,,QUIET,0.938,0.9878
0.45,9,critical_slowing_dynamic,True,840,-40,MISS,0.2751,0.7602
0.45,9,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.799
0.45,10,stable_dynamic,False,,,QUIET,0.9707,0.9893
0.45,10,noisy_dynamic_recoverable,False,,,QUIET,0.9439,0.987
0.45,10,critical_slowing_dynamic,True,860,-60,MISS,0.3497,0.7678
0.45,10,abrupt_collapse_dynamic,True,860,-60,MISS,0.2939,0.7922
0.45,11,stable_dynamic,False,,,QUIET,0.9661,0.9927
0.45,11,noisy_dynamic_recoverable,False,,,QUIET,0.9008,0.9837
0.45,11,critical_slowing_dynamic,True,860,-60,MISS,0.2795,0.765
0.45,11,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.803
0.45,12,stable_dynamic,False,,,QUIET,0.9657,0.9902
0.45,12,noisy_dynamic_recoverable,False,,,QUIET,0.9539,0.9878
0.45,12,critical_slowing_dynamic,True,840,-40,MISS,0.3456,0.7644
0.45,12,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8004
0.45,13,stable_dynamic,False,,,QUIET,0.9704,0.9918
0.45,13,noisy_dynamic_recoverable,False,,,QUIET,0.9578,0.991
0.45,13,critical_slowing_dynamic,True,820,-20,MISS,0.2594,0.7559
0.45,13,abrupt_collapse_dynamic,True,860,-60,MISS,0.2943,0.7948
0.45,14,stable_dynamic,False,,,QUIET,0.9683,0.9931
0.45,14,noisy_dynamic_recoverable,False,,,QUIET,0.9465,0.9883
0.45,14,critical_slowing_dynamic,True,860,-60,MISS,0.3265,0.7688
0.45,14,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8013
0.45,15,stable_dynamic,False,,,QUIET,0.9495,0.9858
0.45,15,noisy_dynamic_recoverable,False,,,QUIET,0.923,0.9808
0.45,15,critical_slowing_dynamic,True,840,-40,MISS,0.3296,0.7617
0.45,15,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7969
0.45,16,stable_dynamic,False,,,QUIET,0.9687,0.9911
0.45,16,noisy_dynamic_recoverable,False,,,QUIET,0.9603,0.9913
0.45,16,critical_slowing_dynamic,True,840,-40,MISS,0.35,0.7598
0.45,16,abrupt_collapse_dynamic,True,860,-60,MISS,0.2926,0.7926
0.45,17,stable_dynamic,False,,,QUIET,0.9494,0.9932
0.45,17,noisy_dynamic_recoverable,False,,,QUIET,0.9487,0.9884
0.45,17,critical_slowing_dynamic,True,800,0,MISS,0.2671,0.7461
0.45,17,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8017
0.45,18,stable_dynamic,False,,,QUIET,0.9705,0.9938
0.45,18,noisy_dynamic_recoverable,False,,,QUIET,0.946,0.99
0.45,18,critical_slowing_dynamic,True,840,-40,MISS,0.2764,0.7636
0.45,18,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8028
0.45,19,stable_dynamic,False,,,QUIET,0.9688,0.9939
0.45,19,noisy_dynamic_recoverable,False,,,QUIET,0.9688,0.994
0.45,19,critical_slowing_dynamic,True,840,-40,MISS,0.2719,0.7611
0.45,19,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8027
0.45,20,stable_dynamic,False,,,QUIET,0.9676,0.9924
0.45,20,noisy_dynamic_recoverable,False,,,QUIET,0.9372,0.9848
0.45,20,critical_slowing_dynamic,True,820,-20,MISS,0.35,0.754
0.45,20,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8025
0.45,21,stable_dynamic,False,,,QUIET,0.9484,0.9914
0.45,21,noisy_dynamic_recoverable,False,,,QUIET,0.9116,0.9828
0.45,21,critical_slowing_dynamic,True,800,0,MISS,0.2708,0.7454
0.45,21,abrupt_collapse_dynamic,True,860,-60,MISS,0.2931,0.7931
0.45,22,stable_dynamic,False,,,QUIET,0.9654,0.9924
0.45,22,noisy_dynamic_recoverable,False,,,QUIET,0.9567,0.9893
0.45,22,critical_slowing_dynamic,True,840,-40,MISS,0.3026,0.7643
0.45,22,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8025
0.45,23,stable_dynamic,False,,,QUIET,0.9712,0.9941
0.45,23,noisy_dynamic_recoverable,False,,,QUIET,0.9305,0.9907
0.45,23,critical_slowing_dynamic,True,840,-40,MISS,0.2726,0.7626
0.45,23,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8023
0.45,24,stable_dynamic,False,,,QUIET,0.9491,0.9896
0.45,24,noisy_dynamic_recoverable,False,,,QUIET,0.9491,0.9849
0.45,24,critical_slowing_dynamic,True,860,-60,MISS,0.3385,0.7685
0.45,24,abrupt_collapse_dynamic,True,860,-60,MISS,0.2937,0.7952
0.45,25,stable_dynamic,False,,,QUIET,0.9497,0.985
0.45,25,noisy_dynamic_recoverable,False,,,QUIET,0.9193,0.9763
0.45,25,critical_slowing_dynamic,True,840,-40,MISS,0.2852,0.7606
0.45,25,abrupt_collapse_dynamic,True,860,-60,MISS,0.2933,0.7898
0.45,26,stable_dynamic,False,,,QUIET,0.9706,0.9936
0.45,26,noisy_dynamic_recoverable,False,,,QUIET,0.9398,0.9933
0.45,26,critical_slowing_dynamic,True,880,-80,MISS,0.35,0.7726
0.45,26,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8016
0.45,27,stable_dynamic,False,,,QUIET,0.9486,0.9926
0.45,27,noisy_dynamic_recoverable,False,,,QUIET,0.9504,0.9919
0.45,27,critical_slowing_dynamic,True,860,-60,MISS,0.35,0.7652
0.45,27,abrupt_collapse_dynamic,True,860,-60,MISS,0.296,0.7936
0.45,28,stable_dynamic,False,,,QUIET,0.9685,0.9915
0.45,28,noisy_dynamic_recoverable,False,,,QUIET,0.9395,0.9919
0.45,28,critical_slowing_dynamic,True,840,-40,MISS,0.2679,0.7624
0.45,28,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8001
0.45,29,stable_dynamic,False,,,QUIET,0.971,0.9953
0.45,29,noisy_dynamic_recoverable,False,,,QUIET,0.9286,0.9846
0.45,29,critical_slowing_dynamic,True,840,-40,MISS,0.311,0.7629
0.45,29,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8015
0.45,30,stable_dynamic,False,,,QUIET,0.9673,0.9912
0.45,30,noisy_dynamic_recoverable,False,,,QUIET,0.9306,0.9809
0.45,30,critical_slowing_dynamic,True,820,-20,MISS,0.2779,0.7495
0.45,30,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.802
0.45,31,stable_dynamic,False,,,QUIET,0.9477,0.993
0.45,31,noisy_dynamic_recoverable,False,,,QUIET,0.9467,0.9877
0.45,31,critical_slowing_dynamic,True,840,-40,MISS,0.2631,0.7553
0.45,31,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8008
0.45,32,stable_dynamic,False,,,QUIET,0.9673,0.9902
0.45,32,noisy_dynamic_recoverable,False,,,QUIET,0.9413,0.986
0.45,32,critical_slowing_dynamic,True,800,0,MISS,0.2674,0.7466
0.45,32,abrupt_collapse_dynamic,True,860,-60,MISS,0.2976,0.7929
0.45,33,stable_dynamic,False,,,QUIET,0.9469,0.9907
0.45,33,noisy_dynamic_recoverable,False,,,QUIET,0.9317,0.9832
0.45,33,critical_slowing_dynamic,True,820,-20,MISS,0.2674,0.7585
0.45,33,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8015
0.45,34,stable_dynamic,False,,,QUIET,0.9503,0.9889
0.45,34,noisy_dynamic_recoverable,False,,,QUIET,0.9579,0.9908
0.45,34,critical_slowing_dynamic,True,860,-60,MISS,0.3378,0.771
0.45,34,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7996
0.45,35,stable_dynamic,False,,,QUIET,0.9521,0.9912
0.45,35,noisy_dynamic_recoverable,False,,,QUIET,0.9506,0.9877
0.45,35,critical_slowing_dynamic,True,840,-40,MISS,0.3336,0.7619
0.45,35,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8001
0.45,36,stable_dynamic,False,,,QUIET,0.949,0.993
0.45,36,noisy_dynamic_recoverable,False,,,QUIET,0.9329,0.9885
0.45,36,critical_slowing_dynamic,True,840,-40,MISS,0.3203,0.7606
0.45,36,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8003
0.45,37,stable_dynamic,False,,,QUIET,0.9493,0.9914
0.45,37,noisy_dynamic_recoverable,False,,,QUIET,0.9493,0.9873
0.45,37,critical_slowing_dynamic,True,820,-20,MISS,0.2657,0.7546
0.45,37,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8022
0.45,38,stable_dynamic,False,,,QUIET,0.9518,0.9927
0.45,38,noisy_dynamic_recoverable,False,,,QUIET,0.9494,0.9878
0.45,38,critical_slowing_dynamic,True,820,-20,MISS,0.2708,0.7583
0.45,38,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8034
0.45,39,stable_dynamic,False,,,QUIET,0.9487,0.9913
0.45,39,noisy_dynamic_recoverable,False,,,QUIET,0.9449,0.9869
0.45,39,critical_slowing_dynamic,True,840,-40,MISS,0.3415,0.758
0.45,39,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8004
0.45,40,stable_dynamic,False,,,QUIET,0.9901,0.9978
0.45,40,noisy_dynamic_recoverable,False,,,QUIET,0.9571,0.9933
0.45,40,critical_slowing_dynamic,True,840,-40,MISS,0.3459,0.7666
0.45,40,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8059
0.45,41,stable_dynamic,False,,,QUIET,0.9484,0.989
0.45,41,noisy_dynamic_recoverable,False,,,QUIET,0.9152,0.9872
0.45,41,critical_slowing_dynamic,True,860,-60,MISS,0.35,0.7602
0.45,41,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7972
0.45,42,stable_dynamic,False,,,QUIET,0.9498,0.9921
0.45,42,noisy_dynamic_recoverable,False,,,QUIET,0.9498,0.9923
0.45,42,critical_slowing_dynamic,True,820,-20,MISS,0.35,0.7559
0.45,42,abrupt_collapse_dynamic,True,860,-60,MISS,0.293,0.7948
0.45,43,stable_dynamic,False,,,QUIET,0.9648,0.9931
0.45,43,noisy_dynamic_recoverable,False,,,QUIET,0.9249,0.9894
0.45,43,critical_slowing_dynamic,True,820,-20,MISS,0.2915,0.7527
0.45,43,abrupt_collapse_dynamic,True,860,-60,MISS,0.2945,0.7963
0.45,44,stable_dynamic,False,,,QUIET,0.9705,0.994
0.45,44,noisy_dynamic_recoverable,False,,,QUIET,0.9635,0.9927
0.45,44,critical_slowing_dynamic,True,840,-40,MISS,0.35,0.761
0.45,44,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8023
0.45,45,stable_dynamic,False,,,QUIET,0.9713,0.9946
0.45,45,noisy_dynamic_recoverable,False,,,QUIET,0.9176,0.9869
0.45,45,critical_slowing_dynamic,True,840,-40,MISS,0.277,0.7655
0.45,45,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8011
0.45,46,stable_dynamic,False,,,QUIET,0.9488,0.9869
0.45,46,noisy_dynamic_recoverable,False,,,QUIET,0.933,0.9831
0.45,46,critical_slowing_dynamic,True,840,-40,MISS,0.2784,0.7555
0.45,46,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7968
0.45,47,stable_dynamic,False,,,QUIET,0.9651,0.9893
0.45,47,noisy_dynamic_recoverable,False,,,QUIET,0.9219,0.9832
0.45,47,critical_slowing_dynamic,True,840,-40,MISS,0.2613,0.7602
0.45,47,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7996
0.45,48,stable_dynamic,False,,,QUIET,0.9702,0.9902
0.45,48,noisy_dynamic_recoverable,False,,,QUIET,0.9022,0.9856
0.45,48,critical_slowing_dynamic,True,820,-20,MISS,0.2782,0.752
0.45,48,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7998
0.45,49,stable_dynamic,False,,,QUIET,0.9512,0.9917
0.45,49,noisy_dynamic_recoverable,False,,,QUIET,0.9416,0.987
0.45,49,critical_slowing_dynamic,True,840,-40,MISS,0.2843,0.7601
0.45,49,abrupt_collapse_dynamic,True,860,-60,MISS,0.2968,0.7943
