agent,step,gv,mode,truth,constraint,coherence,autonomy
recoverable_ai,0,1.0,STABLE,1.0,1.0,1.0,1.0
recoverable_ai,1,0.9896,STABLE,0.9896,0.9896,0.9896,1.0
recoverable_ai,2,0.998066,STABLE,0.997895,0.997895,0.997885,1.0
recoverable_ai,3,1.0,STABLE,1.0,1.0,1.0,1.0
recoverable_ai,4,0.98049,STABLE,0.98049,0.98049,0.98049,1.0
recoverable_ai,5,0.969271,STABLE,0.968951,0.968951,0.968932,1.0
recoverable_ai,6,0.973381,STABLE,0.972589,0.972589,0.972548,1.0
recoverable_ai,7,0.972659,STABLE,0.97151,0.97151,0.971461,1.0
recoverable_ai,8,0.97499,STABLE,0.973507,0.973507,0.973456,1.0
recoverable_ai,9,0.968734,STABLE,0.96699,0.96699,0.966945,1.0
recoverable_ai,10,0.980375,STABLE,0.978293,0.978293,0.978251,1.0
recoverable_ai,11,0.989916,STABLE,0.98772,0.98772,0.987699,1.0
recoverable_ai,12,0.991455,STABLE,0.989314,0.989314,0.98932,1.0
recoverable_ai,13,1.0,STABLE,1.0,1.0,1.0,1.0
recoverable_ai,14,1.0,STABLE,1.0,1.0,1.0,1.0
recoverable_ai,15,0.991407,STABLE,0.991407,0.991407,0.991407,1.0
recoverable_ai,16,0.995889,STABLE,0.995748,0.995748,0.995739,1.0
recoverable_ai,17,0.986676,STABLE,0.986482,0.986482,0.986473,1.0
recoverable_ai,18,0.996687,STABLE,0.996294,0.996294,0.996276,1.0
recoverable_ai,19,0.996485,STABLE,0.996076,0.996076,0.996064,1.0
recoverable_ai,20,0.901655,STABLE,0.975468,0.975468,0.844888,1.0
recoverable_ai,21,0.924162,STABLE,0.989558,0.989558,0.873403,1.0
recoverable_ai,22,0.930612,STABLE,0.988806,0.988806,0.885029,1.0
recoverable_ai,23,0.933597,STABLE,0.985374,0.985374,0.892635,1.0
recoverable_ai,24,0.936964,STABLE,0.982964,0.982964,0.900158,1.0
recoverable_ai,25,0.948769,STABLE,0.989582,0.989582,0.915696,1.0
recoverable_ai,26,0.957705,STABLE,0.994028,0.994028,0.927907,1.0
recoverable_ai,27,0.966201,STABLE,0.998609,0.998609,0.939299,1.0
recoverable_ai,28,0.972821,STABLE,1.0,1.0,0.949796,1.0
recoverable_ai,29,0.988498,STABLE,1.0,1.0,0.976325,1.0
recoverable_ai,30,0.985558,STABLE,0.995936,0.995936,0.974507,1.0
recoverable_ai,31,0.981833,STABLE,0.991122,0.991122,0.97181,1.0
recoverable_ai,32,0.975439,STABLE,0.983659,0.983659,0.966358,1.0
recoverable_ai,33,0.983938,STABLE,0.991061,0.991061,0.975719,1.0
recoverable_ai,34,0.995078,STABLE,1.0,1.0,0.988934,1.0
recoverable_ai,35,0.994401,STABLE,0.998861,0.998861,0.988834,1.0
recoverable_ai,36,0.986526,STABLE,0.990546,0.990546,0.981482,1.0
recoverable_ai,37,0.97955,STABLE,0.983019,0.983019,0.974974,1.0
recoverable_ai,38,0.987977,STABLE,0.990816,0.990816,0.983806,1.0
recoverable_ai,39,0.996386,STABLE,0.998946,0.998946,0.992735,1.0
recoverable_ai,40,0.891085,WATCH,0.972322,0.972322,0.828083,0.96
recoverable_ai,41,0.907858,STABLE,0.979857,0.979857,0.851452,0.96
recoverable_ai,42,0.910797,STABLE,0.974733,0.974733,0.860174,0.96
recoverable_ai,43,0.922311,STABLE,0.978975,0.978975,0.876892,0.96
recoverable_ai,44,0.931462,STABLE,0.98174,0.98174,0.890644,0.96
recoverable_ai,45,0.94067,STABLE,0.985314,0.985314,0.903937,0.96
recoverable_ai,46,0.95545,STABLE,0.995145,0.995145,0.922343,0.96
recoverable_ai,47,0.962278,STABLE,0.99775,0.99775,0.932346,0.96
recoverable_ai,48,0.971089,STABLE,1.0,1.0,0.946011,0.96
recoverable_ai,49,0.974468,STABLE,1.0,1.0,0.952017,0.96
recoverable_ai,50,0.978823,STABLE,1.0,1.0,0.95966,0.96
recoverable_ai,51,0.984762,STABLE,1.0,1.0,0.969897,0.96
recoverable_ai,52,0.971709,STABLE,0.985428,0.985428,0.95821,0.96
recoverable_ai,53,0.971258,STABLE,0.983339,0.983339,0.959053,0.96
recoverable_ai,54,0.969326,STABLE,0.979902,0.979902,0.958294,0.96
recoverable_ai,55,0.965876,STABLE,0.97504,0.97504,0.955906,0.96
recoverable_ai,56,0.966373,STABLE,0.974186,0.974186,0.957359,0.96
recoverable_ai,57,0.984507,STABLE,0.991097,0.991097,0.97634,0.96
recoverable_ai,58,0.977308,STABLE,0.983115,0.983115,0.969905,0.96
recoverable_ai,59,0.989125,STABLE,0.994081,0.994081,0.982403,0.96
recoverable_ai,60,0.973309,STABLE,0.977703,0.977703,0.967219,0.96
recoverable_ai,61,0.97246,STABLE,0.976048,0.976048,0.966899,0.96
recoverable_ai,62,0.976656,STABLE,0.979496,0.979496,0.971548,0.96
recoverable_ai,63,0.984682,STABLE,0.986917,0.986917,0.979982,0.96
recoverable_ai,64,0.9932,STABLE,0.995023,0.995023,0.988901,0.96
recoverable_ai,65,0.998884,STABLE,1.0,1.0,0.997468,0.96
recoverable_ai,66,0.995502,STABLE,0.996513,0.996513,0.994219,0.96
recoverable_ai,67,0.991302,STABLE,0.992154,0.992154,0.990137,0.96
recoverable_ai,68,0.999754,STABLE,1.0,1.0,0.999373,0.96
recoverable_ai,69,0.997864,STABLE,0.998087,0.998087,0.997519,0.96
recoverable_ai,70,0.891157,WATCH,0.971659,0.971659,0.829279,0.9216
recoverable_ai,71,0.893331,WATCH,0.964618,0.964618,0.838025,0.884736
recoverable_ai,72,0.909314,STABLE,0.972279,0.972279,0.859915,0.884736
recoverable_ai,73,0.920089,STABLE,0.97581,0.97581,0.875851,0.884736
recoverable_ai,74,0.935204,STABLE,0.984553,0.984553,0.895523,0.884736
recoverable_ai,75,0.937606,STABLE,0.981455,0.981455,0.901905,0.884736
recoverable_ai,76,0.945559,STABLE,0.984449,0.984449,0.913447,0.884736
recoverable_ai,77,0.957356,STABLE,0.991887,0.991887,0.92843,0.884736
recoverable_ai,78,0.958623,STABLE,0.98941,0.98941,0.932494,0.884736
recoverable_ai,79,0.967384,STABLE,0.994783,0.994783,0.943791,0.884736
recoverable_ai,80,0.964084,STABLE,0.98856,0.98856,0.942735,0.884736
recoverable_ai,81,0.964053,STABLE,0.985799,0.985799,0.94477,0.884736
recoverable_ai,82,0.963807,STABLE,0.983061,0.983061,0.946402,0.884736
recoverable_ai,83,0.955414,STABLE,0.97239,0.97239,0.939714,0.884736
recoverable_ai,84,0.964618,STABLE,0.979358,0.979358,0.950503,0.884736
recoverable_ai,85,0.963357,STABLE,0.976233,0.976233,0.950625,0.884736
recoverable_ai,86,0.967012,STABLE,0.978164,0.978164,0.95553,0.884736
recoverable_ai,87,0.974983,STABLE,0.984631,0.984631,0.964613,0.884736
recoverable_ai,88,0.98184,STABLE,0.990264,0.990264,0.972455,0.884736
recoverable_ai,89,0.990227,STABLE,0.997658,0.997658,0.981723,0.884736
recoverable_ai,90,0.990176,STABLE,0.996851,0.996851,0.982464,0.884736
recoverable_ai,91,0.986879,STABLE,0.992858,0.992858,0.979887,0.884736
recoverable_ai,92,0.987326,STABLE,0.992603,0.992603,0.980989,0.884736
recoverable_ai,93,0.971651,STABLE,0.976292,0.976292,0.965907,0.884736
recoverable_ai,94,0.95985,STABLE,0.963623,0.963623,0.954623,0.884736
recoverable_ai,95,0.913592,STABLE,0.949999,0.949999,0.884496,0.884736
recoverable_ai,96,0.926206,STABLE,0.957797,0.957797,0.900408,0.884736
recoverable_ai,97,0.924484,STABLE,0.951949,0.951949,0.901519,0.884736
recoverable_ai,98,0.928132,STABLE,0.95182,0.95182,0.907712,0.884736
recoverable_ai,99,0.948146,STABLE,0.968474,0.968474,0.92996,0.884736
recoverable_ai,100,0.94965,STABLE,0.967307,0.967307,0.933331,0.884736
recoverable_ai,101,0.961911,STABLE,0.977167,0.977167,0.947258,0.884736
recoverable_ai,102,0.956266,STABLE,0.969566,0.969566,0.943053,0.884736
recoverable_ai,103,0.958413,STABLE,0.969825,0.969825,0.946512,0.884736
recoverable_ai,104,0.952886,STABLE,0.962618,0.962618,0.942146,0.884736
recoverable_ai,105,0.953968,STABLE,0.962068,0.962068,0.944257,0.884736
recoverable_ai,106,0.966716,STABLE,0.973354,0.973354,0.957895,0.884736
recoverable_ai,107,0.952565,STABLE,0.958106,0.958106,0.944536,0.884736
recoverable_ai,108,0.961348,STABLE,0.965634,0.965634,0.953959,0.884736
recoverable_ai,109,0.967318,STABLE,0.970623,0.970623,0.960497,0.884736
recoverable_ai,110,0.964395,STABLE,0.966915,0.966915,0.95809,0.884736
recoverable_ai,111,0.953217,STABLE,0.954968,0.954968,0.947325,0.884736
recoverable_ai,112,0.958251,STABLE,0.959112,0.959112,0.952585,0.884736
recoverable_ai,113,0.956781,STABLE,0.956925,0.956925,0.951317,0.884736
recoverable_ai,114,0.963056,STABLE,0.962525,0.962525,0.957711,0.884736
recoverable_ai,115,0.966627,STABLE,0.965592,0.965592,0.961434,0.884736
recoverable_ai,116,0.985658,STABLE,0.984225,0.984225,0.980627,0.884736
recoverable_ai,117,0.984508,STABLE,0.98303,0.98303,0.979885,0.884736
recoverable_ai,118,0.975628,STABLE,0.974085,0.974085,0.971342,0.884736
recoverable_ai,119,0.979602,STABLE,0.977847,0.977847,0.975472,0.884736
recoverable_ai,120,0.983614,STABLE,0.981731,0.981731,0.979674,0.884736
recoverable_ai,121,0.997362,STABLE,0.996711,0.996711,0.996196,0.884736
recoverable_ai,122,1.0,STABLE,1.0,1.0,1.0,0.884736
recoverable_ai,123,1.0,STABLE,1.0,1.0,1.0,0.884736
recoverable_ai,124,1.0,STABLE,1.0,1.0,1.0,0.884736
recoverable_ai,125,0.988112,STABLE,0.988112,0.988112,0.988112,0.884736
recoverable_ai,126,0.982814,STABLE,0.982618,0.982618,0.982607,0.884736
recoverable_ai,127,0.975131,STABLE,0.974674,0.974674,0.97465,0.884736
recoverable_ai,128,0.97352,STABLE,0.9727,0.9727,0.972663,0.884736
recoverable_ai,129,0.96218,STABLE,0.961008,0.961008,0.960963,0.884736
recoverable_ai,130,0.887915,WATCH,0.949658,0.949658,0.840167,0.849347
recoverable_ai,131,0.884638,WATCH,0.938776,0.938776,0.842229,0.815373
recoverable_ai,132,0.886096,WATCH,0.933273,0.933273,0.848512,0.782758
recoverable_ai,133,0.900588,STABLE,0.94148,0.94148,0.8673,0.782758
recoverable_ai,134,0.918837,STABLE,0.954309,0.954309,0.889253,0.782758
recoverable_ai,135,0.946846,STABLE,0.977748,0.977748,0.920425,0.782758
recoverable_ai,136,0.977878,STABLE,1.0,1.0,0.957676,0.782758
recoverable_ai,137,0.982607,STABLE,1.0,1.0,0.965932,0.782758
recoverable_ai,138,0.974453,STABLE,0.990105,0.990105,0.959311,0.782758
recoverable_ai,139,0.955634,STABLE,0.969536,0.969536,0.941925,0.782758
recoverable_ai,140,0.962579,STABLE,0.974529,0.974529,0.950233,0.782758
recoverable_ai,141,0.958034,STABLE,0.968335,0.968335,0.946887,0.782758
recoverable_ai,142,0.957874,STABLE,0.966588,0.966588,0.947802,0.782758
recoverable_ai,143,0.95574,STABLE,0.963006,0.963006,0.946612,0.782758
recoverable_ai,144,0.958499,STABLE,0.96441,0.96441,0.950187,0.782758
recoverable_ai,145,0.973045,STABLE,0.977775,0.977775,0.965435,0.782758
recoverable_ai,146,0.977118,STABLE,0.981034,0.981034,0.97017,0.782758
recoverable_ai,147,0.977645,STABLE,0.980889,0.980889,0.9713,0.782758
recoverable_ai,148,0.969347,STABLE,0.971985,0.971985,0.963539,0.782758
recoverable_ai,149,0.955431,STABLE,0.957367,0.957367,0.950035,0.782758
recoverable_ai,150,0.954687,STABLE,0.955744,0.955744,0.949506,0.782758
recoverable_ai,151,0.958318,STABLE,0.95857,0.95857,0.953258,0.782758
recoverable_ai,152,0.979811,STABLE,0.979398,0.979398,0.974847,0.782758
recoverable_ai,153,0.982917,STABLE,0.982266,0.982266,0.978288,0.782758
recoverable_ai,154,0.993664,STABLE,0.993442,0.993442,0.990484,0.782758
recoverable_ai,155,0.989214,STABLE,0.988947,0.988947,0.986335,0.782758
recoverable_ai,156,0.978325,STABLE,0.977938,0.977938,0.975651,0.782758
recoverable_ai,157,0.970645,STABLE,0.969963,0.969963,0.967997,0.782758
recoverable_ai,158,0.96607,STABLE,0.964994,0.964994,0.963313,0.782758
recoverable_ai,159,0.990446,STABLE,0.988939,0.988939,0.987498,0.782758
recoverable_ai,160,0.906234,STABLE,0.983207,0.983207,0.846455,0.782758
recoverable_ai,161,0.907043,STABLE,0.975454,0.975454,0.853407,0.782758
recoverable_ai,162,0.925988,STABLE,0.986635,0.986635,0.877902,0.782758
recoverable_ai,163,0.93754,STABLE,0.9915,0.9915,0.894285,0.782758
recoverable_ai,164,0.942478,STABLE,0.99058,0.99058,0.903494,0.782758
recoverable_ai,165,0.948023,STABLE,0.990888,0.990888,0.912872,0.782758
recoverable_ai,166,0.946828,STABLE,0.985033,0.985033,0.915113,0.782758
recoverable_ai,167,0.956696,STABLE,0.990631,0.990631,0.928113,0.782758
recoverable_ai,168,0.956557,STABLE,0.986793,0.986793,0.930742,0.782758
recoverable_ai,169,0.948681,STABLE,0.975541,0.975541,0.925384,0.782758
recoverable_ai,170,0.940989,STABLE,0.964621,0.964621,0.920032,0.782758
recoverable_ai,171,0.948491,STABLE,0.969035,0.969035,0.929692,0.782758
recoverable_ai,172,0.969302,STABLE,0.987179,0.987179,0.9524,0.782758
recoverable_ai,173,0.973913,STABLE,0.989754,0.989754,0.958626,0.782758
recoverable_ai,174,0.975281,STABLE,0.989346,0.989346,0.961441,0.782758
recoverable_ai,175,0.980547,STABLE,0.993014,0.993014,0.968019,0.782758
recoverable_ai,176,0.992754,STABLE,1.0,1.0,0.98375,0.782758
recoverable_ai,177,0.994282,STABLE,1.0,1.0,0.987172,0.782758
recoverable_ai,178,0.990711,STABLE,0.995891,0.995891,0.984268,0.782758
recoverable_ai,179,0.99814,STABLE,1.0,1.0,0.995778,0.782758
recoverable_ai,180,0.999808,STABLE,1.0,1.0,0.999466,0.782758
recoverable_ai,181,1.0,STABLE,1.0,1.0,1.0,0.782758
recoverable_ai,182,1.0,STABLE,1.0,1.0,1.0,0.782758
recoverable_ai,183,0.987755,STABLE,0.987755,0.987755,0.987755,0.782758
recoverable_ai,184,0.975205,STABLE,0.975004,0.975004,0.974992,0.782758
