seed,scenario,detector,collapse_expected,warning,lead_time,verdict
1,stable_dynamic,gv_recoverability,False,,,QUIET
1,stable_dynamic,rolling_z_score,False,,,QUIET
1,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
1,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
1,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
1,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
1,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
1,critical_slowing_dynamic,rolling_z_score,True,,,MISS
1,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
1,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
1,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
1,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
2,stable_dynamic,gv_recoverability,False,,,QUIET
2,stable_dynamic,rolling_z_score,False,,,QUIET
2,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
2,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
2,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
2,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
2,critical_slowing_dynamic,gv_recoverability,True,820,-20,MISS
2,critical_slowing_dynamic,rolling_z_score,True,,,MISS
2,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
2,abrupt_collapse_dynamic,gv_recoverability,True,820,-20,MISS
2,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
2,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
3,stable_dynamic,gv_recoverability,False,,,QUIET
3,stable_dynamic,rolling_z_score,False,,,QUIET
3,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
3,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
3,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
3,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
3,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
3,critical_slowing_dynamic,rolling_z_score,True,,,MISS
3,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
3,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
3,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
