scarcity,fragmentation,visibility,coupling,antifragile_score,unification_score,margin_unification_minus_antifragile,winner,near_boundary
0.0,0.0,0.0,0.0,0.007618,-0.026,-0.033618,antifragile,True
0.0,0.0,0.0,0.05,0.001261,0.086014,0.084753,unification,False
0.0,0.0,0.0,0.1,-0.083776,0.092446,0.176221,unification,False
0.0,0.0,0.0,0.15,-0.049304,0.179594,0.228898,unification,False
0.0,0.0,0.0,0.2,-0.07042,0.228674,0.299094,unification,False
0.0,0.0,0.0,0.25,-0.065515,0.331945,0.39746,unification,False
0.0,0.0,0.0,0.3,-0.103349,0.403181,0.50653,unification,False
0.0,0.0,0.0,0.35,-0.110812,0.416018,0.52683,unification,False
0.0,0.0,0.0,0.4,-0.130781,0.476028,0.606809,unification,False
0.0,0.0,0.0,0.45,-0.135539,0.561252,0.696791,unification,False
0.0,0.0,0.0,0.5,-0.179622,0.607977,0.787598,unification,False
0.0,0.0,0.0,0.55,-0.161936,0.683637,0.845573,unification,False
0.0,0.0,0.0,0.6,-0.220708,0.741197,0.961905,unification,False
0.0,0.0,0.0,0.65,-0.214192,0.821636,1.035828,unification,False
0.0,0.0,0.0,0.7,-0.234682,0.885771,1.120452,unification,False
0.0,0.0,0.0,0.75,-0.208959,0.92734,1.136298,unification,False
0.0,0.0,0.0,0.8,-0.292806,0.979656,1.272462,unification,False
0.0,0.0,0.0,0.85,-0.282101,1.090724,1.372825,unification,False
0.0,0.0,0.0,0.9,-0.317849,1.103996,1.421845,unification,False
0.0,0.0,0.0,0.95,-0.353112,1.203765,1.556877,unification,False
0.0,0.0,0.0,1.0,-0.331419,1.263579,1.594998,unification,False
0.0,0.0,0.05,0.0,0.005862,0.065804,0.059942,unification,False
0.0,0.0,0.05,0.05,0.007917,0.127967,0.12005,unification,False
0.0,0.0,0.05,0.1,0.009286,0.19059,0.181304,unification,False
0.0,0.0,0.05,0.15,-0.013027,0.249189,0.262217,unification,False
0.0,0.0,0.05,0.2,-0.040272,0.325782,0.366054,unification,False
0.0,0.0,0.05,0.25,-0.101429,0.364508,0.465937,unification,False
0.0,0.0,0.05,0.3,-0.094259,0.419028,0.513287,unification,False
0.0,0.0,0.05,0.35,-0.106879,0.534874,0.641752,unification,False
0.0,0.0,0.05,0.4,-0.139146,0.584207,0.723353,unification,False
0.0,0.0,0.05,0.45,-0.177072,0.614128,0.7912,unification,False
0.0,0.0,0.05,0.5,-0.148431,0.699656,0.848087,unification,False
0.0,0.0,0.05,0.55,-0.152219,0.767334,0.919553,unification,False
0.0,0.0,0.05,0.6,-0.196218,0.798441,0.994659,unification,False
0.0,0.0,0.05,0.65,-0.183551,0.867717,1.051268,unification,False
0.0,0.0,0.05,0.7,-0.254392,0.906668,1.16106,unification,False
0.0,0.0,0.05,0.75,-0.262986,1.009929,1.272915,unification,False
0.0,0.0,0.05,0.8,-0.253939,1.077262,1.331201,unification,False
0.0,0.0,0.05,0.85,-0.285681,1.126463,1.412145,unification,False
0.0,0.0,0.05,0.9,-0.27686,1.177266,1.454127,unification,False
0.0,0.0,0.05,0.95,-0.298581,1.230952,1.529532,unification,False
0.0,0.0,0.05,1.0,-0.336576,1.300457,1.637033,unification,False
0.0,0.0,0.1,0.0,0.015104,0.132174,0.11707,unification,False
0.0,0.0,0.1,0.05,0.015765,0.182812,0.167047,unification,False
0.0,0.0,0.1,0.1,0.022019,0.256163,0.234145,unification,False
0.0,0.0,0.1,0.15,0.009135,0.305038,0.295903,unification,False
0.0,0.0,0.1,0.2,-0.035582,0.368007,0.40359,unification,False
0.0,0.0,0.1,0.25,-0.084683,0.396322,0.481006,unification,False
0.0,0.0,0.1,0.3,-0.093067,0.470069,0.563136,unification,False
0.0,0.0,0.1,0.35,-0.067506,0.534863,0.602369,unification,False
0.0,0.0,0.1,0.4,-0.104454,0.652481,0.756935,unification,False
0.0,0.0,0.1,0.45,-0.121407,0.700938,0.822344,unification,False
0.0,0.0,0.1,0.5,-0.15334,0.739864,0.893205,unification,False
0.0,0.0,0.1,0.55,-0.171251,0.799024,0.970275,unification,False
0.0,0.0,0.1,0.6,-0.143992,0.826817,0.970809,unification,False
0.0,0.0,0.1,0.65,-0.171639,0.938443,1.110083,unification,False
0.0,0.0,0.1,0.7,-0.214854,0.958849,1.173702,unification,False
0.0,0.0,0.1,0.75,-0.215697,1.044263,1.259959,unification,False
0.0,0.0,0.1,0.8,-0.229183,1.120546,1.349729,unification,False
0.0,0.0,0.1,0.85,-0.212456,1.176516,1.388972,unification,False
0.0,0.0,0.1,0.9,-0.295587,1.249482,1.545069,unification,False
0.0,0.0,0.1,0.95,-0.282,1.34148,1.62348,unification,False
0.0,0.0,0.1,1.0,-0.284122,1.378922,1.663044,unification,False
0.0,0.0,0.15,0.0,0.104083,0.150281,0.046198,unification,True
0.0,0.0,0.15,0.05,0.034006,0.219336,0.185329,unification,False
0.0,0.0,0.15,0.1,0.022755,0.270583,0.247828,unification,False
0.0,0.0,0.15,0.15,0.030879,0.361944,0.331066,unification,False
0.0,0.0,0.15,0.2,-0.03927,0.404611,0.443881,unification,False
0.0,0.0,0.15,0.25,-0.012162,0.513453,0.525615,unification,False
0.0,0.0,0.15,0.3,0.012418,0.627847,0.615428,unification,False
0.0,0.0,0.15,0.35,-0.04464,0.592762,0.637401,unification,False
0.0,0.0,0.15,0.4,-0.125801,0.686693,0.812494,unification,False
0.0,0.0,0.15,0.45,-0.110324,0.732116,0.84244,unification,False
0.0,0.0,0.15,0.5,-0.122802,0.80148,0.924283,unification,False
0.0,0.0,0.15,0.55,-0.09835,0.871426,0.969777,unification,False
0.0,0.0,0.15,0.6,-0.146466,0.904109,1.050575,unification,False
0.0,0.0,0.15,0.65,-0.201867,0.980342,1.182209,unification,False
0.0,0.0,0.15,0.7,-0.178845,1.099198,1.278043,unification,False
0.0,0.0,0.15,0.75,-0.191743,1.142068,1.333812,unification,False
0.0,0.0,0.15,0.8,-0.224982,1.150376,1.375359,unification,False
0.0,0.0,0.15,0.85,-0.254128,1.224369,1.478497,unification,False
0.0,0.0,0.15,0.9,-0.194288,1.284465,1.478754,unification,False
0.0,0.0,0.15,0.95,-0.244038,1.344927,1.588965,unification,False
0.0,0.0,0.15,1.0,-0.259211,1.439624,1.698834,unification,False
0.0,0.0,0.2,0.0,0.086084,0.238981,0.152897,unification,False
0.0,0.0,0.2,0.05,0.05613,0.313652,0.257521,unification,False
0.0,0.0,0.2,0.1,0.043625,0.33436,0.290734,unification,False
0.0,0.0,0.2,0.15,0.005552,0.431815,0.426263,unification,False
0.0,0.0,0.2,0.2,0.059477,0.494,0.434523,unification,False
0.0,0.0,0.2,0.25,-0.000466,0.559646,0.560112,unification,False
0.0,0.0,0.2,0.3,0.01765,0.620485,0.602835,unification,False
0.0,0.0,0.2,0.35,-0.042773,0.705157,0.74793,unification,False
0.0,0.0,0.2,0.4,-0.039281,0.778394,0.817675,unification,False
0.0,0.0,0.2,0.45,-0.062919,0.771888,0.834807,unification,False
0.0,0.0,0.2,0.5,-0.119204,0.906273,1.025477,unification,False
0.0,0.0,0.2,0.55,-0.059408,0.923012,0.98242,unification,False
0.0,0.0,0.2,0.6,-0.12958,1.026536,1.156116,unification,False
0.0,0.0,0.2,0.65,-0.165176,1.030132,1.195308,unification,False
0.0,0.0,0.2,0.7,-0.138917,1.105135,1.244052,unification,False
0.0,0.0,0.2,0.75,-0.172628,1.173414,1.346042,unification,False
