system,step,escape,basin,truth,constraint,coherence,option_density,civilization_access,discoveries,survivability
power_maximizer,0,0.95,0.34548,1.0,1.0,1.0,0.5,0.5,0,0.719096
power_maximizer,1,0.95,0.338863,1.0,0.998103,0.997723,0.5,0.5,0,0.717105
power_maximizer,2,0.95,0.335838,1.0,1.0,1.0,0.5,0.5,0,0.717168
power_maximizer,3,0.95,0.348656,1.0,0.994844,0.993813,0.5,0.5,0,0.717916
power_maximizer,4,0.95,0.344785,1.0,0.994607,0.993528,0.5,0.5,0,0.717059
power_maximizer,5,0.95,0.343138,1.0,0.993744,0.992493,0.5,0.5,0,0.716425
power_maximizer,6,0.95,0.344121,1.0,0.996012,0.995214,0.5,0.5,0,0.71742
power_maximizer,7,0.95,0.351367,1.0,0.993621,0.992345,0.5,0.5,0,0.718028
power_maximizer,8,0.95,0.348657,1.0,1.0,1.0,0.5,0.5,0,0.719731
power_maximizer,9,0.95,0.345736,0.995053,1.0,0.994064,0.5,0.5,0,0.717307
power_maximizer,10,0.95,0.353881,0.991119,1.0,0.989343,0.5,0.5,0,0.717473
power_maximizer,11,0.95,0.359431,0.996455,1.0,0.995745,0.5,0.5,0,0.720567
power_maximizer,12,0.95,0.363771,0.998232,1.0,0.997878,0.5,0.5,0,0.722096
power_maximizer,13,0.95,0.365014,0.995431,0.996167,0.995284,0.5,0.5,0,0.720812
power_maximizer,14,0.95,0.380773,0.990291,1.0,0.988349,0.5,0.5,0,0.722543
power_maximizer,15,0.95,0.381894,0.991384,1.0,0.98966,0.5,0.5,0,0.723174
power_maximizer,16,0.95,0.392041,0.989395,0.997226,0.987828,0.5,0.5,0,0.724108
power_maximizer,17,0.95,0.394311,0.981868,0.990459,0.98015,0.5,0.5,0,0.720896
power_maximizer,18,0.95,0.402088,0.98294,0.994717,0.980585,0.5,0.5,0,0.723395
power_maximizer,19,0.95,0.407156,0.986898,0.992924,0.985693,0.5,0.5,0,0.725652
power_maximizer,20,0.95,0.405661,0.984877,0.990719,0.983709,0.5,0.5,0,0.724318
power_maximizer,21,0.95,0.413357,0.982242,0.990905,0.98051,0.5,0.5,0,0.724901
power_maximizer,22,0.95,0.420729,0.986448,0.990423,0.985653,0.5,0.5,0,0.727878
power_maximizer,23,0.95,0.423891,0.976486,0.981855,0.975412,0.5,0.5,0,0.723709
power_maximizer,24,0.95,0.419713,0.979167,0.97664,0.976135,0.5,0.5,0,0.722637
power_maximizer,25,0.95,0.433907,0.977279,0.981346,0.976466,0.5,0.5,0,0.725942
power_maximizer,26,0.95,0.436063,0.971852,0.979535,0.970315,0.5,0.5,0,0.724122
power_maximizer,27,0.95,0.426045,0.974796,0.981207,0.973514,0.5,0.5,0,0.723428
power_maximizer,28,0.95,0.418276,0.975532,0.978256,0.974987,0.5,0.5,0,0.72177
power_maximizer,29,0.95,0.422251,0.985436,0.977081,0.97541,0.5,0.5,0,0.724227
power_maximizer,30,0.95,0.427485,0.986931,0.985511,0.985227,0.5,0.5,0,0.728463
power_maximizer,31,0.95,0.43414,0.995867,0.978552,0.975089,0.5,0.5,0,0.728667
power_maximizer,32,0.95,0.430528,0.993578,0.970549,0.965944,0.5,0.5,0,0.724789
power_maximizer,33,0.95,0.43255,0.98483,0.964809,0.960805,0.5,0.5,0,0.721878
power_maximizer,34,0.95,0.443055,0.996993,0.982715,0.979859,0.5,0.5,0,0.732082
power_maximizer,35,0.95,0.438939,0.984236,0.984529,0.984178,0.5,0.5,0,0.729943
power_maximizer,36,0.95,0.439416,0.980753,0.983869,0.98013,0.5,0.5,0,0.728659
power_maximizer,37,0.95,0.444472,0.980032,0.977849,0.977412,0.5,0.5,0,0.728142
