time,value,event
0.0,10.0,unlabeled
1.0,11.0,unlabeled
2.0,10.0,unlabeled
3.0,12.0,unlabeled
4.0,11.0,unlabeled
5.0,15.0,unlabeled
6.0,18.0,unlabeled
7.0,14.0,unlabeled
8.0,12.0,unlabeled
9.0,11.0,unlabeled
10.0,25.0,unlabeled
11.0,28.0,unlabeled
12.0,24.0,unlabeled
13.0,19.0,unlabeled
14.0,15.0,unlabeled
15.0,13.0,unlabeled
16.0,12.0,unlabeled
17.0,30.0,unlabeled
18.0,35.0,unlabeled
19.0,33.0,unlabeled
20.0,28.0,unlabeled
21.0,24.0,unlabeled
22.0,19.0,unlabeled
23.0,16.0,unlabeled
24.0,14.0,unlabeled
25.0,40.0,unlabeled
26.0,46.0,unlabeled
27.0,44.0,unlabeled
28.0,39.0,unlabeled
29.0,35.0,unlabeled
30.0,31.0,unlabeled
31.0,28.0,unlabeled
32.0,24.0,unlabeled
33.0,21.0,unlabeled
34.0,19.0,unlabeled
35.0,55.0,unlabeled
36.0,62.0,unlabeled
37.0,67.0,unlabeled
38.0,71.0,unlabeled
39.0,76.0,unlabeled
40.0,81.0,unlabeled
41.0,88.0,unlabeled
42.0,96.0,unlabeled
43.0,105.0,unlabeled
44.0,117.0,unlabeled
45.0,132.0,unlabeled
