time,value,slope,acceleration,gv_transition,candidate_transition
0.0,10.0,0.0,0.0,1.0,False
1.0,11.0,0.0,0.0,1.0,False
2.0,10.0,0.0,0.0,1.0,False
3.0,12.0,0.0,0.0,1.0,False
4.0,11.0,0.0,0.0,1.0,False
5.0,15.0,0.0,0.0,1.0,False
6.0,18.0,0.0,0.0,1.0,False
7.0,14.0,0.0,0.0,1.0,False
8.0,12.0,0.0,0.0,1.0,False
9.0,11.0,0.0,0.0,1.0,False
10.0,25.0,0.0,0.0,1.0,False
11.0,28.0,0.0,0.0,1.0,False
12.0,24.0,0.0,0.0,1.0,False
13.0,19.0,0.0,0.0,1.0,False
14.0,15.0,0.0,0.0,1.0,False
15.0,13.0,0.0,0.0,1.0,False
16.0,12.0,0.1429,-0.4286,0.9884,False
17.0,30.0,0.1429,0.0,0.9882,False
18.0,35.0,0.7143,0.5714,0.8992,False
19.0,33.0,1.0,-0.8571,0.9394,False
20.0,28.0,1.2857,-1.1429,0.9278,False
21.0,24.0,1.2857,0.0,0.9269,False
22.0,19.0,1.2857,1.1429,0.8454,False
23.0,16.0,0.8571,0.7143,0.9,False
24.0,14.0,0.5714,0.4286,0.9358,False
25.0,40.0,-2.2857,-2.4286,1.0,False
26.0,46.0,0.7143,0.0,0.9609,False
27.0,44.0,1.8571,0.8571,0.8677,False
28.0,39.0,2.2857,1.0,0.8553,False
29.0,35.0,2.1429,0.8571,0.8736,False
30.0,31.0,2.2857,1.0,0.8608,False
31.0,28.0,2.1429,1.2857,0.8463,False
32.0,24.0,2.0,1.4286,0.8331,False
33.0,21.0,-2.2857,0.0,1.0,False
34.0,19.0,-3.5714,-4.2857,1.0,False
35.0,55.0,-3.5714,-5.4286,1.0,False
36.0,62.0,2.2857,0.0,0.911,False
37.0,67.0,3.8571,1.7143,0.8067,False
38.0,71.0,5.1429,2.8571,0.757,False
39.0,76.0,6.1429,4.0,0.7181,False
40.0,81.0,7.4286,5.4286,0.6638,True
41.0,88.0,8.5714,10.8571,0.4976,True
42.0,96.0,9.8571,13.4286,0.4608,True
43.0,105.0,5.8571,9.4286,0.6826,True
44.0,117.0,6.1429,3.8571,0.823,False
45.0,132.0,7.1429,3.2857,0.8372,False
