time,local_gv,global_gv,combined_gv,local_recovery,local_persistence,local_directional,local_volatility,resource,hidden_global_strain,density,beta0_components,beta1_cycles,fragmentation,avg_degree,local_global_gap
0,0.786277,0.99,0.888138,0.72,0.82,0.84,0.134465,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.203723
1,0.786756,0.99,0.888378,0.72,0.82,0.84,0.12488,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.203244
2,0.785865,0.99,0.887933,0.72,0.82,0.84,0.142705,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.204135
3,0.78554,0.99,0.88777,0.72,0.82,0.84,0.149193,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.20446
4,0.784174,0.99,0.887087,0.72,0.82,0.84,0.176519,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.205826
5,0.785402,0.99,0.887701,0.72,0.82,0.84,0.151954,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.204598
6,0.784763,0.99,0.887382,0.72,0.82,0.84,0.164741,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.205237
7,0.785874,0.99,0.887937,0.72,0.82,0.84,0.142511,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.204126
8,0.786389,0.99,0.888194,0.72,0.82,0.84,0.132226,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.203611
9,0.786224,0.99,0.888112,0.72,0.82,0.84,0.135523,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.203776
10,0.786044,0.99,0.888022,0.72,0.82,0.84,0.139122,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.203956
11,0.783904,0.99,0.886952,0.72,0.82,0.84,0.181927,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.206096
12,0.786116,0.99,0.888058,0.72,0.82,0.84,0.137679,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.203884
13,0.784871,0.99,0.887436,0.72,0.82,0.84,0.162577,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.205129
14,0.786177,0.99,0.888089,0.72,0.82,0.84,0.136456,1.0,0.0,0.228758,1.0,18.0,0.0,3.888889,-0.203823
15,0.764351,0.99,0.877175,0.702,0.8068,0.8232,0.269389,1.0,0.0,0.248366,1.0,21.0,0.0,4.222222,-0.225649
16,0.798411,0.99,0.894205,0.738,0.8308,0.8472,0.140178,1.0,0.0,0.248366,1.0,21.0,0.0,4.222222,-0.191589
17,0.797585,0.99,0.893792,0.738,0.8308,0.8472,0.156691,1.0,0.0,0.248366,1.0,21.0,0.0,4.222222,-0.192415
18,0.798261,0.99,0.89413,0.738,0.8308,0.8472,0.143175,1.0,0.0,0.248366,1.0,21.0,0.0,4.222222,-0.191739
19,0.798839,0.99,0.894419,0.738,0.8308,0.8472,0.131616,1.0,0.0,0.248366,1.0,21.0,0.0,4.222222,-0.191161
20,0.77662,0.99,0.88331,0.72,0.8176,0.8304,0.2724,1.0,0.0,0.254902,1.0,22.0,0.0,4.333333,-0.21338
21,0.810429,0.99,0.900214,0.756,0.8416,0.8544,0.14822,1.0,0.0,0.254902,1.0,22.0,0.0,4.333333,-0.179571
22,0.810126,0.99,0.900063,0.756,0.8416,0.8544,0.154287,1.0,0.0,0.254902,1.0,22.0,0.0,4.333333,-0.179874
23,0.80936,0.99,0.89968,0.756,0.8416,0.8544,0.16959,1.0,0.0,0.254902,1.0,22.0,0.0,4.333333,-0.18064
24,0.810175,0.99,0.900087,0.756,0.8416,0.8544,0.153291,1.0,0.0,0.254902,1.0,22.0,0.0,4.333333,-0.179825
25,0.788008,0.99,0.889004,0.738,0.8284,0.8376,0.293036,1.0,0.0,0.27451,1.0,25.0,0.0,4.666667,-0.201992
26,0.822623,0.99,0.906311,0.774,0.8524,0.8616,0.152749,1.0,0.0,0.27451,1.0,25.0,0.0,4.666667,-0.167377
27,0.823678,0.99,0.906839,0.774,0.8524,0.8616,0.131633,1.0,0.0,0.27451,1.0,25.0,0.0,4.666667,-0.166322
28,0.823786,0.99,0.906893,0.774,0.8524,0.8616,0.129478,1.0,0.0,0.27451,1.0,25.0,0.0,4.666667,-0.166214
29,0.821522,0.99,0.905761,0.774,0.8524,0.8616,0.174764,1.0,0.0,0.27451,1.0,25.0,0.0,4.666667,-0.168478
30,0.800484,0.99,0.895242,0.756,0.8392,0.8448,0.291922,1.0,0.0,0.287582,1.0,27.0,0.0,4.888889,-0.189516
31,0.83601,0.99,0.913005,0.792,0.8632,0.8688,0.133394,1.0,0.0,0.287582,1.0,27.0,0.0,4.888889,-0.15399
32,0.835851,0.99,0.912926,0.792,0.8632,0.8688,0.136579,1.0,0.0,0.287582,1.0,27.0,0.0,4.888889,-0.154149
33,0.834698,0.99,0.912349,0.792,0.8632,0.8688,0.15965,1.0,0.0,0.287582,1.0,27.0,0.0,4.888889,-0.155302
34,0.835476,0.99,0.912738,0.792,0.8632,0.8688,0.144081,1.0,0.0,0.287582,1.0,27.0,0.0,4.888889,-0.154524
35,0.812944,0.99,0.901472,0.774,0.85,0.852,0.291112,1.0,0.0,0.300654,1.0,29.0,0.0,5.111111,-0.177056
36,0.847532,0.99,0.918766,0.81,0.874,0.876,0.151359,1.0,0.0,0.300654,1.0,29.0,0.0,5.111111,-0.142468
37,0.847117,0.99,0.918559,0.81,0.874,0.876,0.159659,1.0,0.0,0.300654,1.0,29.0,0.0,5.111111,-0.142883
38,0.849138,0.99,0.919569,0.81,0.874,0.876,0.119247,1.0,0.0,0.300654,1.0,29.0,0.0,5.111111,-0.140862
39,0.847637,0.99,0.918818,0.81,0.874,0.876,0.149269,1.0,0.0,0.300654,1.0,29.0,0.0,5.111111,-0.142363
40,0.826671,0.99,0.908335,0.792,0.8608,0.8592,0.264988,1.0,0.0,0.30719,1.0,30.0,0.0,5.222222,-0.163329
41,0.859333,0.99,0.924667,0.828,0.8848,0.8832,0.163739,1.0,0.0,0.30719,1.0,30.0,0.0,5.222222,-0.130667
42,0.861015,0.99,0.925507,0.828,0.8848,0.8832,0.130104,1.0,0.0,0.30719,1.0,30.0,0.0,5.222222,-0.128985
43,0.859997,0.99,0.924999,0.828,0.8848,0.8832,0.150459,1.0,0.0,0.30719,1.0,30.0,0.0,5.222222,-0.130003
44,0.860383,0.99,0.925191,0.828,0.8848,0.8832,0.142737,1.0,0.0,0.30719,1.0,30.0,0.0,5.222222,-0.129617
45,0.837837,0.99,0.913919,0.81,0.8716,0.8664,0.290061,1.0,0.0,0.320261,1.0,32.0,0.0,5.444444,-0.152163
46,0.872556,0.98484,0.928698,0.846,0.8956,0.8904,0.147682,0.996,0.006,0.320261,1.0,32.0,0.0,5.444444,-0.112284
47,0.872962,0.97968,0.926321,0.846,0.8956,0.8904,0.139561,0.992,0.012,0.320261,1.0,32.0,0.0,5.444444,-0.106718
48,0.872608,0.97452,0.923564,0.846,0.8956,0.8904,0.146642,0.988,0.018,0.320261,1.0,32.0,0.0,5.444444,-0.101912
49,0.872258,0.96936,0.920809,0.846,0.8956,0.8904,0.153637,0.984,0.024,0.320261,1.0,32.0,0.0,5.444444,-0.097102
50,0.851089,0.9642,0.907644,0.828,0.8824,0.8736,0.273423,0.98,0.03,0.333333,1.0,34.0,0.0,5.666667,-0.113111
51,0.882972,0.95904,0.921006,0.864,0.9064,0.8976,0.187762,0.976,0.036,0.333333,1.0,34.0,0.0,5.666667,-0.076068
52,0.883452,0.95388,0.918666,0.864,0.9064,0.8976,0.178153,0.972,0.042,0.333333,1.0,34.0,0.0,5.666667,-0.070428
53,0.8855,0.94872,0.91711,0.864,0.9064,0.8976,0.137201,0.968,0.048,0.333333,1.0,34.0,0.0,5.666667,-0.06322
54,0.885076,0.94356,0.914318,0.864,0.9064,0.8976,0.145689,0.964,0.054,0.333333,1.0,34.0,0.0,5.666667,-0.058484
55,0.862776,0.9384,0.900588,0.846,0.8932,0.8808,0.288088,0.96,0.06,0.346405,1.0,36.0,0.0,5.888889,-0.075624
56,0.897827,0.93324,0.915534,0.882,0.9172,0.9048,0.139064,0.956,0.066,0.346405,1.0,36.0,0.0,5.888889,-0.035413
57,0.897771,0.92808,0.912926,0.882,0.9172,0.9048,0.140188,0.952,0.072,0.346405,1.0,36.0,0.0,5.888889,-0.030309
58,0.89889,0.92292,0.910905,0.882,0.9172,0.9048,0.117791,0.948,0.078,0.346405,1.0,36.0,0.0,5.888889,-0.02403
59,0.897402,0.91776,0.907581,0.882,0.9172,0.9048,0.14756,0.944,0.084,0.346405,1.0,36.0,0.0,5.888889,-0.020358
60,0.876497,0.9126,0.894548,0.864,0.904,0.888,0.262058,0.94,0.09,0.352941,1.0,37.0,0.0,6.0,-0.036103
61,0.910358,0.90744,0.908899,0.9,0.928,0.912,0.136847,0.936,0.096,0.352941,1.0,37.0,0.0,6.0,0.002918
62,0.909771,0.90228,0.906025,0.9,0.928,0.912,0.148586,0.932,0.102,0.352941,1.0,37.0,0.0,6.0,0.007491
63,0.911018,0.89712,0.904069,0.9,0.928,0.912,0.123634,0.928,0.108,0.352941,1.0,37.0,0.0,6.0,0.013898
64,0.9108,0.89196,0.90138,0.9,0.928,0.912,0.127994,0.924,0.114,0.352941,1.0,37.0,0.0,6.0,0.01884
65,0.887142,0.8868,0.886971,0.882,0.9148,0.8952,0.297554,0.92,0.12,0.366013,1.0,39.0,0.0,6.222222,0.000342
66,0.919941,0.88164,0.900791,0.918,0.9388,0.9192,0.193576,0.916,0.126,0.366013,1.0,39.0,0.0,6.222222,0.038301
67,0.922999,0.87648,0.89974,0.918,0.9388,0.9192,0.132427,0.912,0.132,0.366013,1.0,39.0,0.0,6.222222,0.046519
68,0.922396,0.87132,0.896858,0.918,0.9388,0.9192,0.144476,0.908,0.138,0.366013,1.0,39.0,0.0,6.222222,0.051076
69,0.921864,0.86616,0.894012,0.918,0.9388,0.9192,0.155123,0.904,0.144,0.366013,1.0,39.0,0.0,6.222222,0.055704
70,0.900357,0.861,0.880678,0.9,0.9256,0.9024,0.28166,0.9,0.15,0.366013,1.0,39.0,0.0,6.222222,0.039357
71,0.934214,0.85584,0.895027,0.936,0.9496,0.9264,0.156521,0.896,0.156,0.366013,1.0,39.0,0.0,6.222222,0.078374
72,0.934822,0.85068,0.892751,0.936,0.9496,0.9264,0.144358,0.892,0.162,0.366013,1.0,39.0,0.0,6.222222,0.084142
73,0.93464,0.84552,0.89008,0.936,0.9496,0.9264,0.147993,0.888,0.168,0.366013,1.0,39.0,0.0,6.222222,0.08912
74,0.935571,0.84036,0.887965,0.936,0.9496,0.9264,0.129377,0.884,0.174,0.366013,1.0,39.0,0.0,6.222222,0.095211
75,0.934719,0.8352,0.88496,0.936,0.9496,0.9264,0.146427,0.88,0.18,0.366013,1.0,39.0,0.0,6.222222,0.099519
76,0.93474,0.83004,0.88239,0.936,0.9496,0.9264,0.146004,0.876,0.186,0.366013,1.0,39.0,0.0,6.222222,0.1047
77,0.934366,0.82488,0.879623,0.936,0.9496,0.9264,0.153483,0.872,0.192,0.366013,1.0,39.0,0.0,6.222222,0.109486
78,0.934956,0.81972,0.877338,0.936,0.9496,0.9264,0.14167,0.868,0.198,0.366013,1.0,39.0,0.0,6.222222,0.115236
79,0.934186,0.81456,0.874373,0.936,0.9496,0.9264,0.157073,0.864,0.204,0.366013,1.0,39.0,0.0,6.222222,0.119626
80,0.93378,0.8094,0.87159,0.936,0.9496,0.9264,0.165191,0.86,0.21,0.366013,1.0,39.0,0.0,6.222222,0.12438
81,0.934423,0.80424,0.869331,0.936,0.9496,0.9264,0.152331,0.856,0.216,0.366013,1.0,39.0,0.0,6.222222,0.130183
82,0.934276,0.79908,0.866678,0.936,0.9496,0.9264,0.155276,0.852,0.222,0.366013,1.0,39.0,0.0,6.222222,0.135196
83,0.9345,0.79392,0.86421,0.936,0.9496,0.9264,0.150797,0.848,0.228,0.366013,1.0,39.0,0.0,6.222222,0.14058
84,0.93454,0.78876,0.86165,0.936,0.9496,0.9264,0.150001,0.844,0.234,0.366013,1.0,39.0,0.0,6.222222,0.14578
85,0.935081,0.7836,0.859341,0.936,0.9496,0.9264,0.139177,0.84,0.24,0.366013,1.0,39.0,0.0,6.222222,0.151481
86,0.934303,0.77844,0.856372,0.936,0.9496,0.9264,0.154747,0.836,0.246,0.366013,1.0,39.0,0.0,6.222222,0.155863
87,0.934251,0.76176,0.848005,0.936,0.9496,0.9264,0.155788,0.822,0.264,0.366013,1.0,39.0,0.0,6.222222,0.172491
88,0.933647,0.74508,0.839363,0.936,0.9496,0.9264,0.167867,0.808,0.282,0.359477,1.0,38.0,0.0,6.111111,0.188567
89,0.934199,0.7284,0.8313,0.936,0.9496,0.9264,0.156816,0.794,0.3,0.352941,1.0,37.0,0.0,6.0,0.205799
90,0.934759,0.71172,0.82324,0.936,0.9496,0.9264,0.145617,0.78,0.318,0.333333,1.0,34.0,0.0,5.666667,0.223039
91,0.936465,0.69504,0.815752,0.936,0.9496,0.9264,0.1115,0.766,0.336,0.326797,1.0,33.0,0.0,5.555556,0.241425
92,0.935858,0.67836,0.807109,0.936,0.9496,0.9264,0.123649,0.752,0.354,0.320261,1.0,32.0,0.0,5.444444,0.257498
93,0.934786,0.66168,0.798233,0.936,0.9496,0.9264,0.145072,0.738,0.372,0.313725,1.0,31.0,0.0,5.333333,0.273106
