agent,step,perturbation,memory,intent,correction,constraint,truth,coherence,gv_intelligence
recoverable_intelligence,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recoverable_intelligence,1,0.0,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844,0.9844
recoverable_intelligence,2,0.0,0.998184,0.997903,0.998465,0.997379,0.99771,0.997647,0.997912
recoverable_intelligence,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recoverable_intelligence,4,0.0,0.970734,0.970734,0.970734,0.970734,0.970734,0.970734,0.970734
recoverable_intelligence,5,0.0,0.955943,0.955416,0.95647,0.954433,0.955053,0.954935,0.955433
recoverable_intelligence,6,0.0,0.964998,0.963754,0.966223,0.961381,0.962886,0.962594,0.963777
recoverable_intelligence,7,0.0,0.965924,0.96423,0.967559,0.960901,0.963026,0.962603,0.964229
recoverable_intelligence,8,0.0,0.971193,0.969128,0.973146,0.964965,0.96764,0.967096,0.969092
recoverable_intelligence,9,0.0,0.963064,0.960778,0.965184,0.956038,0.959103,0.958464,0.960695
recoverable_intelligence,10,0.0,0.982238,0.979617,0.984642,0.974082,0.977676,0.976915,0.979491
recoverable_intelligence,11,0.0,0.996783,0.994219,0.999073,0.98861,0.992281,0.991482,0.994032
recoverable_intelligence,12,0.0,0.998294,0.996042,1.0,0.990858,0.994287,0.993511,0.99575
recoverable_intelligence,13,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recoverable_intelligence,14,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recoverable_intelligence,15,0.0,0.987111,0.987111,0.987111,0.987111,0.987111,0.987111,0.987111
recoverable_intelligence,16,0.0,0.99473,0.994498,0.994962,0.994065,0.994338,0.994286,0.994505
recoverable_intelligence,17,0.0,0.9812,0.980907,0.981486,0.980337,0.9807,0.980628,0.980909
recoverable_intelligence,18,0.0,0.997423,0.996833,0.997995,0.995684,0.996417,0.996272,0.996836
recoverable_intelligence,19,0.0,0.997091,0.99654,0.997607,0.995412,0.996139,0.995989,0.996525
recoverable_intelligence,20,0.186132,0.884976,0.893758,0.904064,0.970814,0.975265,0.896461,0.926059
recoverable_intelligence,21,0.0,0.921948,0.927395,0.939671,0.992374,0.996859,0.931378,0.955918
recoverable_intelligence,22,0.0,0.932274,0.935532,0.948212,0.990898,0.994954,0.940021,0.960619
recoverable_intelligence,23,0.0,0.936821,0.938391,0.951109,0.985478,0.989193,0.943147,0.96042
recoverable_intelligence,24,0.0,0.941774,0.941981,0.954627,0.981799,0.985333,0.946886,0.961303
recoverable_intelligence,25,0.0,0.959191,0.95832,0.970779,0.991793,0.995248,0.963265,0.975247
recoverable_intelligence,26,0.0,0.971284,0.969804,0.981521,0.998181,1.0,0.974516,0.984317
recoverable_intelligence,27,0.0,0.982127,0.980343,0.991038,1.0,1.0,0.984392,0.990828
recoverable_intelligence,28,0.0,0.991485,0.989636,0.999113,1.0,1.0,0.99265,0.99613
recoverable_intelligence,29,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recoverable_intelligence,30,0.0,0.993904,0.993904,0.993904,0.993904,0.993904,0.993904,0.993904
recoverable_intelligence,31,0.0,0.987208,0.987098,0.987317,0.986893,0.987022,0.986998,0.987102
recoverable_intelligence,32,0.0,0.977073,0.976749,0.977394,0.976134,0.976524,0.976448,0.976756
recoverable_intelligence,33,0.0,0.990027,0.989337,0.990703,0.988008,0.988853,0.988688,0.989346
recoverable_intelligence,34,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recoverable_intelligence,35,0.0,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291
recoverable_intelligence,36,0.0,0.985965,0.985935,0.985996,0.985877,0.985913,0.985906,0.985936
