agent,step,perturbation,memory,intent,correction,constraint,truth,coherence,gv,mode,reasons,action
gv_runtime_recoverable,0,0.0,1.0,0.9896,1.0,1.0,0.98049,0.987326,0.992868,STABLE,,continue
gv_runtime_recoverable,1,0.0,0.986978,0.992314,0.996838,0.999832,0.974527,0.982521,0.988926,STABLE,,continue
gv_runtime_recoverable,2,0.0,0.997689,1.0,0.99808,1.0,0.982554,0.990034,0.994427,STABLE,,continue
gv_runtime_recoverable,3,0.0,0.989436,1.0,0.988844,1.0,0.984351,0.987128,0.99147,STABLE,,continue
gv_runtime_recoverable,4,0.0,0.989143,0.993191,1.0,0.998455,0.982127,0.987061,0.991847,STABLE,,continue
gv_runtime_recoverable,5,0.0,0.987219,0.999453,1.0,1.0,0.988787,0.990151,0.994513,STABLE,,continue
gv_runtime_recoverable,6,0.0,1.0,0.995465,0.994878,0.991862,0.996423,0.993494,0.995219,STABLE,,continue
gv_runtime_recoverable,7,0.0,1.0,0.994951,0.987419,0.984688,1.0,0.98802,0.992316,STABLE,,continue
gv_runtime_recoverable,8,0.0,1.0,1.0,0.983078,0.989025,1.0,0.988397,0.993075,STABLE,,continue
gv_runtime_recoverable,9,0.0,1.0,1.0,0.988428,0.997258,1.0,0.993327,0.996346,STABLE,,continue
gv_runtime_recoverable,10,0.0,1.0,1.0,0.975986,0.994423,0.995296,0.985589,0.991419,STABLE,,continue
gv_runtime_recoverable,11,0.0,0.993611,0.997249,0.995354,0.986498,1.0,0.990678,0.993967,STABLE,,continue
gv_runtime_recoverable,12,0.0,0.977723,0.994279,0.997836,0.994137,1.0,0.986118,0.992612,STABLE,,continue
gv_runtime_recoverable,13,0.0,0.988936,0.991582,0.993611,1.0,0.998087,0.990972,0.994412,STABLE,,continue
gv_runtime_recoverable,14,0.0,0.977807,0.98141,0.985592,1.0,0.999763,0.98102,0.988848,STABLE,,continue
gv_runtime_recoverable,15,0.0,0.987979,0.979703,0.989828,1.0,0.996701,0.984814,0.990757,STABLE,,continue
gv_runtime_recoverable,16,0.0,0.994316,0.975885,0.988069,0.996183,0.985176,0.981778,0.98732,STABLE,,continue
gv_runtime_recoverable,17,0.0,1.0,0.974519,0.99039,1.0,0.991593,0.983382,0.990599,STABLE,,continue
gv_runtime_recoverable,18,0.0,1.0,0.97705,0.987925,0.999203,0.975826,0.979187,0.986593,STABLE,,continue
gv_runtime_recoverable,19,0.0,0.985529,0.96699,0.980174,1.0,0.969952,0.970476,0.979443,STABLE,,continue
gv_runtime_recoverable,20,0.0,0.983877,0.984538,0.98026,1.0,0.96457,0.973042,0.980967,STABLE,,continue
gv_runtime_recoverable,21,0.0,0.984196,0.977172,0.980501,1.0,0.95196,0.965573,0.976459,STABLE,,continue
gv_runtime_recoverable,22,0.0,0.990867,0.982699,0.978148,0.985539,0.959003,0.969959,0.976995,STABLE,,continue
gv_runtime_recoverable,23,0.0,0.986916,0.987414,0.982387,1.0,0.962005,0.973249,0.981716,STABLE,,continue
gv_runtime_recoverable,24,0.0,0.978607,0.990943,0.987828,1.0,0.975356,0.979038,0.985561,STABLE,,continue
gv_runtime_recoverable,25,0.126014,0.939683,0.917298,0.930744,0.983173,0.96714,0.927094,0.946843,STABLE,,continue
gv_runtime_recoverable,26,0.0,0.934795,0.935063,0.941265,0.97068,0.961309,0.936149,0.948372,STABLE,,continue
gv_runtime_recoverable,27,0.0,0.947528,0.952405,0.972039,1.0,0.970545,0.952794,0.968178,STABLE,,continue
gv_runtime_recoverable,28,0.0,0.945357,0.937653,0.979861,0.991871,0.970267,0.947564,0.964963,STABLE,,continue
gv_runtime_recoverable,29,0.0,0.947279,0.944849,0.994227,0.994511,0.972594,0.9523,0.970599,STABLE,,continue
gv_runtime_recoverable,30,0.0,0.944683,0.935713,0.990426,0.994695,0.99388,0.949726,0.972166,STABLE,,continue
gv_runtime_recoverable,31,0.0,0.954128,0.954412,0.987195,0.983544,0.985034,0.959921,0.973032,STABLE,,continue
gv_runtime_recoverable,32,0.0,0.953628,0.981988,0.981337,0.994095,0.977974,0.966529,0.977227,STABLE,,continue
gv_runtime_recoverable,33,0.0,0.96977,0.988323,0.983204,0.994464,0.974325,0.974365,0.981166,STABLE,,continue
gv_runtime_recoverable,34,0.0,0.978681,0.985385,0.974039,0.982413,0.97943,0.976755,0.979327,STABLE,,continue
gv_runtime_recoverable,35,0.0,0.99761,0.989001,0.977629,0.987586,0.995197,0.983479,0.988243,STABLE,,continue
gv_runtime_recoverable,36,0.0,1.0,0.98641,0.992808,0.993507,1.0,0.990214,0.994127,STABLE,,continue
gv_runtime_recoverable,37,0.0,1.0,0.976041,0.98045,1.0,1.0,0.982162,0.990434,STABLE,,continue
gv_runtime_recoverable,38,0.0,0.998205,0.975515,0.998662,0.98893,0.991053,0.983328,0.98984,STABLE,,continue
gv_runtime_recoverable,39,0.0,1.0,0.974948,0.998857,0.988752,0.995606,0.983799,0.990991,STABLE,,continue
gv_runtime_recoverable,40,0.0,1.0,0.979311,1.0,0.969731,0.995697,0.978523,0.987485,STABLE,,continue
gv_runtime_recoverable,41,0.0,0.991568,0.969978,0.991218,0.970373,1.0,0.974247,0.983713,STABLE,,continue
gv_runtime_recoverable,42,0.0,0.979545,0.974427,0.987993,0.970995,1.0,0.973737,0.982087,STABLE,,continue
gv_runtime_recoverable,43,0.0,0.987937,0.99133,0.988657,0.967853,0.997761,0.978171,0.98533,STABLE,,continue
gv_runtime_recoverable,44,0.0,0.992138,0.994293,0.9799,0.972988,1.0,0.979435,0.98627,STABLE,,continue
gv_runtime_recoverable,45,0.0,1.0,1.0,0.975066,0.973669,0.985366,0.97705,0.98412,STABLE,,continue
gv_runtime_recoverable,46,0.0,0.994093,1.0,0.991712,0.969843,0.98075,0.978168,0.984962,STABLE,,continue
gv_runtime_recoverable,47,0.0,0.97349,0.998373,0.982613,0.968518,0.974515,0.970607,0.977564,STABLE,,continue
gv_runtime_recoverable,48,0.0,0.976449,0.981021,0.971142,0.993953,0.964994,0.969175,0.976097,STABLE,,continue
gv_runtime_recoverable,49,0.0,0.968948,1.0,1.0,0.983033,0.965919,0.971171,0.981577,STABLE,,continue
gv_runtime_recoverable,50,0.0,0.976934,1.0,0.990131,0.982813,0.978177,0.97834,0.984233,STABLE,,continue
gv_runtime_recoverable,51,0.0,0.984677,0.996238,0.990609,0.971326,0.978667,0.976869,0.982591,STABLE,,continue
gv_runtime_recoverable,52,0.0,0.984269,0.999079,0.986784,0.979815,0.991602,0.982702,0.987221,STABLE,,continue
gv_runtime_recoverable,53,0.0,0.988139,1.0,0.989747,0.982472,0.985491,0.984111,0.987935,STABLE,,continue
gv_runtime_recoverable,54,0.0,0.99305,0.999027,1.0,1.0,0.991259,0.993484,0.99623,STABLE,,continue
gv_runtime_recoverable,55,0.108866,0.933959,0.95664,0.956904,0.998269,0.968432,0.945034,0.962158,STABLE,,continue
gv_runtime_recoverable,56,0.0,0.952955,0.967168,0.953729,0.993782,0.975223,0.955703,0.967687,STABLE,,continue
gv_runtime_recoverable,57,0.0,0.960404,0.968777,0.961208,0.99208,0.980009,0.962243,0.971926,STABLE,,continue
gv_runtime_recoverable,58,0.0,0.980948,0.947419,0.965977,0.994888,0.9856,0.960818,0.97417,STABLE,,continue
gv_runtime_recoverable,59,0.0,0.980033,0.937108,0.975517,1.0,0.972157,0.955653,0.971971,STABLE,,continue
gv_runtime_recoverable,60,0.0,0.991611,0.942502,0.979409,0.989471,0.972476,0.960045,0.973765,STABLE,,continue
gv_runtime_recoverable,61,0.0,1.0,0.956263,1.0,1.0,0.980489,0.97266,0.986147,STABLE,,continue
gv_runtime_recoverable,62,0.0,1.0,0.966689,1.0,0.997034,0.983722,0.978531,0.988512,STABLE,,continue
gv_runtime_recoverable,63,0.0,0.993026,0.981182,0.988217,1.0,0.983958,0.983587,0.988644,STABLE,,continue
gv_runtime_recoverable,64,0.0,1.0,0.991287,1.0,1.0,0.970349,0.982556,0.990408,STABLE,,continue
gv_runtime_recoverable,65,0.0,0.99933,0.98077,0.994817,1.0,0.980626,0.983726,0.990076,STABLE,,continue
gv_runtime_recoverable,66,0.0,0.99244,0.973286,0.996099,0.987834,0.976464,0.977656,0.984314,STABLE,,continue
gv_runtime_recoverable,67,0.0,0.996673,0.988526,1.0,0.966522,0.982605,0.976783,0.984838,STABLE,,continue
gv_runtime_recoverable,68,0.0,0.997883,0.994248,1.0,0.950296,0.978983,0.968542,0.980847,STABLE,,continue
gv_runtime_recoverable,69,0.0,1.0,0.979226,1.0,0.96052,0.990215,0.973357,0.983903,STABLE,,continue
gv_runtime_recoverable,70,0.0,0.994291,0.99023,1.0,0.968045,0.993847,0.979873,0.987713,STABLE,,continue
gv_runtime_recoverable,71,0.0,0.997834,0.982945,0.998525,0.970725,0.99849,0.980185,0.988391,STABLE,,continue
gv_runtime_recoverable,72,0.0,1.0,0.974713,0.997546,0.989392,0.991253,0.983065,0.989858,STABLE,,continue
