time,hidden_damage,true_recovery,delayed_masking,observable_state,observable_error,recovery_strength,persistence,directional,volatility_penalty,hysteresis,gv,inferred_hidden_deg,naive_estimator
0,0.0,1.0,1.0,0.005485,0.005485,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.009324
1,0.0,1.0,1.0,-0.014277,0.014277,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.024271
2,0.0,1.0,1.0,0.001944,0.001944,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.003304
3,0.0,1.0,1.0,0.018505,0.018505,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.031458
4,0.0,1.0,1.0,-0.02013,0.02013,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.034221
5,0.0,1.0,1.0,-0.039744,0.039744,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.067566
6,0.0,1.0,1.0,-0.029892,0.029892,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.050816
7,0.0,1.0,1.0,-0.029905,0.029905,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.050838
8,0.0,1.0,1.0,-0.024525,0.024525,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.041693
9,0.0,1.0,1.0,-0.03522,0.03522,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.059874
10,0.0,1.0,1.0,-0.012699,0.012699,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.021589
11,0.0,1.0,1.0,0.003714,0.003714,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.006314
12,0.0,1.0,1.0,0.004197,0.004197,0.931155,1.0,1.0,0.097324,0.031242,0.967596,0.053088,0.007135
13,0.0,1.0,1.0,0.02369,0.02369,0.935321,1.0,1.0,0.09876,0.031671,0.96919,0.05272,0.040273
14,0.0,1.0,1.0,0.027604,0.027604,0.934018,0.978994,0.969192,0.098537,0.031671,0.955167,0.060377,0.046927
15,0.0,1.0,1.0,0.006892,0.006892,0.931976,0.976301,0.965242,0.098422,0.031671,0.952623,0.061748,0.011716
16,0.0,1.0,1.0,0.01222,0.01222,0.93472,0.998593,0.997936,0.098439,0.031671,0.968061,0.053261,0.020774
17,0.0,1.0,1.0,-0.007362,0.007362,0.936044,0.993686,0.990739,0.098295,0.031671,0.965441,0.054666,0.012515
18,0.0,1.0,1.0,0.009849,0.009849,0.938166,0.998344,0.997571,0.098269,0.031671,0.969287,0.052544,0.016743
19,0.0,1.0,1.0,0.007079,0.007079,0.939606,0.996363,0.994666,0.098174,0.031671,0.968594,0.052902,0.012034
