time,hidden_recoverability,hidden_damage,observable_state,observable_error,recovery_strength_est,persistence_est,directional_degradation_est,volatility_penalty_est,gv_observed
0,1.0,0.0,0.004571,0.004571,1.0,1.0,1.0,0.0,1.0
1,1.0,0.0,-0.012035,0.012035,1.0,1.0,1.0,0.0,1.0
2,1.0,0.0,0.00187,0.00187,1.0,1.0,1.0,0.0,1.0
3,1.0,0.0,0.015567,0.015567,1.0,1.0,1.0,0.0,1.0
4,1.0,0.0,-0.017123,0.017123,1.0,1.0,1.0,0.0,1.0
5,1.0,0.0,-0.032889,0.032889,1.0,1.0,1.0,0.0,1.0
6,1.0,0.0,-0.023736,0.023736,1.0,1.0,1.0,0.0,1.0
7,1.0,0.0,-0.023258,0.023258,1.0,1.0,1.0,0.0,1.0
8,1.0,0.0,-0.018393,0.018393,0.950857,0.967965,0.951948,0.077152,0.955662
9,1.0,0.0,-0.027142,0.027142,0.950186,0.979267,0.968901,0.072915,0.962952
10,1.0,0.0,-0.00798,0.00798,0.947025,0.969905,0.954858,0.073651,0.955566
11,1.0,0.0,0.005443,0.005443,0.949664,0.995909,0.993864,0.073667,0.973523
12,1.0,0.0,0.005236,0.005236,0.952498,0.999049,0.998573,0.074852,0.976638
13,1.0,0.0,0.020992,0.020992,0.954944,0.999335,0.999003,0.07538,0.977776
14,1.0,0.0,0.023387,0.023387,0.953664,0.984842,0.977263,0.073674,0.967929
15,1.0,0.0,0.005352,0.005352,0.952076,0.983872,0.975808,0.072918,0.966701
16,1.0,0.0,0.009706,0.009706,0.954067,0.999375,0.999063,0.073539,0.977544
17,1.0,0.0,-0.006813,0.006813,0.955056,0.996149,0.994223,0.072119,0.975913
18,1.0,0.0,0.007863,0.007863,0.956418,0.998417,0.997626,0.071668,0.977955
19,1.0,0.0,0.005384,0.005384,0.95747,0.997805,0.996708,0.070765,0.978023
20,1.0,0.0,0.001427,0.001427,0.958789,0.999487,0.99923,0.070656,0.979649
21,1.0,0.0,-0.009101,0.009101,0.959261,1.0,1.0,0.072158,0.980096
22,1.0,0.0,0.011239,0.011239,0.959701,0.995433,0.99315,0.072539,0.977285
23,1.0,0.0,0.006449,0.006449,0.958295,1.0,1.0,0.069537,0.979841
24,1.0,0.0,-0.001395,0.001395,0.959663,1.0,1.0,0.070647,0.980333
25,1.0,0.0,0.26663,0.26663,0.962022,1.0,1.0,0.0733,0.981144
26,1.0,0.0,0.215956,0.215956,0.926961,0.846593,0.76989,0.449138,0.848613
27,1.0,0.0,0.173927,0.173927,0.898128,0.878296,0.817444,0.55973,0.852157
28,1.0,0.0,0.141854,0.141854,0.875528,0.901768,0.852652,0.609912,0.855865
29,1.0,0.0,0.117109,0.117109,0.857009,0.92755,0.891325,0.632518,0.864085
30,1.0,0.0,0.123469,0.123469,0.843514,0.931076,0.896615,0.642549,0.860478
31,1.0,0.0,0.09021,0.09021,0.82619,0.925457,0.888186,0.64866,0.84959
32,1.0,0.0,0.06268,0.06268,0.813475,0.946332,0.919498,0.643525,0.85833
33,1.0,0.0,0.036684,0.036684,0.804859,0.973671,0.960506,0.634999,0.873079
34,1.0,0.0,0.037853,0.037853,0.802505,0.991602,0.987403,0.632098,0.883938
35,1.0,0.0,0.04646,0.04646,0.800335,0.979473,0.96921,0.629487,0.875317
36,1.0,0.0,0.03453,0.03453,0.794169,0.976787,0.96518,0.620717,0.871543
37,1.0,0.0,0.014331,0.014331,0.790445,0.982495,0.973742,0.614658,0.874067
