system,step,basin,truth,constraint,correction,coherence,inside_kernel,novelty,discoveries,survivability,extinct
strict_viability,0,0.34188,1.0,1.0,0.988294,0.991407,True,0.0,0,0.747244,False
strict_viability,1,0.343103,0.998103,0.999899,0.983552,0.98763,True,0.0,0,0.746232,False
strict_viability,2,0.349525,0.99856,1.0,0.986887,0.990158,True,0.0,0,0.749544,False
strict_viability,3,0.352675,0.992853,1.0,0.98701,0.988772,True,0.0,0,0.749564,False
strict_viability,4,0.347428,1.0,0.999073,0.984858,0.988753,True,0.0,0,0.748386,False
strict_viability,5,0.351886,1.0,1.0,0.987931,0.991141,True,0.0,0,0.750964,False
strict_viability,6,0.348835,0.996927,0.995117,0.992015,0.992962,True,0.0,0,0.749163,False
strict_viability,7,0.348123,0.991985,0.990328,0.996176,0.990737,True,0.0,0,0.747456,False
strict_viability,8,0.352669,0.98825,0.992032,0.996999,0.989382,True,0.0,0,0.74877,False
strict_viability,9,0.35984,0.98997,0.996362,0.997501,0.991793,True,0.0,0,0.752944,False
strict_viability,10,0.36509,0.98155,0.994561,0.994759,0.985036,True,0.0,0,0.751905,False
strict_viability,11,0.363089,0.991113,0.989541,1.0,0.989638,True,0.0,0,0.753248,False
strict_viability,12,0.36061,0.992376,0.993396,1.0,0.992385,True,0.0,0,0.753557,False
strict_viability,13,0.35802,0.989847,0.998756,0.998852,0.992229,True,0.0,0,0.752903,False
strict_viability,14,0.349154,0.984658,1.0,0.999744,0.988704,True,0.0,0,0.748525,False
strict_viability,15,0.345936,0.986103,1.0,0.997896,0.989468,True,0.0,0,0.747396,False
strict_viability,16,0.340841,0.984372,0.99771,0.990789,0.986327,True,0.0,0,0.743364,False
strict_viability,17,0.337285,0.98495,1.0,0.993764,0.987657,True,0.0,0,0.743105,False
strict_viability,18,0.336697,0.982895,0.999522,0.983841,0.982272,True,0.0,0,0.74039,False
strict_viability,19,0.326316,0.977462,1.0,0.978929,0.976712,True,0.0,0,0.734199,False
