time,module,local_recovery_strength,local_persistence,local_directional,local_volatility,local_gv,global_resource,global_hysteresis,global_gv,coupling_gap
0,0,0.754571,0.854571,0.884571,0.154571,0.820114,1.0,0.0,0.99,-0.169886
0,1,0.7344,0.8344,0.8644,0.1656,0.8004,1.0,0.0,0.99,-0.1896
0,2,0.761257,0.861257,0.891257,0.161257,0.826131,1.0,0.0,0.99,-0.163869
0,3,0.764108,0.864108,0.894108,0.164108,0.828698,1.0,0.0,0.99,-0.161302
0,4,0.720734,0.820734,0.850734,0.179266,0.786734,1.0,0.0,0.99,-0.203266
1,0,0.730467,0.830467,0.860467,0.169533,0.796467,1.0,0.0,0.99,-0.193533
1,1,0.751918,0.851918,0.881918,0.151918,0.817726,1.0,0.0,0.99,-0.172274
1,2,0.745256,0.845256,0.875256,0.154744,0.811256,1.0,0.0,0.99,-0.178744
1,3,0.749748,0.849748,0.879748,0.150252,0.815748,1.0,0.0,0.99,-0.174252
1,4,0.737204,0.837204,0.867204,0.162796,0.803204,1.0,0.0,0.99,-0.186796
2,0,0.763191,0.863191,0.893191,0.163191,0.827872,1.0,0.0,0.99,-0.162128
2,1,0.761667,0.861667,0.891667,0.161667,0.8265,1.0,0.0,0.99,-0.1635
2,2,0.75099,0.85099,0.88099,0.15099,0.816891,1.0,0.0,0.99,-0.173109
2,3,0.766909,0.866909,0.896909,0.166909,0.831218,1.0,0.0,0.99,-0.158782
2,4,0.757013,0.857013,0.887013,0.157013,0.822311,1.0,0.0,0.99,-0.167689
3,0,0.737111,0.837111,0.867111,0.162889,0.803111,1.0,0.0,0.99,-0.186889
3,1,0.755531,0.855531,0.885531,0.155531,0.820978,1.0,0.0,0.99,-0.169022
3,2,0.735617,0.835617,0.865617,0.164383,0.801617,1.0,0.0,0.99,-0.188383
3,3,0.763177,0.863177,0.893177,0.163177,0.827859,1.0,0.0,0.99,-0.162141
3,4,0.749251,0.849251,0.879251,0.150749,0.815251,1.0,0.0,0.99,-0.174749
4,0,0.747227,0.847227,0.877227,0.152773,0.813227,1.0,0.0,0.99,-0.176773
4,1,0.739786,0.839786,0.869786,0.160214,0.805786,1.0,0.0,0.99,-0.184214
4,2,0.768338,0.868338,0.898338,0.168338,0.832504,1.0,0.0,0.99,-0.157496
4,3,0.747682,0.847682,0.877682,0.152318,0.813682,1.0,0.0,0.99,-0.176318
4,4,0.743575,0.843575,0.873575,0.156425,0.809575,1.0,0.0,0.99,-0.180425
5,0,0.744718,0.844718,0.874718,0.155282,0.810718,1.0,0.0,0.99,-0.179282
5,1,0.757985,0.857985,0.887985,0.157985,0.823186,1.0,0.0,0.99,-0.166814
5,2,0.755482,0.855482,0.885482,0.155482,0.820933,1.0,0.0,0.99,-0.169067
5,3,0.756191,0.856191,0.886191,0.156191,0.821572,1.0,0.0,0.99,-0.168428
5,4,0.756462,0.856462,0.886462,0.156462,0.821816,1.0,0.0,0.99,-0.168184
6,0,0.782125,0.882125,0.912125,0.182125,0.844912,1.0,0.0,0.99,-0.145088
6,1,0.743904,0.843904,0.873904,0.156096,0.809904,1.0,0.0,0.99,-0.180096
6,2,0.742316,0.842316,0.872316,0.157684,0.808316,1.0,0.0,0.99,-0.181684
6,3,0.737793,0.837793,0.867793,0.162207,0.803793,1.0,0.0,0.99,-0.186207
6,4,0.75924,0.85924,0.88924,0.15924,0.824316,1.0,0.0,0.99,-0.165684
7,0,0.766935,0.866935,0.896935,0.166935,0.831241,1.0,0.0,0.99,-0.158759
7,1,0.748291,0.848291,0.878291,0.151709,0.814291,1.0,0.0,0.99,-0.175709
7,2,0.737398,0.837398,0.867398,0.162602,0.803398,1.0,0.0,0.99,-0.186602
7,3,0.737633,0.837633,0.867633,0.162367,0.803633,1.0,0.0,0.99,-0.186367
7,4,0.759759,0.859759,0.889759,0.159759,0.824783,1.0,0.0,0.99,-0.165217
8,0,0.761149,0.861149,0.891149,0.161149,0.826034,1.0,0.0,0.99,-0.163966
8,1,0.758147,0.858147,0.888147,0.158147,0.823333,1.0,0.0,0.99,-0.166667
8,2,0.740017,0.840017,0.870017,0.159983,0.806017,1.0,0.0,0.99,-0.183983
8,3,0.753482,0.853482,0.883482,0.153482,0.819134,1.0,0.0,0.99,-0.170866
8,4,0.75175,0.85175,0.88175,0.15175,0.817575,1.0,0.0,0.99,-0.172425
9,0,0.75328,0.85328,0.88328,0.15328,0.818952,1.0,0.0,0.99,-0.171048
9,1,0.763071,0.863071,0.893071,0.163071,0.827764,1.0,0.0,0.99,-0.162236
9,2,0.753354,0.853354,0.883354,0.153354,0.819019,1.0,0.0,0.99,-0.170981
9,3,0.760184,0.860184,0.890184,0.160184,0.825165,1.0,0.0,0.99,-0.164835
9,4,0.751014,0.851014,0.881014,0.151014,0.816912,1.0,0.0,0.99,-0.173088
10,0,0.754337,0.854337,0.884337,0.154337,0.819903,1.0,0.0,0.99,-0.170097
10,1,0.759469,0.859469,0.889469,0.159469,0.824522,1.0,0.0,0.99,-0.165478
10,2,0.728143,0.828143,0.858143,0.171857,0.794143,1.0,0.0,0.99,-0.195857
10,3,0.745205,0.845205,0.875205,0.154795,0.811205,1.0,0.0,0.99,-0.178795
10,4,0.742944,0.842944,0.872944,0.157056,0.808944,1.0,0.0,0.99,-0.181056
11,0,0.740417,0.840417,0.870417,0.159583,0.806417,1.0,0.0,0.99,-0.183583
11,1,0.745873,0.845873,0.875873,0.154127,0.811873,1.0,0.0,0.99,-0.178127
11,2,0.772424,0.872424,0.902424,0.172424,0.836182,1.0,0.0,0.99,-0.153818
11,3,0.737013,0.837013,0.867013,0.162987,0.803013,1.0,0.0,0.99,-0.186987
11,4,0.764524,0.864524,0.894524,0.164524,0.829072,1.0,0.0,0.99,-0.160928
12,0,0.724757,0.824757,0.854757,0.175243,0.790757,1.0,0.0,0.99,-0.199243
12,1,0.744977,0.844977,0.874977,0.155023,0.810977,1.0,0.0,0.99,-0.179023
12,2,0.752441,0.852441,0.882441,0.152441,0.818197,1.0,0.0,0.99,-0.171803
12,3,0.758793,0.858793,0.888793,0.158793,0.823914,1.0,0.0,0.99,-0.166086
12,4,0.760668,0.860668,0.890668,0.160668,0.825602,1.0,0.0,0.99,-0.164398
13,0,0.7619,0.8619,0.8919,0.1619,0.82671,1.0,0.0,0.99,-0.16329
13,1,0.744769,0.844769,0.874769,0.155231,0.810769,1.0,0.0,0.99,-0.179231
13,2,0.743065,0.843065,0.873065,0.156935,0.809065,1.0,0.0,0.99,-0.180935
13,3,0.76287,0.86287,0.89287,0.16287,0.827583,1.0,0.0,0.99,-0.162417
