seed,spearman_mean_risk_vs_recovery,num_probes
0,,8
1,,8
2,-0.4047619047619048,8
3,,8
4,,8
5,0.2380952380952381,8
6,0.07142857142857144,8
7,,8
8,0.6666666666666669,8
9,0.2142857142857143,8
10,0.4761904761904762,8
11,,8
12,0.07142857142857144,8
13,0.11904761904761905,8
14,,8
15,,8
16,,8
17,0.4523809523809524,8
18,0.261904761904762,8
19,,8
20,0.5714285714285715,8
21,0.2380952380952381,8
22,0.5952380952380953,8
23,0.2142857142857143,8
24,,8
25,0.5714285714285715,8
26,,8
27,0.38095238095238104,8
28,,8
29,0.04761904761904763,8
30,0.14285714285714288,8
31,0.7619047619047621,8
32,,8
33,-0.09523809523809526,8
34,0.2142857142857143,8
35,,8
36,,8
37,,8
38,0.6904761904761906,8
39,0.4761904761904762,8
40,0.023809523809523815,8
41,,8
42,0.2380952380952381,8
43,0.2380952380952381,8
44,,8
45,0.38095238095238104,8
46,0.19047619047619052,8
47,0.6666666666666669,8
48,0.5000000000000001,8
49,0.3333333333333334,8
