scarcity,visibility,coupling,fragmentation,winner,competitive_score,antifragile_score,recursive_score,unification_score
0.0,0.0,0.0,0.0,unification,0.015236,-0.051999,0.037523,0.047028
0.0,0.0,0.0,0.1,antifragile,0.012448,0.029891,-0.033608,-0.100812
0.0,0.0,0.0,0.2,competitive,0.21916,0.147348,-0.03603,-0.13111
0.0,0.0,0.0,0.3,antifragile,0.333302,0.341362,-0.096625,-0.297965
0.0,0.0,0.0,0.4,competitive,0.458438,0.332056,-0.116077,-0.342496
0.0,0.0,0.0,0.5,competitive,0.540757,0.440954,-0.138873,-0.432726
0.0,0.0,0.0,0.6,competitive,0.638584,0.552393,-0.213385,-0.491728
0.0,0.0,0.0,0.7,competitive,0.790637,0.686541,-0.172918,-0.615321
0.0,0.0,0.0,0.8,competitive,0.854388,0.719311,-0.289201,-0.623551
0.0,0.0,0.0,0.9,competitive,0.984303,0.812992,-0.401224,-0.73247
0.0,0.0,0.0,1.0,competitive,1.137163,0.977158,-0.433275,-0.838392
0.0,0.0,0.1,0.0,unification,-0.084166,-0.024066,0.128571,0.13618
0.0,0.0,0.1,0.1,unification,0.053946,0.063379,0.059456,0.071564
0.0,0.0,0.1,0.2,antifragile,0.057142,0.139016,-0.018519,-0.076944
0.0,0.0,0.1,0.3,antifragile,0.226243,0.324747,-0.078292,-0.081586
0.0,0.0,0.1,0.4,antifragile,0.265857,0.328256,-0.066862,-0.185689
0.0,0.0,0.1,0.5,competitive,0.495561,0.479667,-0.132436,-0.323118
0.0,0.0,0.1,0.6,competitive,0.612899,0.525435,-0.218784,-0.441664
0.0,0.0,0.1,0.7,antifragile,0.634027,0.654858,-0.187879,-0.435476
0.0,0.0,0.1,0.8,competitive,0.768637,0.732927,-0.20372,-0.570467
0.0,0.0,0.1,0.9,competitive,0.922839,0.786904,-0.293153,-0.659087
0.0,0.0,0.1,1.0,competitive,0.950208,0.939349,-0.33847,-0.724375
0.0,0.0,0.2,0.0,unification,-0.155963,-0.047673,0.203269,0.245076
0.0,0.0,0.2,0.1,unification,-0.091165,0.021014,0.045633,0.092644
0.0,0.0,0.2,0.2,recursive,-0.026135,0.070138,0.109989,0.034726
0.0,0.0,0.2,0.3,antifragile,0.131092,0.279961,0.032187,0.031876
0.0,0.0,0.2,0.4,antifragile,0.213319,0.299728,-0.037501,-0.106952
0.0,0.0,0.2,0.5,competitive,0.412015,0.318634,-0.008279,-0.163113
0.0,0.0,0.2,0.6,competitive,0.450293,0.427697,-0.066394,-0.286475
0.0,0.0,0.2,0.7,competitive,0.601634,0.596093,-0.029911,-0.356968
0.0,0.0,0.2,0.8,antifragile,0.648825,0.698964,-0.139,-0.362041
0.0,0.0,0.2,0.9,competitive,0.851756,0.802844,-0.116835,-0.574438
0.0,0.0,0.2,1.0,competitive,0.888012,0.833671,-0.24949,-0.668834
0.0,0.0,0.3,0.0,unification,-0.238242,-0.116111,0.18146,0.324221
0.0,0.0,0.3,0.1,unification,-0.144324,0.031906,0.314837,0.435693
0.0,0.0,0.3,0.2,unification,-0.02928,0.035523,0.068398,0.218386
0.0,0.0,0.3,0.3,antifragile,0.019353,0.159232,0.104395,0.11296
0.0,0.0,0.3,0.4,antifragile,0.223299,0.282852,0.087068,-0.016783
0.0,0.0,0.3,0.5,antifragile,0.196266,0.345685,0.052311,0.038396
0.0,0.0,0.3,0.6,antifragile,0.396514,0.514137,-0.009965,-0.194247
0.0,0.0,0.3,0.7,antifragile,0.451744,0.523739,0.081423,-0.261069
0.0,0.0,0.3,0.8,competitive,0.651924,0.609854,-0.018421,-0.285752
0.0,0.0,0.3,0.9,antifragile,0.712168,0.747962,-0.137739,-0.367696
0.0,0.0,0.3,1.0,competitive,0.807251,0.78372,-0.208897,-0.466371
0.0,0.0,0.4,0.0,unification,-0.281045,-0.132,0.334068,0.514291
0.0,0.0,0.4,0.1,unification,-0.1847,-0.034031,0.279454,0.470314
0.0,0.0,0.4,0.2,recursive,-0.118562,0.126788,0.269162,0.268777
0.0,0.0,0.4,0.3,recursive,-0.098408,0.227546,0.306183,0.236024
0.0,0.0,0.4,0.4,antifragile,0.060841,0.313072,0.124648,0.115264
0.0,0.0,0.4,0.5,antifragile,0.222166,0.31527,0.139744,0.066828
0.0,0.0,0.4,0.6,antifragile,0.316879,0.500374,0.104529,0.022197
0.0,0.0,0.4,0.7,antifragile,0.307491,0.522564,0.017838,-0.155941
0.0,0.0,0.4,0.8,antifragile,0.476092,0.603294,0.065795,-0.24632
0.0,0.0,0.4,0.9,antifragile,0.631532,0.690792,-0.036384,-0.214862
0.0,0.0,0.4,1.0,antifragile,0.766906,0.87687,-0.067725,-0.384797
0.0,0.0,0.5,0.0,unification,-0.461193,-0.162875,0.433829,0.570781
0.0,0.0,0.5,0.1,unification,-0.335476,-0.068589,0.510874,0.633842
0.0,0.0,0.5,0.2,unification,-0.272662,0.000631,0.271828,0.425465
0.0,0.0,0.5,0.3,unification,-0.10422,0.170293,0.268546,0.337293
0.0,0.0,0.5,0.4,unification,-0.117364,0.196867,0.211879,0.258528
0.0,0.0,0.5,0.5,antifragile,0.056157,0.295287,0.137114,0.126648
0.0,0.0,0.5,0.6,antifragile,0.316462,0.330629,0.130161,0.206846
0.0,0.0,0.5,0.7,competitive,0.465253,0.431422,0.126588,0.047078
0.0,0.0,0.5,0.8,antifragile,0.516435,0.535657,0.092736,-0.016133
0.0,0.0,0.5,0.9,antifragile,0.561738,0.661192,0.058309,-0.208745
0.0,0.0,0.5,1.0,antifragile,0.638091,0.761681,0.036608,-0.252766
0.0,0.0,0.6,0.0,unification,-0.516423,-0.159364,0.517771,0.767588
0.0,0.0,0.6,0.1,unification,-0.427342,-0.114996,0.433922,0.680825
0.0,0.0,0.6,0.2,unification,-0.324864,0.084658,0.508668,0.599292
0.0,0.0,0.6,0.3,unification,-0.248153,0.019379,0.449557,0.508137
0.0,0.0,0.6,0.4,unification,-0.075993,0.082771,0.396372,0.432721
0.0,0.0,0.6,0.5,unification,-0.045522,0.241424,0.323186,0.327623
0.0,0.0,0.6,0.6,antifragile,0.105391,0.354826,0.257401,0.247628
0.0,0.0,0.6,0.7,antifragile,0.303575,0.326667,0.218157,0.163826
0.0,0.0,0.6,0.8,antifragile,0.3548,0.531404,0.102164,0.0864
0.0,0.0,0.6,0.9,antifragile,0.536368,0.568307,0.193191,-0.031426
0.0,0.0,0.6,1.0,antifragile,0.556934,0.687355,0.093277,-0.034998
0.0,0.0,0.7,0.0,unification,-0.600867,-0.158384,0.653871,0.896954
0.0,0.0,0.7,0.1,unification,-0.432803,-0.12805,0.596399,0.775171
0.0,0.0,0.7,0.2,unification,-0.406673,-0.089871,0.564479,0.646085
0.0,0.0,0.7,0.3,unification,-0.260882,0.030467,0.533562,0.657543
0.0,0.0,0.7,0.4,unification,-0.098968,0.171539,0.356398,0.531652
0.0,0.0,0.7,0.5,unification,-0.1386,0.204086,0.470561,0.481877
0.0,0.0,0.7,0.6,recursive,-0.004947,0.274314,0.356639,0.304172
0.0,0.0,0.7,0.7,antifragile,0.106443,0.4356,0.372766,0.310438
0.0,0.0,0.7,0.8,antifragile,0.135436,0.530218,0.278602,0.215695
0.0,0.0,0.7,0.9,antifragile,0.44081,0.506838,0.205445,0.139545
0.0,0.0,0.7,1.0,antifragile,0.39092,0.778797,0.213418,0.067329
0.0,0.0,0.8,0.0,unification,-0.748547,-0.239312,0.733424,1.011644
0.0,0.0,0.8,0.1,unification,-0.59828,-0.171483,0.596833,0.907624
0.0,0.0,0.8,0.2,unification,-0.507626,-0.07083,0.649991,0.777073
0.0,0.0,0.8,0.3,unification,-0.39625,0.079073,0.522821,0.703887
0.0,0.0,0.8,0.4,unification,-0.269885,0.142219,0.520571,0.726448
0.0,0.0,0.8,0.5,unification,-0.12716,0.237091,0.507706,0.691383
0.0,0.0,0.8,0.6,recursive,-0.070258,0.189824,0.520213,0.467115
0.0,0.0,0.8,0.7,antifragile,0.055394,0.450478,0.319887,0.342418
0.0,0.0,0.8,0.8,antifragile,0.079936,0.440293,0.381982,0.346209
0.0,0.0,0.8,0.9,antifragile,0.283814,0.504362,0.204495,0.237718
0.0,0.0,0.8,1.0,antifragile,0.356411,0.692969,0.315098,0.156912
0.0,0.0,0.9,0.0,unification,-0.771993,-0.303539,0.791503,1.089766
0.0,0.0,0.9,0.1,unification,-0.708981,-0.210161,0.766026,1.020313
0.0,0.0,0.9,0.2,unification,-0.563942,-0.138292,0.679123,0.996476
0.0,0.0,0.9,0.3,unification,-0.579653,-0.094824,0.570891,0.753319
0.0,0.0,0.9,0.4,unification,-0.403913,0.102472,0.590756,0.79489
0.0,0.0,0.9,0.5,unification,-0.205539,0.226384,0.561543,0.767679
0.0,0.0,0.9,0.6,unification,-0.145394,0.21313,0.49528,0.540973
0.0,0.0,0.9,0.7,unification,-0.084407,0.332099,0.525179,0.616038
0.0,0.0,0.9,0.8,unification,0.000891,0.464641,0.392973,0.468735
0.0,0.0,0.9,0.9,recursive,0.173446,0.448455,0.451415,0.32975
0.0,0.0,0.9,1.0,antifragile,0.263305,0.581512,0.332286,0.296395
0.0,0.0,1.0,0.0,unification,-0.909462,-0.333567,0.868096,1.316033
0.0,0.0,1.0,0.1,unification,-0.807139,-0.328843,0.863361,1.148426
0.0,0.0,1.0,0.2,unification,-0.62427,-0.140831,0.763443,1.097439
0.0,0.0,1.0,0.3,unification,-0.472449,0.038849,0.733469,1.00301
0.0,0.0,1.0,0.4,unification,-0.406188,-0.012283,0.706654,0.908707
0.0,0.0,1.0,0.5,unification,-0.334305,0.083332,0.570522,0.721351
0.0,0.0,1.0,0.6,unification,-0.295869,0.197066,0.59534,0.836862
0.0,0.0,1.0,0.7,unification,-0.0747,0.266895,0.587385,0.634646
0.0,0.0,1.0,0.8,recursive,-0.034218,0.419266,0.560959,0.553037
0.0,0.0,1.0,0.9,unification,0.143193,0.447903,0.490317,0.614884
0.0,0.0,1.0,1.0,antifragile,0.211154,0.671661,0.454576,0.429039
0.0,0.1,0.0,0.0,unification,-0.077839,0.03648,0.076026,0.141515
0.0,0.1,0.0,0.1,antifragile,-0.007577,0.173279,0.129264,0.053327
0.0,0.1,0.0,0.2,antifragile,0.130688,0.257698,0.019566,-0.003223
0.0,0.1,0.0,0.3,antifragile,0.16343,0.31322,-0.104541,-0.209753
0.0,0.1,0.0,0.4,antifragile,0.433193,0.469759,-0.080974,-0.295125
0.0,0.1,0.0,0.5,antifragile,0.326774,0.492825,0.036021,-0.283256
0.0,0.1,0.0,0.6,antifragile,0.557021,0.638254,-0.203048,-0.404866
0.0,0.1,0.0,0.7,antifragile,0.699974,0.705695,-0.12546,-0.457768
0.0,0.1,0.0,0.8,competitive,0.838416,0.770581,-0.160109,-0.478553
0.0,0.1,0.0,0.9,competitive,0.866493,0.855615,-0.178211,-0.654567
0.0,0.1,0.0,1.0,competitive,1.095191,0.972873,-0.212248,-0.723426
0.0,0.1,0.1,0.0,unification,-0.152089,0.088236,0.181911,0.197944
0.0,0.1,0.1,0.1,unification,-0.077428,0.127617,0.081712,0.191874
0.0,0.1,0.1,0.2,antifragile,0.028061,0.257391,0.000287,0.035672
0.0,0.1,0.1,0.3,antifragile,0.080677,0.253689,0.092383,-0.018961
0.0,0.1,0.1,0.4,antifragile,0.262331,0.382041,0.050169,-0.145427
0.0,0.1,0.1,0.5,antifragile,0.420342,0.518133,0.019252,-0.152173
0.0,0.1,0.1,0.6,antifragile,0.509821,0.681754,-0.044355,-0.280354
0.0,0.1,0.1,0.7,antifragile,0.567324,0.623387,-0.142224,-0.39444
0.0,0.1,0.1,0.8,antifragile,0.711466,0.786715,-0.117443,-0.473277
0.0,0.1,0.1,0.9,antifragile,0.870009,0.901971,-0.167982,-0.552646
0.0,0.1,0.1,1.0,antifragile,0.962421,0.969399,-0.272406,-0.608399
0.0,0.1,0.2,0.0,unification,-0.241898,-0.069985,0.294492,0.297259
0.0,0.1,0.2,0.1,unification,-0.078191,0.132397,0.232374,0.303173
0.0,0.1,0.2,0.2,recursive,-0.155496,0.107183,0.190311,0.146393
0.0,0.1,0.2,0.3,antifragile,0.11072,0.359865,0.106169,0.073127
0.0,0.1,0.2,0.4,antifragile,0.196772,0.435556,0.063881,0.042452
0.0,0.1,0.2,0.5,competitive,0.386065,0.367412,0.020947,-0.07618
0.0,0.1,0.2,0.6,antifragile,0.378971,0.58563,0.057083,-0.228748
0.0,0.1,0.2,0.7,antifragile,0.540771,0.611123,0.068722,-0.256379
0.0,0.1,0.2,0.8,antifragile,0.593169,0.762057,0.003146,-0.287595
0.0,0.1,0.2,0.9,antifragile,0.65072,0.856902,-0.126715,-0.383236
0.0,0.1,0.2,1.0,antifragile,0.773813,0.947316,-0.15533,-0.544132
0.0,0.1,0.3,0.0,unification,-0.309309,-0.047918,0.339301,0.567559
0.0,0.1,0.3,0.1,unification,-0.257033,0.036605,0.343446,0.379017
0.0,0.1,0.3,0.2,unification,-0.101443,0.103327,0.269418,0.393132
0.0,0.1,0.3,0.3,unification,-0.067029,0.104361,0.330547,0.367466
0.0,0.1,0.3,0.4,antifragile,0.074737,0.223158,0.194476,0.140689
0.0,0.1,0.3,0.5,antifragile,0.195504,0.359331,0.198978,0.096225
0.0,0.1,0.3,0.6,antifragile,0.24028,0.54496,0.232634,-0.006402
0.0,0.1,0.3,0.7,antifragile,0.408134,0.5979,0.120763,-0.186534
0.0,0.1,0.3,0.8,antifragile,0.54322,0.680477,0.142391,-0.193709
0.0,0.1,0.3,0.9,antifragile,0.728394,0.739813,0.039363,-0.25403
0.0,0.1,0.3,1.0,antifragile,0.711548,0.89887,0.030626,-0.37119
0.0,0.1,0.4,0.0,unification,-0.519598,-0.095878,0.409879,0.602883
0.0,0.1,0.4,0.1,unification,-0.329079,-0.085283,0.334217,0.559103
0.0,0.1,0.4,0.2,unification,-0.241136,-0.033237,0.414242,0.463618
0.0,0.1,0.4,0.3,unification,-0.140694,0.124158,0.37679,0.382468
0.0,0.1,0.4,0.4,recursive,0.12413,0.306009,0.314385,0.271654
0.0,0.1,0.4,0.5,antifragile,0.155839,0.411254,0.317586,0.168934
0.0,0.1,0.4,0.6,antifragile,0.20323,0.451045,0.25454,0.184919
0.0,0.1,0.4,0.7,antifragile,0.312058,0.548761,0.190704,0.012712
0.0,0.1,0.4,0.8,antifragile,0.492603,0.552411,0.093665,-0.099121
0.0,0.1,0.4,0.9,antifragile,0.438982,0.711818,0.049242,-0.155055
0.0,0.1,0.4,1.0,antifragile,0.720648,0.842747,0.003459,-0.232848
0.0,0.1,0.5,0.0,unification,-0.472541,-0.178798,0.494471,0.772927
0.0,0.1,0.5,0.1,unification,-0.426077,-0.002626,0.499318,0.695083
0.0,0.1,0.5,0.2,unification,-0.356754,0.059396,0.449465,0.514205
0.0,0.1,0.5,0.3,unification,-0.273174,0.189287,0.402452,0.438886
0.0,0.1,0.5,0.4,unification,-0.089809,0.306401,0.265963,0.330168
0.0,0.1,0.5,0.5,antifragile,-0.021144,0.418059,0.354129,0.358366
0.0,0.1,0.5,0.6,antifragile,0.077992,0.384023,0.322391,0.237914
0.0,0.1,0.5,0.7,antifragile,0.272437,0.525616,0.273907,0.157906
0.0,0.1,0.5,0.8,antifragile,0.393888,0.67035,0.139006,-0.047363
0.0,0.1,0.5,0.9,antifragile,0.515087,0.784386,0.128969,-0.112992
0.0,0.1,0.5,1.0,antifragile,0.579952,0.866542,0.22988,-0.079185
0.0,0.1,0.6,0.0,unification,-0.633586,-0.209657,0.625573,0.855037
0.0,0.1,0.6,0.1,unification,-0.555753,0.032438,0.674258,0.841802
0.0,0.1,0.6,0.2,unification,-0.441043,0.067751,0.576981,0.722127
0.0,0.1,0.6,0.3,unification,-0.222517,0.151769,0.542001,0.646845
0.0,0.1,0.6,0.4,unification,-0.15796,0.125819,0.469181,0.50219
0.0,0.1,0.6,0.5,unification,-0.128992,0.394091,0.51145,0.512961
0.0,0.1,0.6,0.6,antifragile,0.057761,0.472531,0.385603,0.37014
0.0,0.1,0.6,0.7,antifragile,0.100326,0.51985,0.348019,0.209867
0.0,0.1,0.6,0.8,antifragile,0.26244,0.591014,0.394878,0.234711
0.0,0.1,0.6,0.9,antifragile,0.375572,0.702439,0.267211,0.094854
0.0,0.1,0.6,1.0,antifragile,0.430879,0.777447,0.187695,-0.042516
0.0,0.1,0.7,0.0,unification,-0.679439,-0.180437,0.620665,0.988866
0.0,0.1,0.7,0.1,unification,-0.545215,-0.052039,0.721292,0.911946
0.0,0.1,0.7,0.2,unification,-0.527252,-0.064185,0.64723,0.843964
0.0,0.1,0.7,0.3,unification,-0.310633,0.139999,0.583389,0.67779
0.0,0.1,0.7,0.4,unification,-0.280955,0.190862,0.539896,0.626105
0.0,0.1,0.7,0.5,unification,-0.142356,0.249802,0.478597,0.585573
0.0,0.1,0.7,0.6,recursive,-0.0651,0.382205,0.48366,0.428029
0.0,0.1,0.7,0.7,antifragile,0.040938,0.536889,0.371896,0.294167
0.0,0.1,0.7,0.8,antifragile,0.081908,0.561455,0.391546,0.309119
0.0,0.1,0.7,0.9,antifragile,0.345709,0.521358,0.369797,0.308072
0.0,0.1,0.7,1.0,antifragile,0.338611,0.73101,0.272355,0.100283
0.0,0.1,0.8,0.0,unification,-0.811313,-0.163626,0.886869,1.103203
0.0,0.1,0.8,0.1,unification,-0.589747,-0.138221,0.842685,1.030335
0.0,0.1,0.8,0.2,unification,-0.568447,-0.026726,0.873943,0.992564
0.0,0.1,0.8,0.3,unification,-0.500363,0.09845,0.656908,0.840512
0.0,0.1,0.8,0.4,unification,-0.30957,0.146554,0.648929,0.780699
0.0,0.1,0.8,0.5,unification,-0.228171,0.261248,0.498152,0.728329
0.0,0.1,0.8,0.6,unification,-0.184101,0.262885,0.552079,0.614199
0.0,0.1,0.8,0.7,unification,-0.059675,0.471552,0.447891,0.504653
0.0,0.1,0.8,0.8,antifragile,0.055756,0.522671,0.488943,0.389605
0.0,0.1,0.8,0.9,antifragile,0.231214,0.62315,0.340403,0.25707
0.0,0.1,0.8,1.0,antifragile,0.304384,0.703952,0.389829,0.268601
0.0,0.1,0.9,0.0,unification,-0.873722,-0.222618,0.824445,1.186401
0.0,0.1,0.9,0.1,unification,-0.829666,-0.160554,0.902247,1.138433
0.0,0.1,0.9,0.2,unification,-0.790085,-0.1652,0.758348,1.047114
0.0,0.1,0.9,0.3,unification,-0.575419,0.016929,0.744413,1.042467
0.0,0.1,0.9,0.4,unification,-0.478801,0.066884,0.743944,0.828218
0.0,0.1,0.9,0.5,unification,-0.315515,0.210128,0.672628,0.899414
0.0,0.1,0.9,0.6,unification,-0.25611,0.403015,0.628728,0.671149
0.0,0.1,0.9,0.7,unification,-0.111504,0.341188,0.562412,0.669852
0.0,0.1,0.9,0.8,unification,0.022779,0.458892,0.60937,0.622875
0.0,0.1,0.9,0.9,antifragile,0.176815,0.611471,0.588171,0.38596
0.0,0.1,0.9,1.0,antifragile,0.199105,0.63665,0.485961,0.366428
0.0,0.1,1.0,0.0,unification,-0.983308,-0.210891,0.956514,1.39069
0.0,0.1,1.0,0.1,unification,-0.876613,-0.206214,0.925301,1.307416
0.0,0.1,1.0,0.2,unification,-0.696735,-0.03263,0.900481,1.229477
0.0,0.1,1.0,0.3,unification,-0.702543,-0.024394,0.892014,1.158298
0.0,0.1,1.0,0.4,unification,-0.52442,0.11932,0.829538,1.090015
0.0,0.1,1.0,0.5,unification,-0.410532,0.152215,0.781792,0.79847
0.0,0.1,1.0,0.6,unification,-0.295856,0.082579,0.638827,0.882588
0.0,0.1,1.0,0.7,unification,-0.181124,0.301879,0.649395,0.843527
0.0,0.1,1.0,0.8,unification,-0.119202,0.567146,0.644904,0.710402
0.0,0.1,1.0,0.9,unification,0.095844,0.556551,0.554883,0.599514
0.0,0.1,1.0,1.0,antifragile,0.123219,0.576763,0.552208,0.48289
0.0,0.2,0.0,0.0,unification,-0.103782,0.091731,0.21586,0.234691
0.0,0.2,0.0,0.1,antifragile,-0.028844,0.215841,0.140014,0.102921
0.0,0.2,0.0,0.2,antifragile,0.125234,0.259383,0.079158,0.092191
0.0,0.2,0.0,0.3,antifragile,0.203168,0.298464,0.121474,0.021779
0.0,0.2,0.0,0.4,antifragile,0.308719,0.501599,-0.000213,-0.083448
0.0,0.2,0.0,0.5,antifragile,0.384869,0.54086,0.073528,-0.111036
0.0,0.2,0.0,0.6,antifragile,0.599719,0.72574,-0.015487,-0.252364
0.0,0.2,0.0,0.7,antifragile,0.658341,0.761059,-0.043462,-0.313812
0.0,0.2,0.0,0.8,antifragile,0.727036,0.813536,-0.110724,-0.408304
0.0,0.2,0.0,0.9,antifragile,0.84015,0.96201,-0.096496,-0.543742
0.0,0.2,0.0,1.0,antifragile,0.987812,1.058942,-0.231741,-0.537885
0.0,0.2,0.1,0.0,unification,-0.265037,-0.027755,0.262748,0.313948
0.0,0.2,0.1,0.1,unification,-0.127391,0.136307,0.258158,0.310985
0.0,0.2,0.1,0.2,antifragile,-0.003006,0.260802,0.255491,0.225807
0.0,0.2,0.1,0.3,antifragile,-0.015398,0.321778,0.085989,0.111803
0.0,0.2,0.1,0.4,antifragile,0.199768,0.487277,0.214382,0.035139
0.0,0.2,0.1,0.5,antifragile,0.284982,0.554258,0.088604,-0.06007
0.0,0.2,0.1,0.6,antifragile,0.469307,0.597111,0.115284,-0.11113
0.0,0.2,0.1,0.7,antifragile,0.48226,0.768695,0.069928,-0.224904
0.0,0.2,0.1,0.8,antifragile,0.601884,0.77204,-0.031883,-0.28787
0.0,0.2,0.1,0.9,antifragile,0.702219,0.931876,-0.107088,-0.410203
0.0,0.2,0.1,1.0,antifragile,0.865482,1.127257,-0.153866,-0.411399
0.0,0.2,0.2,0.0,unification,-0.322508,0.040559,0.405917,0.512236
0.0,0.2,0.2,0.1,unification,-0.227684,0.187703,0.337176,0.461612
0.0,0.2,0.2,0.2,unification,-0.142218,0.206987,0.266402,0.342751
0.0,0.2,0.2,0.3,antifragile,0.072256,0.301132,0.270156,0.179269
0.0,0.2,0.2,0.4,antifragile,0.098535,0.32036,0.194356,0.161339
0.0,0.2,0.2,0.5,antifragile,0.285951,0.635461,0.170671,0.136765
0.0,0.2,0.2,0.6,antifragile,0.342188,0.582438,0.18163,-0.016904
0.0,0.2,0.2,0.7,antifragile,0.44552,0.664583,0.050095,-0.182181
0.0,0.2,0.2,0.8,antifragile,0.582662,0.766165,0.050196,-0.189575
0.0,0.2,0.2,0.9,antifragile,0.699747,0.884018,0.007197,-0.213685
0.0,0.2,0.2,1.0,antifragile,0.848959,0.994728,0.048683,-0.297902
0.0,0.2,0.3,0.0,unification,-0.363495,0.015705,0.514917,0.640983
0.0,0.2,0.3,0.1,unification,-0.364867,0.115036,0.377209,0.49027
0.0,0.2,0.3,0.2,recursive,-0.134822,0.217011,0.47937,0.431416
0.0,0.2,0.3,0.3,recursive,-0.147612,0.257978,0.370102,0.363949
0.0,0.2,0.3,0.4,antifragile,0.076684,0.346936,0.342602,0.225569
0.0,0.2,0.3,0.5,antifragile,0.152516,0.460155,0.247509,0.178209
0.0,0.2,0.3,0.6,antifragile,0.230791,0.541492,0.333567,0.100078
0.0,0.2,0.3,0.7,antifragile,0.337805,0.545127,0.16029,0.006846
0.0,0.2,0.3,0.8,antifragile,0.425707,0.814085,0.156753,-0.000578
0.0,0.2,0.3,0.9,antifragile,0.573085,0.841861,0.12056,-0.14981
