system,step,escape,basin,truth,constraint,coherence,option_density,discoveries,survivability
antifragile_escape,0,0.9,0.34528,1.0,1.0,0.991573,0.5,0,0.754262
antifragile_escape,1,0.9,0.349903,0.998103,0.999899,0.987744,0.5,0,0.754151
antifragile_escape,2,0.9,0.359725,0.998536,1.0,0.990078,0.5,0,0.757653
antifragile_escape,3,0.9,0.366275,0.992811,1.0,0.988581,0.5,0,0.758273
antifragile_escape,4,0.9,0.364428,1.0,0.999073,0.988484,0.5,0,0.758594
antifragile_escape,5,0.9,0.372286,1.0,1.0,0.990706,0.5,0,0.761575
antifragile_escape,6,0.9,0.372635,0.996927,0.995117,0.992341,0.5,0,0.760911
antifragile_escape,7,0.9,0.375323,0.991946,0.990266,0.990794,0.5,0,0.760198
antifragile_escape,8,0.9,0.383269,0.988111,0.99185,0.989345,0.5,0,0.761939
antifragile_escape,9,0.9,0.39384,0.989685,0.996083,0.991519,0.5,0,0.766264
antifragile_escape,10,0.9,0.40249,0.981144,0.994242,0.984726,0.5,0,0.765672
antifragile_escape,11,0.9,0.403889,0.990484,0.98916,0.989276,0.5,0,0.768088
antifragile_escape,12,0.9,0.40481,0.991647,0.99289,0.991828,0.5,0,0.769583
antifragile_escape,13,0.9,0.40562,0.989036,0.998177,0.991684,0.5,0,0.770136
antifragile_escape,14,0.9,0.400154,0.983735,1.0,0.988252,0.5,0,0.767673
antifragile_escape,15,0.9,0.400336,0.985005,1.0,0.988861,0.5,0,0.767804
antifragile_escape,16,0.9,0.398641,0.98312,0.99771,0.985639,0.5,0,0.765335
antifragile_escape,17,0.9,0.398485,0.983526,1.0,0.986816,0.5,0,0.766261
antifragile_escape,18,0.9,0.401297,0.981309,0.999522,0.981505,0.5,0,0.764726
antifragile_escape,19,0.9,0.394316,0.975692,1.0,0.975825,0.5,0,0.760551
antifragile_escape,20,0.9,0.40831,0.974031,1.0,0.972269,0.5,0,0.763122
antifragile_escape,21,0.9,0.40431,0.972506,1.0,0.965922,0.5,0,0.759785
antifragile_escape,22,0.9,0.409811,0.96948,0.991324,0.96562,0.5,0,0.759321
antifragile_escape,23,0.9,0.415273,0.970209,1.0,0.965116,0.5,0,0.762393
antifragile_escape,24,0.9,0.420307,0.972113,1.0,0.969273,0.5,0,0.765331
antifragile_escape,25,0.9,0.435613,0.965527,0.996161,0.963423,0.5,0,0.766443
antifragile_escape,26,0.9,0.4282,0.970013,0.994903,0.960765,0.5,0,0.763653
antifragile_escape,27,0.9,0.434308,0.97563,1.0,0.973913,0.5,0,0.77107
antifragile_escape,28,0.9,0.429992,0.963315,1.0,0.964901,0.5,0,0.766037
antifragile_escape,29,0.9,0.428695,0.96319,1.0,0.965517,0.5,0,0.765908
antifragile_escape,30,0.9,0.42401,0.953863,0.997082,0.959859,0.5,0,0.76174
antifragile_escape,31,0.9,0.428652,0.960664,0.994144,0.961386,0.5,0,0.763131
antifragile_escape,32,0.9,0.42645,0.974205,0.98933,0.971821,0.5,0,0.766022
antifragile_escape,33,0.9,0.437503,0.977021,0.988599,0.973296,0.5,0,0.769707
antifragile_escape,34,0.9,0.444671,0.974741,0.981469,0.967882,0.5,0,0.768517
antifragile_escape,35,0.9,0.460904,0.976196,0.981121,0.969944,0.5,0,0.773798
antifragile_escape,36,0.9,0.466259,0.974197,0.988128,0.971194,0.5,0,0.776736
antifragile_escape,37,0.9,0.471325,0.967356,0.980152,0.97101,0.5,0,0.776724
antifragile_escape,38,0.9,0.473489,0.965697,0.98931,0.968475,0.5,0,0.777624
antifragile_escape,39,0.9,0.482235,0.964002,0.989489,0.967204,0.5,0,0.77959
antifragile_escape,40,0.9,0.497095,0.965251,0.993558,0.962056,0.5,0,0.782675
antifragile_escape,41,0.9,0.493949,0.958619,0.988416,0.958194,0.5,0,0.77906
antifragile_escape,42,0.9,0.486938,0.959614,0.985738,0.958255,0.5,0,0.776657
antifragile_escape,43,0.9,0.494843,0.96843,0.98509,0.960255,0.5,0,0.780175
antifragile_escape,44,0.9,0.500383,0.970108,0.978876,0.961762,0.5,0,0.781258
antifragile_escape,45,0.9,0.524123,0.981955,0.974171,0.962348,0.5,0,0.789154
antifragile_escape,46,0.9,0.522997,0.984202,0.981912,0.961585,0.5,0,0.790122
antifragile_escape,47,0.9,0.509419,0.983536,0.975892,0.958755,0.5,0,0.784505
antifragile_escape,48,0.9,0.52201,0.983293,0.965818,0.95062,0.5,0,0.784257
antifragile_escape,49,0.9,0.515311,0.97704,0.97751,0.966066,0.5,0,0.787439
antifragile_escape,50,0.9,0.515965,0.979539,0.988323,0.963809,0.5,0,0.789127
antifragile_escape,51,0.9,0.525783,0.982549,0.986294,0.96431,0.5,0,0.792118
antifragile_escape,52,0.9,0.527478,0.981292,0.987956,0.962444,0.5,0,0.792144
antifragile_escape,53,0.9,0.53918,0.982592,0.990303,0.963767,0.5,0,0.796382
antifragile_escape,54,0.9,0.537007,0.984832,0.989909,0.973773,0.5,0,0.798919
antifragile_escape,55,0.9,0.543694,0.980551,0.983432,0.977841,0.5,0,0.800274
antifragile_escape,56,0.9,0.551135,0.970464,0.989322,0.973517,0.5,0,0.801466
antifragile_escape,57,0.9,0.550963,0.972626,0.989846,0.974401,0.5,0,0.801844
antifragile_escape,58,0.9,0.552547,0.974078,0.998874,0.966582,0.5,0,0.801439
antifragile_escape,59,0.9,0.557559,0.976362,0.996664,0.961084,0.5,0,0.801017
antifragile_escape,60,0.9,0.574978,0.967622,1.0,0.95712,0.5,0,0.804319
antifragile_escape,61,0.9,0.570155,0.96625,1.0,0.959214,0.5,0,0.803504
antifragile_escape,62,0.9,0.583174,0.969546,1.0,0.962764,0.5,0,0.808586
antifragile_escape,63,0.9,0.584401,0.970542,0.995815,0.967326,0.5,0,0.809709
antifragile_escape,64,0.9,0.59426,0.969975,1.0,0.969554,0.5,0,0.814006
antifragile_escape,65,0.9,0.603706,0.961132,0.999598,0.961441,0.5,0,0.813235
antifragile_escape,66,0.9,0.619396,0.965719,0.995413,0.961188,0.5,0,0.81702
antifragile_escape,67,0.9,0.613264,0.962364,0.997375,0.963358,0.5,0,0.816238
antifragile_escape,68,0.9,0.598533,0.964928,0.997858,0.966278,0.5,0,0.813385
antifragile_escape,69,0.9,0.585628,0.962068,1.0,0.960146,0.5,0,0.807836
antifragile_escape,70,0.9,0.592174,0.967891,0.996574,0.966356,0.5,0,0.81152
antifragile_escape,71,0.9,0.597637,0.969927,0.998264,0.964744,0.5,0,0.812981
antifragile_escape,72,0.9,0.600017,0.972817,1.0,0.962483,0.5,0,0.813533
antifragile_escape,73,0.9,0.615469,0.968888,0.995066,0.962286,0.5,0,0.816486
antifragile_escape,74,0.9,0.61916,0.977472,1.0,0.96931,0.5,0,0.821496
antifragile_escape,75,0.9,0.641382,0.976682,0.987979,0.975648,0.5,0,0.827409
antifragile_escape,76,0.9,0.645845,0.984997,0.978601,0.97203,0.5,0,0.827188
antifragile_escape,77,0.9,0.643091,0.987928,0.982165,0.974677,0.5,0,0.828177
antifragile_escape,78,0.9,0.628211,0.988491,0.979684,0.976111,0.5,0,0.824235
antifragile_escape,79,0.9,0.632917,0.993278,0.981458,0.978947,0.5,0,0.827516
antifragile_escape,80,0.9,0.63508,0.99459,0.986744,0.979651,0.5,0,0.829162
antifragile_escape,81,0.9,0.636553,0.993991,0.991981,0.972593,0.5,0,0.828183
antifragile_escape,82,0.9,0.628296,0.980107,0.988069,0.973244,0.5,0,0.823369
antifragile_escape,83,0.9,0.633478,0.987032,0.996269,0.975547,0.5,0,0.82784
antifragile_escape,84,0.9,0.636293,0.995408,0.996895,0.974157,0.5,0,0.829549
antifragile_escape,85,0.9,0.628049,0.990169,0.994808,0.976953,0.5,0,0.826917
antifragile_escape,86,0.9,0.620591,0.992719,0.988666,0.978907,0.5,0,0.824826
antifragile_escape,87,0.9,0.609544,0.998431,0.985258,0.976261,0.5,0,0.821506
antifragile_escape,88,0.9,0.60791,1.0,0.984412,0.977597,0.5,0,0.821642
