agent,step,gv,mode,truth,constraint,coherence,autonomy,escalation,reasons
recoverable_runtime,0,1.0,STABLE,1.0,1.0,1.0,1.0,0,
recoverable_runtime,1,0.9896,STABLE,0.9896,0.9896,0.9896,1.0,0,
recoverable_runtime,2,0.998212,STABLE,0.998093,0.998093,0.998077,1.0,0,
recoverable_runtime,3,1.0,STABLE,1.0,1.0,1.0,1.0,0,
recoverable_runtime,4,0.98049,STABLE,0.98049,0.98049,0.98049,1.0,0,
recoverable_runtime,5,0.969545,STABLE,0.969321,0.969321,0.969291,1.0,0,
recoverable_runtime,6,0.97406,STABLE,0.973514,0.973514,0.973444,1.0,0,
recoverable_runtime,7,0.973646,STABLE,0.972868,0.972868,0.972773,1.0,0,
recoverable_runtime,8,0.976266,STABLE,0.975277,0.975277,0.975163,1.0,0,
recoverable_runtime,9,0.97024,STABLE,0.969096,0.969096,0.968971,1.0,0,
recoverable_runtime,10,0.982177,STABLE,0.980826,0.980826,0.980685,1.0,0,
recoverable_runtime,11,0.991823,STABLE,0.990425,0.990425,0.990291,1.0,0,
recoverable_runtime,12,0.993323,STABLE,0.991995,0.991995,0.991882,1.0,0,
recoverable_runtime,13,1.0,STABLE,1.0,1.0,1.0,1.0,0,
recoverable_runtime,14,1.0,STABLE,1.0,1.0,1.0,1.0,0,
recoverable_runtime,15,0.991407,STABLE,0.991407,0.991407,0.991407,1.0,0,
recoverable_runtime,16,0.996009,STABLE,0.995911,0.995911,0.995898,1.0,0,
recoverable_runtime,17,0.986843,STABLE,0.986711,0.986711,0.986694,1.0,0,
recoverable_runtime,18,0.997025,STABLE,0.996758,0.996758,0.996725,1.0,0,
recoverable_runtime,19,0.996837,STABLE,0.996566,0.996566,0.996536,1.0,0,
recoverable_runtime,20,0.903298,STABLE,0.976744,0.976744,0.849245,1.0,0,
recoverable_runtime,21,0.926689,STABLE,0.991179,0.991179,0.878768,1.0,0,
recoverable_runtime,22,0.933654,STABLE,0.990472,0.990472,0.891043,1.0,0,
recoverable_runtime,23,0.937038,STABLE,0.987094,0.987094,0.899124,1.0,0,
recoverable_runtime,24,0.940744,STABLE,0.984798,0.984798,0.907005,1.0,0,
recoverable_runtime,25,0.952829,STABLE,0.991566,0.991566,0.922797,1.0,0,
recoverable_runtime,26,0.961875,STABLE,0.996021,0.996021,0.93509,1.0,0,
recoverable_runtime,27,0.970156,STABLE,1.0,1.0,0.946453,1.0,0,
recoverable_runtime,28,0.976172,STABLE,1.0,1.0,0.956749,1.0,0,
recoverable_runtime,29,0.991674,STABLE,1.0,1.0,0.982386,1.0,0,
recoverable_runtime,30,0.9885,STABLE,0.995936,0.995936,0.980159,1.0,0,
recoverable_runtime,31,0.98461,STABLE,0.9912,0.9912,0.977116,1.0,0,
recoverable_runtime,32,0.978124,STABLE,0.983898,0.983898,0.971384,1.0,0,
recoverable_runtime,33,0.986634,STABLE,0.991587,0.991587,0.980554,1.0,0,
recoverable_runtime,34,0.99705,STABLE,1.0,1.0,0.993151,1.0,0,
recoverable_runtime,35,0.996216,STABLE,0.998861,0.998861,0.992715,1.0,0,
recoverable_runtime,36,0.988211,STABLE,0.990567,0.990567,0.985065,1.0,0,
recoverable_runtime,37,0.981227,STABLE,0.983219,0.983219,0.978374,1.0,0,
recoverable_runtime,38,0.989743,STABLE,0.991319,0.991319,0.98712,1.0,0,
recoverable_runtime,39,0.99808,STABLE,0.999576,0.999576,0.995844,1.0,0,
recoverable_runtime,40,0.999906,STABLE,1.0,1.0,0.999745,1.0,0,
recoverable_runtime,41,0.99326,STABLE,0.993345,0.993345,0.993116,1.0,0,
recoverable_runtime,42,0.996305,STABLE,0.996299,0.996299,0.996132,1.0,0,
recoverable_runtime,43,0.997864,STABLE,0.997817,0.997817,0.997675,1.0,0,
recoverable_runtime,44,0.999996,STABLE,1.0,1.0,0.99999,1.0,0,
recoverable_runtime,45,0.920539,STABLE,0.989729,0.989729,0.869687,1.0,0,
recoverable_runtime,46,0.936581,STABLE,0.997493,0.997493,0.891427,1.0,0,
recoverable_runtime,47,0.944666,STABLE,0.998407,0.998407,0.904486,1.0,0,
recoverable_runtime,48,0.953433,STABLE,1.0,1.0,0.918269,1.0,0,
recoverable_runtime,49,0.962664,STABLE,1.0,1.0,0.934004,1.0,0,
recoverable_runtime,50,0.952416,STABLE,0.985428,0.985428,0.926829,1.0,0,
recoverable_runtime,51,0.954619,STABLE,0.983616,0.983616,0.931837,1.0,0,
recoverable_runtime,52,0.955034,STABLE,0.980469,0.980469,0.934746,1.0,0,
recoverable_runtime,53,0.953685,STABLE,0.975935,0.975935,0.93562,1.0,0,
recoverable_runtime,54,0.956089,STABLE,0.97547,0.97547,0.940009,1.0,0,
recoverable_runtime,55,0.975903,STABLE,0.99275,0.99275,0.96158,1.0,0,
recoverable_runtime,56,0.969934,STABLE,0.98478,0.98478,0.957113,1.0,0,
recoverable_runtime,57,0.982938,STABLE,0.995909,0.995909,0.97148,1.0,0,
recoverable_runtime,58,0.968005,STABLE,0.979469,0.979469,0.957733,1.0,0,
recoverable_runtime,59,0.968162,STABLE,0.978071,0.978071,0.958981,1.0,0,
recoverable_runtime,60,0.973264,STABLE,0.981781,0.981781,0.965049,1.0,0,
recoverable_runtime,61,0.982036,STABLE,0.989374,0.989374,0.97467,1.0,0,
recoverable_runtime,62,0.991098,STABLE,0.997496,0.997496,0.984484,1.0,0,
recoverable_runtime,63,0.997052,STABLE,1.0,1.0,0.993256,1.0,0,
recoverable_runtime,64,0.993871,STABLE,0.996513,0.996513,0.990465,1.0,0,
recoverable_runtime,65,0.989898,STABLE,0.992221,0.992221,0.986832,1.0,0,
recoverable_runtime,66,0.998497,STABLE,1.0,1.0,0.99642,1.0,0,
recoverable_runtime,67,0.996739,STABLE,0.998087,0.998087,0.994873,1.0,0,
recoverable_runtime,68,0.984327,STABLE,0.985512,0.985512,0.982646,1.0,0,
recoverable_runtime,69,0.974676,STABLE,0.975555,0.975555,0.973112,1.0,0,
recoverable_runtime,70,0.94563,STABLE,0.977208,0.977208,0.92202,1.0,0,
recoverable_runtime,71,0.953228,STABLE,0.980797,0.980797,0.932334,1.0,0,
recoverable_runtime,72,0.965431,STABLE,0.989526,0.989526,0.946906,1.0,0,
recoverable_runtime,73,0.965089,STABLE,0.986249,0.986249,0.948604,1.0,0,
recoverable_runtime,74,0.970612,STABLE,0.989141,0.989141,0.955949,1.0,0,
recoverable_runtime,75,0.980177,STABLE,0.996428,0.996428,0.967113,1.0,0,
recoverable_runtime,76,0.979331,STABLE,0.993674,0.993674,0.967653,1.0,0,
recoverable_runtime,77,0.986221,STABLE,0.998843,0.998843,0.975789,1.0,0,
recoverable_runtime,78,0.981162,STABLE,0.992333,0.992333,0.971818,1.0,0,
recoverable_runtime,79,0.97963,STABLE,0.989431,0.989431,0.971281,1.0,0,
recoverable_runtime,80,0.978066,STABLE,0.986618,0.986618,0.970609,1.0,0,
recoverable_runtime,81,0.968519,STABLE,0.975931,0.975931,0.961862,1.0,0,
recoverable_runtime,82,0.976826,STABLE,0.983087,0.983087,0.97089,1.0,0,
recoverable_runtime,83,0.974654,STABLE,0.98,0.98,0.969338,1.0,0,
recoverable_runtime,84,0.977527,STABLE,0.982025,0.982025,0.972753,1.0,0,
recoverable_runtime,85,0.984763,STABLE,0.98854,0.98854,0.98046,1.0,0,
recoverable_runtime,86,0.990868,STABLE,0.994094,0.994094,0.986988,1.0,0,
recoverable_runtime,87,0.997695,STABLE,1.0,1.0,0.994767,1.0,0,
recoverable_runtime,88,0.99695,STABLE,0.999015,0.999015,0.994323,1.0,0,
recoverable_runtime,89,0.993039,STABLE,0.994876,0.994876,0.990679,1.0,0,
recoverable_runtime,90,0.992985,STABLE,0.994565,0.994565,0.990854,1.0,0,
recoverable_runtime,91,0.97686,STABLE,0.978208,0.978208,0.974932,1.0,0,
recoverable_runtime,92,0.964871,STABLE,0.965807,0.965807,0.963046,1.0,0,
recoverable_runtime,93,0.9554,STABLE,0.955829,0.955829,0.953539,1.0,0,
recoverable_runtime,94,0.950178,STABLE,0.950052,0.950052,0.948126,1.0,0,
recoverable_runtime,95,0.848801,STABLE,0.930748,0.930748,0.787885,1.0,0,
recoverable_runtime,96,0.862163,STABLE,0.933546,0.933546,0.808367,1.0,0,
recoverable_runtime,97,0.890715,STABLE,0.952851,0.952851,0.84315,1.0,0,
recoverable_runtime,98,0.899491,STABLE,0.953768,0.953768,0.857295,1.0,0,
recoverable_runtime,99,0.918163,STABLE,0.965535,0.965535,0.880697,1.0,0,
recoverable_runtime,100,0.918018,STABLE,0.959473,0.959473,0.884672,1.0,0,
recoverable_runtime,101,0.925112,STABLE,0.961269,0.961269,0.895437,1.0,0,
recoverable_runtime,102,0.923936,STABLE,0.955448,0.955448,0.8975,1.0,0,
recoverable_runtime,103,0.928953,STABLE,0.95629,0.95629,0.905401,1.0,0,
recoverable_runtime,104,0.945177,STABLE,0.968845,0.968845,0.924169,1.0,0,
recoverable_runtime,105,0.93393,STABLE,0.954532,0.954532,0.915144,1.0,0,
recoverable_runtime,106,0.945494,STABLE,0.963196,0.963196,0.9287,1.0,0,
recoverable_runtime,107,0.95381,STABLE,0.969069,0.969069,0.938764,1.0,0,
recoverable_runtime,108,0.952887,STABLE,0.966066,0.966066,0.939385,1.0,0,
recoverable_runtime,109,0.943528,STABLE,0.954829,0.954829,0.931395,1.0,0,
recoverable_runtime,110,0.950347,STABLE,0.959842,0.959842,0.939409,1.0,0,
recoverable_runtime,111,0.950396,STABLE,0.958362,0.958362,0.940508,1.0,0,
recoverable_runtime,112,0.958046,STABLE,0.964644,0.964644,0.94907,1.0,0,
recoverable_runtime,113,0.962751,STABLE,0.968222,0.968222,0.95459,1.0,0,
recoverable_runtime,114,0.982739,STABLE,0.987258,0.987258,0.975307,1.0,0,
recoverable_runtime,115,0.98216,STABLE,0.986075,0.986075,0.975461,1.0,0,
recoverable_runtime,116,0.973804,STABLE,0.977163,0.977163,0.967754,1.0,0,
recoverable_runtime,117,0.978373,STABLE,0.981125,0.981125,0.972853,1.0,0,
recoverable_runtime,118,0.982857,STABLE,0.985118,0.985118,0.977826,1.0,0,
recoverable_runtime,119,0.99724,STABLE,1.0,1.0,0.993611,1.0,0,
recoverable_runtime,120,0.944854,STABLE,0.99494,0.99494,0.907384,1.0,0,
recoverable_runtime,121,0.961904,STABLE,1.0,1.0,0.932851,1.0,0,
recoverable_runtime,122,0.954437,STABLE,0.988112,0.988112,0.928509,1.0,0,
recoverable_runtime,123,0.953231,STABLE,0.982844,0.982844,0.93014,1.0,0,
recoverable_runtime,124,0.949248,STABLE,0.975208,0.975208,0.928696,1.0,0,
recoverable_runtime,125,0.951029,STABLE,0.973665,0.973665,0.932759,1.0,0,
recoverable_runtime,126,0.942712,STABLE,0.9624,0.9624,0.926464,1.0,0,
recoverable_runtime,127,0.955387,STABLE,0.972324,0.972324,0.940961,1.0,0,
recoverable_runtime,128,0.958081,STABLE,0.972731,0.972731,0.945223,1.0,0,
recoverable_runtime,129,0.947974,STABLE,0.960613,0.960613,0.936497,1.0,0,
recoverable_runtime,130,0.943495,STABLE,0.954199,0.954199,0.93325,1.0,0,
recoverable_runtime,131,0.952767,STABLE,0.961685,0.961685,0.94359,1.0,0,
recoverable_runtime,132,0.96626,STABLE,0.973707,0.973707,0.957998,1.0,0,
recoverable_runtime,133,0.989864,STABLE,0.996172,0.996172,0.982412,1.0,0,
recoverable_runtime,134,1.0,STABLE,1.0,1.0,1.0,1.0,0,
recoverable_runtime,135,1.0,STABLE,1.0,1.0,1.0,1.0,0,
recoverable_runtime,136,0.990105,STABLE,0.990105,0.990105,0.990105,1.0,0,
recoverable_runtime,137,0.969837,STABLE,0.969724,0.969724,0.969709,1.0,0,
recoverable_runtime,138,0.975723,STABLE,0.975278,0.975278,0.975219,1.0,0,
recoverable_runtime,139,0.970167,STABLE,0.969497,0.969497,0.969414,1.0,0,
recoverable_runtime,140,0.969174,STABLE,0.968241,0.968241,0.968131,1.0,0,
recoverable_runtime,141,0.966314,STABLE,0.965137,0.965137,0.965005,1.0,0,
recoverable_runtime,142,0.968466,STABLE,0.967041,0.967041,0.966888,1.0,0,
recoverable_runtime,143,0.982451,STABLE,0.980832,0.980832,0.980666,1.0,0,
recoverable_runtime,144,0.985855,STABLE,0.984224,0.984224,0.984071,1.0,0,
recoverable_runtime,145,0.985739,STABLE,0.984136,0.984136,0.984,1.0,0,
recoverable_runtime,146,0.976866,STABLE,0.975286,0.975286,0.975165,1.0,0,
recoverable_runtime,147,0.962548,STABLE,0.960887,0.960887,0.960765,1.0,0,
recoverable_runtime,148,0.961636,STABLE,0.95974,0.95974,0.959596,1.0,0,
recoverable_runtime,149,0.965141,STABLE,0.963027,0.963027,0.962865,1.0,0,
recoverable_runtime,150,0.885745,STABLE,0.954845,0.954845,0.834339,1.0,0,
recoverable_runtime,151,0.908583,STABLE,0.968962,0.968962,0.863095,1.0,0,
recoverable_runtime,152,0.914007,STABLE,0.966918,0.966918,0.873642,1.0,0,
recoverable_runtime,153,0.911902,STABLE,0.958211,0.958211,0.876067,1.0,0,
recoverable_runtime,154,0.912152,STABLE,0.95253,0.95253,0.880361,1.0,0,
recoverable_runtime,155,0.91471,STABLE,0.949787,0.949787,0.886509,1.0,0,
recoverable_runtime,156,0.945467,STABLE,0.975842,0.975842,0.920437,1.0,0,
recoverable_runtime,157,0.943332,STABLE,0.969923,0.969923,0.920998,1.0,0,
recoverable_runtime,158,0.957994,STABLE,0.981166,0.981166,0.938072,1.0,0,
recoverable_runtime,159,0.953618,STABLE,0.973926,0.973926,0.935804,1.0,0,
recoverable_runtime,160,0.968039,STABLE,0.985718,0.985718,0.952118,1.0,0,
recoverable_runtime,161,0.975408,STABLE,0.990925,0.990925,0.961146,1.0,0,
recoverable_runtime,162,0.976548,STABLE,0.99022,0.99022,0.963759,1.0,0,
recoverable_runtime,163,0.978712,STABLE,0.990742,0.990742,0.967242,1.0,0,
recoverable_runtime,164,0.974492,STABLE,0.985074,0.985074,0.964201,1.0,0,
recoverable_runtime,165,0.98173,STABLE,0.990952,0.990952,0.972498,1.0,0,
recoverable_runtime,166,0.979166,STABLE,0.987262,0.987262,0.970876,1.0,0,
recoverable_runtime,167,0.969167,STABLE,0.976216,0.976216,0.961721,1.0,0,
recoverable_runtime,168,0.95972,STABLE,0.965696,0.965696,0.953016,1.0,0,
recoverable_runtime,169,0.965788,STABLE,0.970681,0.970681,0.959713,1.0,0,
recoverable_runtime,170,0.985252,STABLE,0.989257,0.989257,0.979725,1.0,0,
recoverable_runtime,171,0.988419,STABLE,0.991878,0.991878,0.983433,1.0,0,
recoverable_runtime,172,0.988458,STABLE,0.991463,0.991463,0.983966,1.0,0,
recoverable_runtime,173,0.992537,STABLE,0.995132,0.995132,0.988484,1.0,0,
recoverable_runtime,174,0.999934,STABLE,1.0,1.0,0.999821,1.0,0,
recoverable_runtime,175,0.907711,STABLE,0.982399,0.982399,0.852805,1.0,0,
recoverable_runtime,176,0.929472,STABLE,0.995134,0.995134,0.88076,1.0,0,
recoverable_runtime,177,0.941981,STABLE,0.999883,0.999883,0.898646,1.0,0,
recoverable_runtime,178,0.958068,STABLE,1.0,1.0,0.925989,1.0,0,
recoverable_runtime,179,0.964035,STABLE,1.0,1.0,0.936177,1.0,0,
