agent,step,fitness,state,truth,constraint,correction,coherence,survivability
rigid_continuity,0,0.454257,1.0,1.0,1.0,1.0,1.0,0.80899
rigid_continuity,1,0.442377,0.98752,0.98752,0.98752,0.98752,0.98752,0.79672
rigid_continuity,2,0.451982,0.996919,0.996941,0.996941,0.996919,0.99692,0.8062
rigid_continuity,3,0.463869,1.0,1.0,1.0,1.0,1.0,0.812354
rigid_continuity,4,0.441057,0.976588,0.976588,0.976588,0.976588,0.976588,0.789152
rigid_continuity,5,0.42603,0.961699,0.96174,0.96174,0.961699,0.961702,0.774232
rigid_continuity,6,0.428164,0.964439,0.964546,0.964546,0.964439,0.964447,0.776787
rigid_continuity,7,0.42497,0.961765,0.96193,0.96193,0.961765,0.961777,0.773954
rigid_continuity,8,0.425368,0.962768,0.962994,0.962994,0.962768,0.962785,0.77477
rigid_continuity,9,0.415731,0.953704,0.953988,0.953988,0.953704,0.953725,0.765529
rigid_continuity,10,0.426884,0.965715,0.966071,0.966071,0.965715,0.965742,0.777269
rigid_continuity,11,0.436818,0.976128,0.976532,0.976532,0.976128,0.976159,0.787534
rigid_continuity,12,0.43821,0.977673,0.978105,0.978105,0.977673,0.977705,0.789037
rigid_continuity,13,0.452337,0.991903,0.99236,0.99236,0.991903,0.991937,0.803241
rigid_continuity,14,0.458547,0.997768,0.998224,0.998224,0.997768,0.997802,0.809227
rigid_continuity,15,0.448836,0.987527,0.987972,0.987972,0.987527,0.98756,0.799166
rigid_continuity,16,0.453861,0.992345,0.992797,0.992797,0.992345,0.992379,0.804059
rigid_continuity,17,0.442954,0.981079,0.98153,0.98153,0.981079,0.981113,0.792919
rigid_continuity,18,0.454095,0.992217,0.992685,0.992685,0.992217,0.992252,0.804065
rigid_continuity,19,0.454096,0.991863,0.992329,0.992329,0.991863,0.991898,0.803835
rigid_continuity,20,0.452478,0.989901,0.990366,0.990366,0.989901,0.989936,0.801992
rigid_continuity,21,0.444907,0.982048,0.982515,0.982515,0.982048,0.982083,0.794239
rigid_continuity,22,0.460177,0.997284,0.997767,0.997767,0.997284,0.99732,0.809493
rigid_continuity,23,0.458923,0.995515,0.995987,0.995987,0.995515,0.99555,0.8079
rigid_continuity,24,0.454383,0.990516,0.99098,0.99098,0.990516,0.990551,0.803059
rigid_continuity,25,0.450757,0.986589,0.987055,0.987055,0.986589,0.986624,0.799238
rigid_continuity,26,0.457745,0.9934,0.993873,0.993873,0.9934,0.993435,0.806113
rigid_continuity,27,0.46273,0.997993,0.998462,0.998462,0.997993,0.998028,0.810842
rigid_continuity,28,0.468283,1.0,1.0,1.0,1.0,1.0,0.813899
rigid_continuity,29,0.474053,1.0,1.0,1.0,1.0,1.0,0.815919
rigid_continuity,30,0.500353,1.0,1.0,1.0,1.0,1.0,0.825123
rigid_continuity,31,0.496076,0.995123,0.995123,0.995123,0.995123,0.995123,0.820457
rigid_continuity,32,0.490529,0.98913,0.989138,0.989138,0.98913,0.98913,0.814623
rigid_continuity,33,0.481364,0.979707,0.979734,0.979734,0.979707,0.979709,0.805298
rigid_continuity,34,0.489355,0.987738,0.9878,0.9878,0.987738,0.987743,0.813329
rigid_continuity,35,0.503503,1.0,1.0,1.0,1.0,1.0,0.826226
rigid_continuity,36,0.502736,0.998633,0.998633,0.998633,0.998633,0.998633,0.825069
rigid_continuity,37,0.493254,0.988594,0.988596,0.988596,0.988594,0.988594,0.815226
rigid_continuity,38,0.48396,0.979059,0.979082,0.979082,0.979059,0.979061,0.805784
rigid_continuity,39,0.492367,0.987526,0.987584,0.987584,0.987526,0.98753,0.814244
rigid_continuity,40,0.501886,0.996838,0.996916,0.996916,0.996838,0.996844,0.823637
rigid_continuity,41,0.509004,1.0,1.0,1.0,1.0,1.0,0.828151
rigid_continuity,42,0.501618,0.992014,0.992014,0.992014,0.992014,0.992014,0.820375
rigid_continuity,43,0.505004,0.995051,0.995065,0.995065,0.995051,0.995052,0.82354
rigid_continuity,44,0.507004,0.996607,0.99663,0.99663,0.996607,0.996609,0.825255
rigid_continuity,45,0.510228,0.999339,0.999366,0.999366,0.999339,0.999341,0.828161
rigid_continuity,46,0.521286,1.0,1.0,1.0,1.0,1.0,0.83245
rigid_continuity,47,0.524569,1.0,1.0,1.0,1.0,1.0,0.833599
rigid_continuity,48,0.533316,1.0,1.0,1.0,1.0,1.0,0.83666
rigid_continuity,49,0.534727,1.0,1.0,1.0,1.0,1.0,0.837154
rigid_continuity,50,0.538796,1.0,1.0,1.0,1.0,1.0,0.838579
rigid_continuity,51,0.546972,1.0,1.0,1.0,1.0,1.0,0.84144
rigid_continuity,52,0.530086,0.982514,0.982514,0.982514,0.982514,0.982514,0.824164
rigid_continuity,53,0.52685,0.979229,0.979259,0.979259,0.979229,0.979231,0.820909
rigid_continuity,54,0.521805,0.974239,0.974305,0.974305,0.974239,0.974244,0.815914
rigid_continuity,55,0.514739,0.967384,0.967492,0.967492,0.967384,0.967392,0.809002
rigid_continuity,56,0.512037,0.965109,0.965272,0.965272,0.965109,0.965122,0.8066
rigid_continuity,57,0.530576,0.984148,0.984366,0.984366,0.984148,0.984164,0.825486
rigid_continuity,58,0.520786,0.974257,0.974496,0.974496,0.974257,0.974275,0.815639
rigid_continuity,59,0.533006,0.986687,0.986963,0.986963,0.986687,0.986708,0.828011
rigid_continuity,60,0.548411,0.939794,0.966332,0.966235,0.965556,0.949816,0.818272
rigid_continuity,61,0.544992,0.937672,0.963433,0.963339,0.962623,0.947392,0.815234
rigid_continuity,62,0.547546,0.941588,0.966602,0.966511,0.965753,0.951018,0.818228
rigid_continuity,63,0.55518,0.950463,0.974747,0.974659,0.973867,0.95961,0.826235
rigid_continuity,64,0.564315,0.960558,0.984121,0.984037,0.983224,0.969428,0.835568
rigid_continuity,65,0.574435,0.971321,0.994169,0.994088,0.993273,0.979918,0.845686
rigid_continuity,66,0.57085,0.968039,0.990178,0.9901,0.9893,0.976368,0.841885
rigid_continuity,67,0.565902,0.963498,0.984957,0.984881,0.984089,0.971568,0.836803
rigid_continuity,68,0.576798,0.974944,0.995753,0.995679,0.994886,0.982766,0.847675
rigid_continuity,69,0.575102,0.973437,0.993598,0.993527,0.992751,0.981015,0.845725
rigid_continuity,70,0.560394,0.958966,0.978503,0.978434,0.977672,0.966308,0.830807
rigid_continuity,71,0.547395,0.946659,0.965618,0.965552,0.964775,0.953779,0.817916
