system,step,shared_future,fragmentation,coherence,survivability
competitive,0,0.452,0.242,1.0,0.91044
competitive,1,0.404,0.284,1.0,0.89988
competitive,2,0.356,0.326,1.0,0.88932
competitive,3,0.308,0.368,1.0,0.87876
competitive,4,0.26,0.41,1.0,0.8682
competitive,5,0.212,0.452,1.0,0.857365
competitive,6,0.1715,0.494,1.0,0.84533
competitive,7,0.131,0.536,1.0,0.833845
competitive,8,0.09775,0.578,1.0,0.820513
competitive,9,0.0725,0.62,1.0,0.80975
competitive,10,0.05525,0.662,1.0,0.800182
competitive,11,0.038,0.70075,1.0,0.790455
competitive,12,0.02625,0.741,1.0,0.781317
competitive,13,0.0125,0.7795,1.0,0.771335
competitive,14,0.01125,0.81025,1.0,0.767157
competitive,15,0.00725,0.8435,1.0,0.761607
competitive,16,0.00725,0.8735,1.0,0.758007
competitive,17,0.00325,0.90325,1.0,0.752877
competitive,18,0.00125,0.92875,1.0,0.749037
competitive,19,0.0,0.95025,1.0,0.74597
competitive,20,0.0,0.9635,1.0,0.74438
competitive,21,0.0,0.9715,1.0,0.74342
competitive,22,0.0,0.97425,1.0,0.74309
competitive,23,0.0,0.977,1.0,0.74276
competitive,24,0.0,0.9875,1.0,0.7415
competitive,25,0.0,0.99375,1.0,0.74075
competitive,26,0.0,1.0,1.0,0.74
competitive,27,0.0,1.0,1.0,0.74
competitive,28,0.0,1.0,1.0,0.74
competitive,29,0.0,1.0,1.0,0.74
competitive,30,0.0,1.0,1.0,0.74
competitive,31,0.0,1.0,1.0,0.74
competitive,32,0.0,1.0,1.0,0.74
competitive,33,0.0,1.0,1.0,0.74
competitive,34,0.0,1.0,1.0,0.74
competitive,35,0.0,1.0,1.0,0.74
competitive,36,0.0,1.0,1.0,0.74
competitive,37,0.0,1.0,1.0,0.74
competitive,38,0.0,1.0,1.0,0.74
competitive,39,0.0,1.0,1.0,0.74
competitive,40,0.0,1.0,1.0,0.74
competitive,41,0.0,1.0,1.0,0.74
competitive,42,0.0,1.0,1.0,0.74
competitive,43,0.0,1.0,1.0,0.74
competitive,44,0.0,1.0,1.0,0.74
competitive,45,0.0,1.0,1.0,0.74
competitive,46,0.0,1.0,1.0,0.74
competitive,47,0.0,1.0,1.0,0.74
competitive,48,0.0,1.0,1.0,0.74
competitive,49,0.0,1.0,1.0,0.74
competitive,50,0.0,1.0,1.0,0.74
competitive,51,0.0,1.0,1.0,0.74
competitive,52,0.0,1.0,1.0,0.74
competitive,53,0.0,1.0,1.0,0.74
competitive,54,0.0,1.0,1.0,0.74
competitive,55,0.0,1.0,1.0,0.74
competitive,56,0.0,1.0,1.0,0.74
competitive,57,0.0,1.0,1.0,0.74
competitive,58,0.0,1.0,1.0,0.74
competitive,59,0.0,1.0,1.0,0.74
competitive,60,0.0,1.0,1.0,0.74
competitive,61,0.0,1.0,1.0,0.74
competitive,62,0.0,1.0,1.0,0.74
competitive,63,0.0,1.0,1.0,0.74
competitive,64,0.0,1.0,1.0,0.74
competitive,65,0.0,1.0,1.0,0.74
competitive,66,0.0,1.0,1.0,0.74
competitive,67,0.0,1.0,1.0,0.74
competitive,68,0.0,1.0,1.0,0.74
competitive,69,0.0,1.0,1.0,0.74
competitive,70,0.0,1.0,1.0,0.74
competitive,71,0.0,1.0,1.0,0.74
competitive,72,0.0,1.0,1.0,0.74
competitive,73,0.0,1.0,1.0,0.74
competitive,74,0.0,1.0,1.0,0.74
competitive,75,0.0,1.0,1.0,0.74
competitive,76,0.0,1.0,1.0,0.74
competitive,77,0.0,1.0,1.0,0.74
competitive,78,0.0,1.0,1.0,0.74
competitive,79,0.0,1.0,1.0,0.74
competitive,80,0.0,1.0,1.0,0.74
competitive,81,0.0,1.0,1.0,0.74
competitive,82,0.0,1.0,1.0,0.74
competitive,83,0.0,1.0,1.0,0.74
competitive,84,0.0,1.0,1.0,0.74
competitive,85,0.0,1.0,1.0,0.74
competitive,86,0.0,1.0,1.0,0.74
competitive,87,0.0,1.0,1.0,0.74
competitive,88,0.0,1.0,1.0,0.74
competitive,89,0.0,1.0,1.0,0.74
competitive,90,0.0,1.0,1.0,0.74
competitive,91,0.0,1.0,1.0,0.74
competitive,92,0.0,1.0,1.0,0.74
competitive,93,0.0,1.0,1.0,0.74
competitive,94,0.0,1.0,1.0,0.74
competitive,95,0.0,1.0,1.0,0.74
competitive,96,0.0,1.0,1.0,0.74
competitive,97,0.0,1.0,1.0,0.74
competitive,98,0.0,1.0,1.0,0.74
competitive,99,0.0,1.0,1.0,0.74
competitive,100,-0.05,1.06,1.0,0.7133
competitive,101,-0.003125,1.00375,1.0,0.738331
