time,value
0,39.713
1,38.527
2,38.171
3,38.78
4,39.628
5,40.716
6,40.522
7,41.116
8,41.227
9,41.474
10,40.804
11,40.13
12,39.976
13,38.846
14,38.453
15,38.883
16,38.653
17,37.849
18,37.771
19,36.877
20,37.17
21,36.035
22,35.781
23,35.935
24,34.8
25,35.143
26,34.269
27,34.177
28,33.097
29,32.807
30,32.115
31,31.7
32,32.327
33,32.037
34,32.641
35,33.438
36,32.843
37,31.84
38,30.687
39,30.781
40,31.981
41,31.621
42,31.981
43,32.656
44,33.02
45,33.631
46,34.71
47,33.988
48,32.837
49,32.003
50,31.106
51,31.512
52,31.666
53,30.989
54,31.468
55,32.108
56,31.311
57,31.568
58,32.163
59,31.238
60,32.005
61,33.12
62,32.179
63,31.041
64,30.59
65,31.015
66,32.115
67,31.867
68,32.383
69,31.365
70,31.823
71,35.086
72,35.198
73,39.333
74,43.934
75,47.037
76,47.263
77,52.666
78,56.862
79,58.445
80,60.515
81,62.239
82,64.775
83,66.322
84,70.919
85,75.353
86,75.487
87,80.751
88,84.065
89,88.537
90,92.281
91,94.394
92,98.297
93,103.59
94,104.71
95,109.059
96,111.788
97,114.189
98,116.303
99,120.189
100,121.299
101,125.91
102,130.394
103,130.414
104,135.204
105,136.167
106,138.455
107,141.617
108,143.391
109,143.063
110,147.669
111,148.26
112,149.033
113,153.32
114,154.862
115,159.644
116,163.351
117,164.508
118,164.069
119,169.258
