time,value
0,40.788
1,40.906
2,41.742
3,41.833
4,40.334
5,39.807
6,38.365
7,39.653
8,40.789
9,41.784
10,41.206
11,39.88
12,41.014
13,42.355
14,41.112
15,41.07
16,39.777
17,40.559
18,41.357
19,40.242
20,40.168
21,40.317
22,39.612
23,40.73
24,40.499
25,39.634
26,39.752
27,40.442
28,39.546
29,38.981
30,40.466
31,40.916
32,40.73
33,40.783
34,39.646
35,38.82
36,38.334
37,38.599
38,37.789
39,36.95
40,35.663
41,36.056
42,35.243
43,36.46
44,37.538
45,36.251
46,35.465
47,35.972
48,35.115
49,34.012
50,35.318
51,35.531
52,35.449
53,36.303
54,37.226
55,36.297
56,35.078
57,35.865
58,36.606
59,37.608
60,40.183
61,42.423
62,46.528
63,45.319
64,45.934
65,46.17
66,49.54
67,49.232
68,48.573
69,49.465
70,50.196
71,50.068
72,49.766
73,53.506
74,54.365
75,57.733
76,59.235
77,57.738
78,61.934
79,65.15
80,69.164
81,72.922
82,76.215
83,75.412
84,76.526
85,76.009
86,76.615
87,75.167
88,75.641
89,79.752
90,79.544
91,82.448
92,83.378
93,84.116
94,88.06
95,92.233
96,93.767
97,96.278
98,95.406
99,95.387
100,99.399
101,101.074
102,102.527
103,105.215
104,103.758
105,105.463
106,106.68
107,109.997
108,109.141
109,113.106
110,111.787
111,111.101
112,112.872
113,115.123
114,114.734
115,113.653
116,117.195
117,116.873
118,118.64
119,120.556
