time,value
0,46.371
1,50.253
2,55.891
3,60.959
4,65.27
5,60.73
6,54.258
7,50.511
8,42.521
9,40.074
10,45.305
11,51.622
12,58.073
13,64.097
14,68.283
15,60.702
16,56.688
17,50.669
18,44.553
19,41.641
20,47.959
21,51.761
22,55.617
23,60.067
24,64.482
25,58.255
26,51.019
27,45.542
28,43.184
29,39.248
30,46.665
31,52.358
32,56.164
33,61.451
34,63.454
35,57.175
36,51.754
37,47.234
38,43.163
39,37.953
40,42.605
41,45.888
42,50.727
43,58.134
44,64.91
45,57.928
46,50.437
47,45.53
48,41.327
49,35.338
50,42.249
51,48.756
52,54.793
53,58.14
54,61.335
55,53.482
56,46.951
57,41.802
58,38.9
59,31.337
60,35.824
61,41.602
62,44.769
63,50.947
64,55.913
65,49.377
66,45.314
67,37.347
68,33.853
69,30.473
70,33.112
71,37.663
72,40.719
73,48.466
74,53.574
75,45.875
76,39.371
77,36.461
78,31.199
79,28.008
80,34.013
81,41.941
82,47.513
83,55.214
84,62.562
85,58.238
86,54.554
87,49.582
88,46.566
89,41.853
90,49.236
91,55.698
92,60.546
93,64.102
94,67.585
95,63.411
96,60.006
97,55.134
98,50.894
99,44.542
100,47.007
101,50.721
102,54.351
103,58.269
104,63.51
105,56.341
106,49.728
107,45.892
108,42.13
109,34.516
110,38.961
111,44.217
112,48.712
113,51.953
114,56.474
115,53.903
116,49.407
117,45.58
118,42.721
119,39.314
