time,value
0,39.758
1,40.009
2,40.077
3,41.381
4,40.494
5,41.143
6,40.359
7,40.046
8,40.561
9,39.961
10,39.41
11,40.165
12,38.883
13,38.758
14,40.253
15,41.741
16,40.461
17,39.6
18,38.896
19,40.196
20,41.338
21,42.476
22,42.085
23,41.058
24,42.059
25,42.67
26,43.005
27,44.467
28,44.929
29,43.452
30,44.403
31,43.802
32,44.292
33,45.608
34,44.511
35,43.358
36,42.179
37,42.338
38,41.655
39,41.97
40,72.623
41,101.734
42,132.136
43,131.428
44,131.394
45,132.61
46,133.648
47,132.425
48,132.196
49,131.526
50,130.036
51,130.85
52,131.261
53,130.547
54,131.271
55,131.426
56,131.209
57,129.738
58,128.464
59,129.613
60,130.825
61,130.961
62,131.965
63,132.213
64,131.157
65,130.039
66,129.464
67,130.661
68,131.549
69,132.632
70,133.828
71,132.959
72,132.207
73,131.016
74,131.856
75,133.008
76,132.727
77,133.089
78,132.053
79,133.343
80,134.437
81,135.865
82,136.797
83,137.942
84,136.516
85,137.226
86,136.722
87,138.015
88,138.921
89,140.014
90,140.946
91,140.246
92,141.108
93,139.933
94,141.049
95,142.125
96,141.292
97,142.242
98,142.123
99,141.539
100,142.425
101,141.607
102,140.178
103,139.258
104,138.743
105,139.836
106,141.236
107,140.574
108,140.998
109,140.697
110,142.141
111,142.249
112,143.567
113,142.413
114,143.824
115,142.86
116,144.247
117,143.544
118,142.369
119,142.173
