time,value
0,40.251
1,39.396
2,38.991
3,38.493
4,38.918
5,39.237
6,39.942
7,39.199
8,39.058
9,38.212
10,37.706
11,37.715
12,36.863
13,36.321
14,36.591
15,36.672
16,36.168
17,36.329
18,36.886
19,35.998
20,36.548
21,36.905
22,36.617
23,35.997
24,36.82
25,36.526
26,35.793
27,35.067
28,35.693
29,35.879
30,36.432
31,36.846
32,36.911
33,37.762
34,37.544
35,37.637
36,38.23
37,38.444
38,39.095
39,39.234
40,39.602
41,38.785
42,38.295
43,37.916
44,37.159
45,36.678
46,35.96
47,35.561
48,35.805
49,35.562
50,35.328
51,34.805
52,34.386
53,35.172
54,35.438
55,35.634
56,35.043
57,35.455
58,34.849
59,34.632
60,35.513
61,35.765
62,35.868
63,36.2
64,36.817
65,37.314
66,36.826
67,35.984
68,35.652
69,35.234
70,34.714
71,35.511
72,36.188
73,35.855
74,36.134
75,35.947
76,36.693
77,36.619
78,36.196
79,35.739
80,35.85
81,35.423
82,35.575
83,36.291
84,36.11
85,35.605
86,36.5
87,36.518
88,35.781
89,34.966
90,34.263
91,34.493
92,35.019
93,34.878
94,34.093
95,33.88
96,34.773
97,34.825
98,35.673
99,36.322
100,35.443
101,35.84
102,36.168
103,36.234
104,35.814
105,36.068
106,35.369
107,35.251
108,35.168
109,35.985
110,36.662
111,36.236
112,36.237
113,35.658
114,36.401
115,37.068
116,36.705
117,36.955
118,37.151
119,36.527
